TAZ_ID,AREA,SETTL_SIZE,CHILD_EDU,ADULT_EDU,STUDENTS,SOCECO,SECTOR_REST,SECTOR_ARA,SECTOR_ORT,POPULATION,HH_AVG_SIZE,HH_AVG_SIZE_ARAB,HH_AVG_SIZE_ORTO,HH_AVG_SIZE_REST,HH_TOT,HH_ARAB,HH_OTRO,HH_REST,EMPL_TOT,EMPL_INDU,EMPL_SERV,EMPL_OTHER,AGE_0_7,AGE_8_18,AGE_19_25,AGE_26_35,AGE_36_64,AGE_65,AGE_0_7_REST,AGE_8_18_REST,AGE_19_25_REST,AGE_26_35_REST,AGE_36_64_REST,AGE_65_REST,AGE_0_7_ARA,AGE_8_18_ARA,AGE_19_25_ARA,AGE_26_35_ARA,AGE_36_64_ARA,AGE_65_ARA,AGE_0_7_ORT,AGE_8_18_ORT,AGE_19_25_ORT,AGE_26_35_ORT,AGE_36_64_ORT,AGE_65_ORT,GIZRA,TABAAT,SZ_OLD,SZ_NEW,PRIMARY_NAFA,SECONDARY_NAFA,PERC_PRIMARY_NAFA,PERC_SECONDARY_NAFA
101,17.83,2,1026,317,0,6,0.97973371,0,0.02026629,8487,2.925542916,0,3.909090909,2.91039552,2901,0,44,2857,6613,2169,3492,952,981,1574,814,862,3029,1227,934,1524,791,843,2999,1224,0,0,0,0,0,0,47,50,23,19,30,3,31,3,1,1,עכו,,1,0
102,6.50,2,474,838,0,7,1,0,0,2319,3.450892857,0,0,3.450892857,672,0,0,672,1457,478,769,210,244,541,243,143,889,259,244,541,243,143,889,259,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
103,1.31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
104,1.23,3,256,0,0,3,1,0,0,3338,2.472592593,0,0,2.472592593,1350,0,0,1350,250,82,132,36,311,371,305,392,1135,824,311,371,305,392,1135,824,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
105,1.01,3,732,0,0,6,1,0,0,13142,2.810521814,0,0,2.810521814,4676,0,0,4676,1665,546,879,240,1831,2172,1017,1569,4576,1977,1831,2172,1017,1569,4576,1977,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
106,0.83,3,1905,0,0,7,1,0,0,8821,2.494626697,0,0,2.494626697,3536,0,0,3536,16346,5361,8631,2354,824,1070,629,834,2771,2693,824,1070,629,834,2771,2693,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
107,8.13,2,296,915,0,5,0.25538358,0.74461642,0,5944,3.200861605,3.31039641,0,2.919230769,1857,1337,0,520,2769,908,1462,399,839,838,616,1065,1923,663,216,233,106,181,500,282,623,605,510,884,1423,381,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
108,13.20,2,487,0,0,8,1,0,0,3306,3.181905679,0,0,3.181905679,1039,0,0,1039,3244,1064,1713,467,454,647,241,285,1083,596,454,647,241,285,1083,596,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
109,43.77,2,649,326,0,7,1,0,0,3818,3.197654941,0,0,3.197654941,1194,0,0,1194,3049,1000,1610,439,478,763,320,358,1371,528,478,763,320,358,1371,528,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
110,32.13,2,575,551,0,5,0.473395931,0.509859155,0.016744914,6390,3.307453416,3.652466368,4.115384615,2.983234714,1932,892,26,1014,1585,520,837,228,901,1100,695,880,2010,804,395,498,218,311,1001,602,473,573,464,556,992,200,33,29,13,13,17,2,31,3,1,1,עכו,,1,0
111,1.50,3,0,0,0,6,0.951175407,0,0.048824593,6636,2.717444717,0,3.76744186,2.679117148,2442,0,86,2356,1936,635,1022,279,744,1031,597,756,2294,1214,659,944,554,715,2235,1205,0,0,0,0,0,0,85,87,43,41,59,9,31,3,1,1,עכו,,1,0
112,0.99,3,954,153,0,4,0.925685693,0,0.074314307,5396,3.064168086,0,4.091836735,3.003607937,1761,0,98,1663,1482,486,783,213,909,1085,397,576,1820,609,774,966,360,536,1756,603,0,0,0,0,0,0,135,119,37,40,64,6,31,3,1,1,עכו,,1,0
113,0.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973,975,1570,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,1,1,עכו,,1,0
