AggAreaCode,AggAreaName,MainCorridor,FullLength,Influenced
1,TiratCarmel,1,1,0
2,Matam,1,1,0
3,Neot Peres,1,1,0
4,Neve David,1,1,0
5,Ein Hayam,1,1,0
6,Bat Galim,1,1,0
7,Kiryat Eliezer,1,1,0
8,Hamoshava,1,1,0
9,Lower City,1,1,0
10,Hadar Carmel,1,1,0
11,Namal,1,1,0
12,Neve Yosef,1,1,0
13,Hamifrats,1,1,0
14,Hutzot,0,1,0
15,Kiryat Nahum,0,1,0
16,Kiryat Ata Center,0,1,0
17,Kiryat Bialik South,0,1,0
18,Kiryat Ata East,0,1,0
19,Shefaram,0,1,0
23,Nazareth Area,0,1,0
24,Kiryat Yam,0,0,1
25,Kiryat Motzkin-Bialik,0,0,1
26,Haifa Airport,0,0,1
27,Nesher Lower,0,0,1
28,Kiryat Ata South,0,0,1
