TAZ_NUMBER,avg_boardings,avg_alightings
101,105.25,113.75
102,3.25,2.25
103,123.75,105.5
104,157.75,50.5
105,133.25,37
106,2190.25,1145.5
107,90.25,124.75
108,65,91.25
109,35,22.25
110,19,3.25
111,163.25,136.75
112,131.75,63.5
113,106,144.5
114,37.75,37
115,63.75,35.5
116,25.25,2.25
117,216.5,299
118,33.5,38.25
201,20.75,12.25
202,18,4
203,73,36.5
204,24.5,81.75
205,61.25,59.5
206,4.75,35.5
207,23,15.25
208,16.5,18.5
209,91,4.5
210,21.5,7.25
213,332.5,438.5
214,38.5,27
215,61,289.75
216,1148,487.75
217,597.25,114.25
218,13.25,13
219,43.75,24.25
220,120.5,14.5
221,36.5,5
222,141.25,27.25
223,4,11.75
224,390.25,406
225,136.5,90.75
227,19.5,106.75
228,40.5,57.25
229,3.25,17
230,11,1.25
231,31.75,1
234,4,1.75
236,32.75,23.25
239,34.75,12.5
240,19.25,15.25
241,7.75,24.5
242,265,73.25
245,7,23
301,32,15
303,167,364.75
304,198.5,102.75
305,6.5,1.75
306,39.75,43.5
307,1.75,0.25
308,2.5,2.75
310,44.25,21.25
311,5.5,0.25
314,54.25,23.25
315,25.25,14.75
316,49.25,74.5
317,49.5,29.75
318,55.25,38
319,22.5,90.5
320,147.25,143.25
323,201.75,271.75
324,426.25,148
325,29,16.75
326,1528.25,907.25
327,455,552.25
328,164.5,161
329,175,131.25
330,67,11
331,78.25,186.25
332,192,81
335,76,8.5
336,15,4
337,7.75,6.5
338,26.5,25.5
401,17.5,2.5
402,48,7.25
404,7.75,35.25
405,44.25,70.25
406,70.25,35.75
407,80.75,33.75
408,56.25,10
409,34.75,44.25
413,38.75,36.75
414,47,19.25
415,51,19.25
416,8,7.75
417,39.5,47.5
418,27.5,28.75
419,109.5,59.75
421,31.5,11
422,111.75,58.5
423,22.75,12.75
501,128.75,129
502,48.25,18.25
503,90.25,48.5
504,526.75,223.5
505,178.75,175
506,250,68
507,115.5,139.5
508,99.75,180.25
509,420.75,235.25
510,918.5,732.5
511,125.5,55
512,294,28
513,247.5,54.75
514,434,196.75
601,1735.75,1100.75
602,1437.5,1133.75
603,297.75,455.25
604,55.75,28
605,1034.75,770.75
606,64.5,18.75
607,182.5,172.5
608,40.5,10.5
609,260,145.25
610,72.75,31
611,63.5,38.5
612,1301.25,858.5
613,35,116.25
701,7.25,88.25
702,354.5,211.75
703,87.25,91.25
704,423.25,745.5
705,362,333.25
706,87.25,112
707,197.75,109.25
708,18,10.25
709,268.25,193.75
711,169,37.75
712,4,2.75
715,51,15.5
716,125.5,40.25
721,30,108.75
725,15.5,6.25
726,8.5,1.5
801,95.25,254.75
802,1720.75,448.25
803,512.5,165.75
804,551.75,275.25
805,16,7.5
806,573,258.25
807,428.75,185.75
808,133.75,66.5
809,1136,1049
901,550,384
902,549.25,475.25
903,1071.75,572
904,603.25,301
905,76.25,406.25
906,827.25,1049.5
907,728.25,278.25
908,397.25,154.25
909,204.25,129.25
910,328,402.5
912,39.25,5.5
913,244.75,50.25
914,3,1
915,22.75,19
921,251.5,179.75
922,15.25,25.25
923,2.75,0.75
1001,1.5,0
1002,52.75,3
1003,16.5,6
1004,49.25,12
1005,21.5,14.5
1006,22.25,7.5
1101,33.5,23.75
1102,43.75,4.25
1103,47.25,13.5
1104,1214.25,463.25
1105,171.75,141.75
1106,71.5,50.5
1107,176.75,647.5
1201,6,138.75
1202,50.25,78
1203,1744,3040.25
1206,19.75,110
1207,89.75,445.25
1208,183.5,434.25
1209,572,634
1210,587.75,402
1211,398.75,399
1212,676,1355.75
1216,194.5,138.5
1217,5.25,21.5
1218,179.75,143
1219,6478.5,8916.75
1220,18.5,153.75
1221,319.25,304
1222,217.5,85.75
1223,32.25,58.75
1226,3.25,4.5
1302,1091,1057.25
1303,50.25,90
1304,86.75,56.5
1305,94.75,47.25
1306,49.75,35.5
1307,755.5,1598
1308,222,924.75
1309,33,19.75
1310,39.5,17.5
1311,1789.5,2108.5
1312,599.25,1124.75
1313,138.25,209.25
1401,116.75,184.75
1402,378.75,206.25
1403,323,275
1404,17.5,22
1405,40,15.25
1406,47,22
1407,324.25,353
1408,1919.25,2234
1409,25.25,0.25
1410,952.25,557
1411,85.25,102.75
1412,585.25,261.75
1413,206.75,607.75
1414,345,238
1415,256.75,188.5
1416,1399.25,2423
1417,72.75,96
1418,243,337.75
1501,200.25,250.25
1502,154,1219.25
1503,990.5,2096.5
1504,538.25,1426.75
1505,601.25,323.75
1506,1001.75,628.75
1507,207.25,96.25
1508,72.25,53.25
1509,303.25,172
1510,314,196.5
1511,745.25,347.5
1512,464.5,227.5
1513,954.75,571.75
1514,941,668.25
1515,28.5,29.75
1516,20.5,42.5
1517,3703,6527
1518,1845.5,950.5
1519,44.5,8
1520,59.25,84
1521,4.5,0
1523,145.5,169.75
1524,4.5,15.5
1601,341.5,376
1602,296,332.25
1603,110.75,77.5
1604,282.5,99.75
1605,203.75,129
1606,129.25,97.5
1607,214,27.25
1608,1155.25,2192.75
1609,3,0.25
1610,101.25,57.5
1611,240,208
1612,63,65
1613,146,60.5
1614,502.25,314.5
1615,461,667.75
1616,632.25,917.75
1617,435,557.5
1618,393,230
1619,293.25,180
1620,311.5,151.75
1621,30.25,142
1622,319.25,242.75
1623,159.75,231.75
1624,213.25,786.25
1625,236.25,128.5
1626,56.5,14.75
1628,5.5,0.5
1630,690.5,783.25
1631,325.75,626.25
1632,150.75,129.75
1634,62.25,89.5
1635,41.5,168.5
1636,23.5,2.75
1639,36.75,274.25
1641,143.75,192.5
1701,0.75,0
1702,240.25,80
1703,364.25,127.75
1704,597.25,167.5
1705,180,49.25
1706,541.75,169.75
1707,233,278.75
1708,123.75,28.75
1709,428,699
1710,222.75,131.25
1711,671.75,623.5
1712,154.75,134
1713,151.5,36.25
1714,86.75,4.75
1715,239,105.5
1716,542.5,443.25
1717,62.25,55.75
1718,165.5,1025.25
1719,82,101.25
1720,38.5,25.75
1722,433,202
1723,89.5,43.75
1724,14,3.75
1725,290.75,200.25
1726,801,586.75
1727,338.75,160.25
1728,257.75,289.5
1729,88.5,10.75
