,AggAreaName,bus_origins,ths_origins,ratio,total_growth,annual_growth
1,TiratCarmel,2086.0,1188.0,1.76,0.76,0.1518
2,Matam,705.0,120.0,5.88,4.88,0.5572
3,Neot Peres,302.0,175.0,1.73,0.73,0.1469
4,Neve David,2160.0,1318.0,1.64,0.64,0.1316
5,Ein Hayam,703.0,1640.0,0.43,-0.57,-0.1902
6,Bat Galim,679.0,648.0,1.05,0.05,0.0123
7,Kiryat Eliezer,1241.0,708.0,1.75,0.75,0.1502
8,Hamoshava,604.0,391.0,1.54,0.54,0.114
9,Lower City,1026.0,262.0,3.92,2.92,0.4071
10,Hadar Carmel,792.0,465.0,1.7,0.7,0.1419
11,Namal,336.0,194.0,1.73,0.73,0.1469
12,Neve Yosef,1601.0,525.0,3.05,2.05,0.3215
13,Hamifrats,2213.0,120.0,18.44,17.44,1.0722
14,Hutzot,260.0,32.0,8.12,7.12,0.6881
15,Kiryat Nahum,233.0,0.0,,,
16,Kiryat Ata Center,2642.0,686.0,3.85,2.85,0.4008
17,Kiryat Bialik South,100.0,701.0,0.14,-0.86,-0.3883
18,Kiryat Ata East,319.0,1279.0,0.25,-0.75,-0.2929
19,Shefaram,96.0,161.0,0.6,-0.4,-0.1199
20,Adi,39.0,0.0,,,
21,Alon Hagalil,26.0,0.0,,,
22,Tzipori,8.0,0.0,,,
23,Nazareth Area,2492.0,1585.0,1.57,0.57,0.1194
24,Kiryat Yam,6714.0,4268.0,1.57,0.57,0.1194
25,Kiryat Motzkin-Bialik,9584.0,6021.0,1.59,0.59,0.1229
26,Haifa Airport,60.0,32.0,1.88,0.88,0.171
27,Nesher Lower,894.0,491.0,1.82,0.82,0.1615
28,Kiryat Ata South,3435.0,3235.0,1.06,0.06,0.0147
