AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,267.437,31.0167,155.785,17.9811,9.19922,99.4128,45.3078,119.665,60.0397,118.169,21.4272,42.5827,46.913,7.1732,0,0,1.3938,0,0,0,0,0,0,16.9848,23.9104,0.875084,69.1285,16.8163
2,33.6672,56.3151,34.5449,175.982,0,14.0482,4.41497,0,6.50507,41.4847,0,0,2.20859,0,0,0,0,0,0,0,0,0,0,6.8485,17.1842,0,17.9807,0
3,15.9226,0,0,85.2572,0.53811,12.999,16.4489,7.26889,11.8225,5.51979,0,0,28.7461,11.6785,0,0,0,0,0,0,0,0,0,0,2.31142,0,0,0
4,8.77293,106.769,14.2103,180.669,74.4437,134.319,201.673,19.5568,172.086,118.306,0,43.6191,86.4632,23.4636,3.67996,0,0,0,0,0,0,0,0,3.48446,38.777,0,32.8444,2.32298
5,22.2342,0,22.2342,49.8628,13.7901,46.2508,111.286,6.13326,25.8206,36.349,23.5582,0,56.2964,0,5.21545,0,0,7.83908,0,0,0,0,0,0,39.2729,0,6.64689,0
6,1.36362,14.9189,0.765835,143.429,3.10295,66.1216,10.3076,9.2188,41.3688,25.556,0,6.51935,11.4649,0,3.48029,1.32739,0,0,0,0,0,0,0,103.354,6.79199,0.876045,0,4.99205
7,53.5531,16.1366,144.718,117.435,6.96181,72.8653,38.3694,18.8171,64.7203,163.244,15.4307,5.11791,12.5892,7.59932,19.4386,0,0,0,0,0,0,0,0,9.88446,8.5171,7.59932,24.5061,0
8,12.5294,11.4199,0,18.3109,0,116.932,26.4197,3.63199,28.6273,8.04231,0,4.05326,22.5904,24.2753,29.6672,0,0,0,0,0,0,7.84584,0,0,4.24428,0,0,8.99303
9,31.5391,11.1481,2.83473,26.9014,0,72.566,55.9973,0,22.9301,53.1228,0,0,25.0759,42.5053,17.298,0,9.85032,0,0,0,0,0,0,13.6279,19.6588,0,12.6565,0
10,9.32932,0,57.1311,13.3662,31.1571,90.1341,44.504,3.19954,8.57366,21.308,0,42.1566,74.4543,0,41.9883,1.58214,1.55329,0,0,0,0,0,0,20.2458,20.6157,11.3337,5.99664,0
11,0.165378,0,0.456579,0,0,23.3075,0,0,22.0531,0,0,0,0.251998,13.269,0,0,0,0,0,0,0,0,0,0.0769459,21.8151,0.0554096,0.128058,0
12,0,7.10657,54.6703,119.764,0,97.1384,65.1264,72.6988,107.951,87.5396,72.5691,59.7398,46.2242,10.6542,0,0,0,0,0,0,0,0,0,0,73.572,38.6972,22.1481,0
13,0,15.8818,3.91226,158.098,71.1011,75.9053,23.6767,13.0102,303.612,4.65554,0,61.3594,0.142212,0,0.202715,0,0,0,0,3.74528,12.286,0,0,170.603,139.721,0,21.1943,0
14,2.75,6.5,0,1.75,1.25,9.5,4.75,0.75,15.5283,5.25,1.75,21.9571,32.0792,16.4376,1.25,0.5,0,0,0,0,0,0,0.5,14.9587,16.8751,0.75,23.8179,1
15,0,5.72672,0,0,0,12.225,0,0,0,21.7014,0,0,1.93839,0,0,13.0154,0,0,0,0,0,0,0,77.3701,8.38384,1.89036,0,7.0098
16,0,32.7168,0,0,0,16.654,0,21.4815,57.2676,60.7427,5.53209,0,49.5843,21.2438,79.322,133.857,18.074,0,0,0,0,0,0,75.2578,198.039,22.3158,16.6767,500.257
17,0,5.98243,1.45055,0,0,0,0,2.77163,2.72045,1.98933,0,0,0,0,3.03728,0,14.892,0,0,0,0,0,0,1.77466,45.4774,0,0,0
18,0,0,7.56053,0,0,2.66437,0,0,15.6342,3.45711,1.25,0,6.16423,5.3669,18.0573,78.277,0,1,3.75,0,0.25,0.75,0.75,0,11.5433,0,18.0817,64.5459
19,0,0,0,0,0,0,0,0,0,13.0855,5.96578,1.72126,12.6546,0,4.31393,0,0,0,3.82707,0,0,0,0,0,5.84178,0,0,24.1434
20,0,0,0,0,0,9.71125,0,3.158,12.0078,0,0,0,0,0,2.73472,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0.594232,0,1.24232,0,3.89144,0,0,1.18846,0,0,4.54769,3.09496,0,0,0,0,0,2.09655,0,1.39491,0,0,0,2.78982,0,0,0
22,0,0.76068,0,0,0,2.25161,0,0,1.1612,0,0,0,1.01086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,168.096,235.71,0,479.9,4.4311,0,101.444,0,0,1,207.15,36.1007,1.5,0,129.267,0,0,0,0,0,82,0,201.236,0,0.5,44.5
24,34.058,68.514,199.913,25.3368,0,95.9699,30.6854,14.608,91.2906,226.254,32.3027,4.37067,147.417,112.372,255.09,25.0228,114.643,2.45433,0,0,0,5.68114,0.656742,956.887,1213.88,20.4607,91.0127,348.147
25,10.3425,110.485,176.237,114.487,44.8221,51.1126,58.1103,67.1043,214.713,240.354,72.0358,36.131,195.27,208.109,237.153,51.6693,211.105,4.4,0.431794,0,0,1.97101,1.19514,660.105,2065.1,104.744,214.354,203.093
26,0,9.25,0,3,0,0,0,0,0,0,0,0.75,1,0.5,2.25,1.5,0.5,0,1,0,0,0,0,0.75,8.25,1.5,0,3
27,30.5144,25.757,31.2332,18.1793,0,27.3689,27.0899,4.46085,79.2331,46.2896,0,16.5609,6.14977,23.0692,18.5611,0,4.46085,0,0,0,0,0,3.13537,0,28.2111,0,122.22,0
28,16.5728,10.9613,34.6229,11.4469,0,81.0663,0,49.2299,122.784,56.7824,13.4762,0,126.684,47.8649,234.538,220.185,16.8391,13.5777,0,0,0,0,0,144.715,194.018,57.6925,24.4117,602.9
