route,link,from_code,to_code,from_area,to_area,segment,direction,layer,flow_3h,PHF3h,flow_peak_hour
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,down,bus,188.7,0.6,111.4
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,bus,1488.9,0.6,879.0
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,bus,1464.1,0.6,864.4
T1,4,204,205,Hecht-Shprintzak,EinHayam,trunk,down,bus,1196.9,0.6,706.7
T1,5,205,206,EinHayam,BatGalim-KiryatEliezer,trunk,down,bus,1058.7,0.6,625.0
T1,6,206,207,BatGalim-KiryatEliezer,Hamoshava,trunk,down,bus,963.3,0.6,568.7
T1,7,207,208,Hamoshava,LowerCity,trunk,down,bus,1063.9,0.6,628.1
T1,8,208,209,LowerCity,Namal-Giborim,trunk,down,bus,1322.2,0.6,780.6
T1,9,209,210,Namal-Giborim,Hamifrats,trunk,down,bus,1160.9,0.6,685.4
T1,10,210,211,Hamifrats,Bazan-Hutsot,trunk,down,bus,975.0,0.6,575.6
T1,11,211,212,Bazan-Hutsot,TsometKiryatAta,trunk,down,bus,1075.2,0.6,634.8
T1,12,212,213,TsometKiryatAta,KiryatAta North,branch,down,bus,1173.8,0.6,693.0
T1,13,213,214,KiryatAta North,KiryatAta North-East,branch,down,bus,1154.7,0.6,681.7
T1,14,214,215,KiryatAta North-East,Shefaram,branch,down,bus,918.1,0.6,542.1
T1,15,215,216,Shefaram,Hamovil,branch,down,bus,649.7,0.6,383.6
T1,16,216,217,Hamovil,Nazareth,branch,down,bus,649.8,0.6,383.6
T1,1,201,202,TiratCarmel,Matam-NeotPeres,trunk,up,bus,535.6,0.6,316.2
T1,2,202,203,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,bus,510.4,0.6,301.3
T1,3,203,204,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,bus,655.0,0.6,386.7
