scope,link,from_area,to_area,segment,direction,survey: bus (calibrated),survey: rail,survey: taxi-type,ticketing: bus (RavKav × OnBoard),ticketing: train (station),step: survey bus 2018 (raw),"step: bus, all-RavKav volumes",survey: total (car + bus + taxi + rail),survey transit,ticketing transit,ratio survey / ticketing,transit share (survey set)
T1,1,TiratCarmel,Matam-NeotPeres,trunk,up,733.18,0.00,0.00,654.29,0.00,837.87,848.53,4745.88,733.18,654.29,1.12,0.15
T1,1,TiratCarmel,Matam-NeotPeres,trunk,down,248.82,0.00,0.00,193.41,0.00,269.95,239.92,1253.01,248.82,193.41,1.29,0.20
T1,2,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,up,709.82,0.00,0.00,847.63,22.99,613.83,772.88,3331.37,709.82,870.62,0.82,0.21
T1,2,Matam-NeotPeres,HofCarmel-NeveDavid,trunk,down,1283.00,0.00,96.02,772.30,32.66,664.49,1061.37,4569.66,1283.00,804.96,1.59,0.28
T1,3,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,up,811.00,0.00,0.00,1170.85,22.99,737.58,860.29,3448.94,811.00,1193.84,0.68,0.24
T1,3,HofCarmel-NeveDavid,Hecht-Shprintzak,trunk,down,1293.07,0.00,61.36,961.40,32.66,800.09,1065.63,4517.51,1293.07,994.06,1.30,0.29
T1,4,Hecht-Shprintzak,EinHayam,trunk,up,1341.50,0.00,0.00,1483.20,22.99,1851.71,1335.36,4623.26,1341.50,1506.19,0.89,0.29
T1,4,Hecht-Shprintzak,EinHayam,trunk,down,1032.80,0.00,39.52,1469.20,32.66,716.25,837.43,4155.08,1032.80,1501.86,0.69,0.25
T1,5,EinHayam,BatGalim-KiryatEliezer,trunk,up,1643.34,0.00,0.00,1533.41,22.99,2139.27,1609.87,5702.18,1643.34,1556.40,1.06,0.29
T1,5,EinHayam,BatGalim-KiryatEliezer,trunk,down,806.03,0.00,0.00,1530.85,32.66,510.86,644.02,3603.45,806.03,1563.51,0.52,0.22
T1,6,BatGalim-KiryatEliezer,Hamoshava,trunk,up,1292.72,0.00,0.00,1070.98,27.11,1320.44,1314.96,5364.60,1292.72,1098.10,1.18,0.24
T1,6,BatGalim-KiryatEliezer,Hamoshava,trunk,down,634.73,0.00,345.74,2158.66,77.53,212.30,473.67,5387.17,634.73,2236.19,0.28,0.12
T1,7,Hamoshava,LowerCity,trunk,up,1415.02,0.00,0.00,1007.73,27.11,1518.77,1377.36,4386.88,1415.02,1034.84,1.37,0.32
T1,7,Hamoshava,LowerCity,trunk,down,642.19,0.00,360.21,2060.06,77.53,212.30,520.68,3875.22,642.19,2137.59,0.30,0.17
T1,8,LowerCity,Namal-Giborim,trunk,up,868.54,0.00,0.00,668.71,21.01,921.62,796.78,3379.72,868.54,689.72,1.26,0.26
T1,8,LowerCity,Namal-Giborim,trunk,down,938.11,0.00,354.42,2832.92,69.68,328.43,824.39,4404.04,938.11,2902.61,0.32,0.21
T1,9,Namal-Giborim,Hamifrats,trunk,up,554.27,0.00,0.00,561.15,21.01,428.01,479.51,2775.62,554.27,582.16,0.95,0.20
T1,9,Namal-Giborim,Hamifrats,trunk,down,778.18,0.00,345.74,2622.34,69.68,323.59,589.22,4200.79,778.18,2692.02,0.29,0.19
T1,10,Hamifrats,Bazan-Hutsot,trunk,up,382.14,0.00,0.00,246.03,11.34,254.54,338.73,1742.58,382.14,257.37,1.48,0.22
T1,10,Hamifrats,Bazan-Hutsot,trunk,down,820.05,0.00,345.74,2353.14,23.94,203.67,495.65,4662.43,820.05,2377.08,0.34,0.18
T1,11,Bazan-Hutsot,TsometKiryatAta,trunk,up,226.38,0.00,0.00,118.81,0.00,145.95,206.93,1561.62,226.38,118.81,1.91,0.14
T1,11,Bazan-Hutsot,TsometKiryatAta,trunk,down,943.21,0.00,345.74,2333.57,0.00,235.56,533.31,4804.74,943.21,2333.57,0.40,0.20
T1,12,TsometKiryatAta,KiryatAta North,branch,up,76.57,0.00,0.00,53.73,0.00,0.00,75.99,797.46,76.57,53.73,1.43,0.10
T1,12,TsometKiryatAta,KiryatAta North,branch,down,1115.88,0.00,345.74,2394.44,0.00,347.12,662.85,5729.38,1115.88,2394.44,0.47,0.19
T1,13,KiryatAta North,KiryatAta North-East,branch,up,43.62,0.00,0.00,52.48,0.00,0.00,50.26,800.08,43.62,52.48,0.83,0.05
T1,13,KiryatAta North,KiryatAta North-East,branch,down,1033.63,0.00,345.74,2230.38,0.00,362.98,627.89,5537.19,1033.63,2230.38,0.46,0.19
T1,14,KiryatAta North-East,Shefaram,branch,up,3.53,0.00,0.00,52.64,0.00,0.00,4.45,844.46,3.53,52.64,0.07,0.00
T1,14,KiryatAta North-East,Shefaram,branch,down,718.04,0.00,345.74,2096.90,0.00,235.56,328.30,4366.56,718.04,2096.90,0.34,0.16
