scope,layer,direction,n sampled,PHF3h,start,PHF60,PHF3h p5,PHF3h p95,PHF60 p5,PHF60 p95,peak hour
T1,CAR,up,203,0.6258,7.2500,0.7564,0.5001,0.7556,0.5228,0.8491,07:15–08:15
T1,CAR,down,240,0.5779,7.0000,0.7576,0.4407,0.7193,0.4517,0.8733,07:00–08:00
T2,CAR,up,332,0.6189,7.2500,0.8065,0.5050,0.7585,0.5595,0.8709,07:15–08:15
T2,CAR,down,447,0.5693,7.2500,0.5895,0.5103,0.6879,0.4996,0.8112,07:15–08:15
T3,CAR,up,241,0.6516,7.2500,0.7816,0.5343,0.7904,0.5284,0.8629,07:15–08:15
T3,CAR,down,299,0.5695,7.0000,0.6457,0.4776,0.6715,0.4954,0.8335,07:00–08:00
network,CAR,up,777,0.5556,7.2500,0.7894,0.4926,0.6358,0.6390,0.8938,07:15–08:15
network,CAR,down,1001,0.5220,7.0000,0.8854,0.4463,0.6092,0.6876,0.9209,07:00–08:00
T1,BUS,up,74,0.7404,6.7500,0.5265,0.6183,0.8785,0.3696,0.8015,06:45–07:45
T1,BUS,down,37,0.4963,6.2500,0.5805,0.4324,0.7365,0.3370,0.6700,06:15–07:15
T2,BUS,up,103,0.5918,7.5000,0.5509,0.5422,0.7775,0.4016,0.7238,07:30–08:30
T2,BUS,down,80,0.5658,6.2500,0.5999,0.4482,0.7496,0.4034,0.7540,06:15–07:15
T3,BUS,up,88,0.6930,6.7500,0.5371,0.5806,0.8513,0.3895,0.7867,06:45–07:45
T3,BUS,down,60,0.5679,7.0000,0.6822,0.4756,0.7489,0.3938,0.7246,07:00–08:00
network,BUS,up,143,0.5494,7.5000,0.6233,0.4630,0.7329,0.4241,0.8439,07:30–08:30
network,BUS,down,153,0.4568,7.0000,0.7674,0.4279,0.6167,0.4937,0.7775,07:00–08:00
T1,TAXI,up,2,1.0000,6.2500,0.2500,1.0000,1.0000,0.2500,0.2500,06:15–07:15
T1,TAXI,down,6,0.9767,7.0000,0.2581,0.5713,1.0000,0.2500,0.2661,07:00–08:00
T2,TAXI,up,0,,,,,,,,
T2,TAXI,down,4,0.5674,6.5000,0.2500,0.5327,1.0000,0.2500,0.2500,06:30–07:30
T3,TAXI,up,0,,,,,,,,
T3,TAXI,down,5,0.9202,7.7500,0.2500,0.5713,1.0000,0.2500,0.2500,07:45–08:45
network,TAXI,up,3,0.5680,7.7500,0.2500,0.5680,1.0000,0.2500,0.2500,07:45–08:45
network,TAXI,down,8,0.9773,7.7500,0.3480,0.7111,1.0000,0.2500,0.4334,07:45–08:45
study area,CAR,—,15949,0.6209,7.0000,0.6859,,,,,07:00–08:00
study area,BUS,—,1790,0.5890,7.0000,0.7696,,,,,07:00–08:00
study area,TAXI,—,99,0.5879,7.0000,0.6633,,,,,07:00–08:00
study area,RAIL,—,54,0.5606,6.2500,0.5761,,,,,06:15–07:15
