AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,32832.7,2181.18,518.525,0,449.712,414.218,697.615,0,622.122,0,247.319,300.614,1013.11,0,1448.73,0,0,0,0,0,0,0,0,0,0,370.03,370.431,0
2,102.205,554.887,0,0,156.544,0,0,35.6289,0,0,0.00197855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00597171,0.00658919,0.0515762,0
3,6.7645,204.877,198.097,0.458756,0.432678,12.2886,16.6026,1.37312,181.57,2.26179,0.106192,0.210913,0.353116,38.0136,0.138433,0.000867569,0.0167271,0,0,0,0,0,0.055576,0.0886147,0.132597,5.88531,0.241334,0
4,236.354,198.376,129.675,248.531,242.329,119.3,54.5099,0,0,291.742,0.0025303,0,61.9804,0,0,0,0,0,0,0,0,0,0,0,0.00905653,0.00842668,23.806,0
5,283.79,75.4971,23.2664,266.213,293.729,232.247,75.9656,1406.55,183.037,569.482,0.00571426,0,24.7424,0,0,0,0,0,0,0,0,0,0,20.9893,80.7627,38.5,76.0775,0
6,166.493,88.7974,0.033619,61.5314,36.0726,1253.52,258.553,90.0756,45.6065,40.4394,5.95103,19.6948,101.614,3.77584,0.172221,0.0361616,0.0304631,0.00653569,0.0152557,0.00036253,0.0188638,0,0.00185906,0.194346,38.1585,0.663298,39.4104,0.103097
7,290.697,359.26,0,148.798,153.379,800.479,315.522,336.286,338.251,204.622,63.5706,0,100.664,38.1688,0,0,0,0,0,0,0,0,0,0,0.0182538,5.87862,39.256,0
8,5.05563,331.15,0,0,0,1987.75,40.2396,741.758,69.4258,162.23,0.00445438,18.4655,221.773,0,0,0,0,0,15.7272,0,0,0,0,0,0.050312,0.0148344,255.688,85.1445
9,2.04912,0.0402566,0.0172096,0.00623315,0.00587882,11.6298,19.4018,502.65,856.253,85.0246,23.6524,0.00103997,23.1408,0.141727,201.444,0.0185112,61.8144,0.00334563,33.462,0.000185579,0.00965641,0,232.548,0.0994859,79.8355,8.09831,8.08964,0.0527753
10,4.06332,0,35.6983,37.3122,21.9567,19.2135,32.2018,320.135,428.321,1948.54,4.97898,0,74.1733,112.299,310.562,0,0,0,0,0,0,0,0,0,0.0314092,12.4162,195.868,10.4548
11,5.76886,8.24959,0.0466269,0.0168878,0.0159278,0.171069,0.0447092,0,9.96272,0.026879,545.515,103.527,3.87424,0.383988,0.238857,0.0501533,0.04225,0.00906449,0.0211584,0.0005028,0.0261626,0,0.00257837,21.5836,120.185,47.3931,0.283983,0.142987
12,149.499,0,0,0,0,0,0,0,0,0,50.617,0,14.1603,0,0,0,0,0,0,0,0,0,0,0,0.00522527,0.00189967,149.702,0
13,0.86254,39.7984,46.191,1.69085,1.72569,86.1195,140.81,0,7.18639,0.312663,7.85275,0.0327754,182.283,30.902,2.77844,0.583394,9.39178,10.0087,0.988012,0.00584868,0.304329,0,0.0299922,18.7388,89.391,39.1579,33.8275,10.8691
14,1.20085,130.595,0.452703,0.163965,0.154644,1.66092,0.434084,0,25.0054,0.26097,8.27351,0.0273566,79.7059,455.72,108.017,40.6892,0.410207,0.0880077,0.205428,0.00488172,0.254015,0,0.0250336,102.214,400.987,73.4586,29.5068,163.406
15,0.568659,40.0867,0,0,0,11.9081,19.8916,0,0,0,0.0118523,0,0,0,43.995,91.3257,0,0,37.5444,0,119.601,0,0,124.206,127.452,31.1937,0.130031,116.962
16,0.804145,0,0,0,0,0,0,0,160.184,144.496,199.415,0,225.18,136.923,160.605,1251.18,0,105.338,0,0,0,0,0,0,853.682,21.1248,344.335,3781.6
17,1.22751,0,83.8892,0,0,429.997,234.858,0,156.121,0,0.0129142,0,721.223,144.577,262.358,320.843,292.537,0,0,0,0,0,0,23.0262,1062.18,64.6397,104.292,282.839
18,0.413877,181.73,576.739,0,0,0,0,0,91.5602,0,0.00811121,73.5556,0,51.4464,39.5005,132.199,0,768.239,0,136.328,0,0,0,33.9925,571.389,7.93637,0.224104,1910.34
19,2.35023,0.000142817,5.24009e-05,1.89791e-05,1.79002e-05,79.1593,5.02457e-05,0.000353608,164.256,55.1161,65.3638,73.5102,135.327,6.46385,263.901,144.216,0.000268042,0.000100228,2247.75,3.47283,18.9542,9.98886e-05,96.1184,0.00016085,51.1119,12.3769,281.958,0.00160648
20,1.06387,0,0,0,0,102.683,171.951,0,0,0,0.00111253,0,27.7892,0,0,0,0,142.536,145.465,1606.05,0,0,178.42,10.4223,1104.11,0.00370507,0.235574,178.974
21,84.0933,0,0,0,0,0,0,0,0,0,21.615,0,0,34.8469,0,0,0,0,276.624,40.6018,6642.67,27.6179,157.554,0,26.1948,5.37981,0,0
