AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,33231.9,2632.5,712.427,103.464,515.479,752.261,938.431,61.3083,819.528,129.338,263.322,374.508,1131.23,44.3132,1498.75,3.63653,0.847917,0.593942,0,0.00654527,0,0.394914,1.2629,31.1273,96.4411,383.741,413.696,8.44716
2,145.093,603.922,21.6833,10.8255,163.77,36.4721,25.4342,47.4546,35.5184,25.5965,2.43486,13.9745,18.3771,6.97374,10.0808,5.33701,0.457552,0.856526,0.0156721,0.001997,0.00782351,0.0299666,0.461262,8.59478,18.8205,1.98484,6.21032,11.7842
3,26.391,227.512,208.989,5.39217,3.69915,29.1692,28.1591,6.88851,198.241,14.2623,1.23123,6.6998,8.85079,41.5294,4.83776,2.52857,0.233732,0.404715,0.0074465,0.000930001,0.00372682,0.0133451,0.275538,4.14747,8.84689,6.84521,3.0895,5.57951
4,347.633,321.103,185.134,276.223,260.576,212.064,119.02,30.7147,92.079,358.919,6.27586,36.6572,109.542,17.988,26.4543,14.2481,1.23542,2.277,0.0423199,0.00532311,0.0212705,0.0761473,1.23507,23.203,49.717,5.09129,39.5925,31.4553
5,396.756,205.153,81.6783,295.896,312.895,330.642,144.701,1439.29,280.741,639.856,6.67208,38.2858,75.0581,19.1085,27.7446,14.9777,1.26798,2.40731,0.0439971,0.00550735,0.0219097,0.0781934,1.27459,44.4782,132.011,43.8885,92.8633,33.0649
6,217.838,145.112,25.369,74.3348,44.5406,1297.74,288.271,104.3,87.777,71.0469,8.83459,36.3707,123.713,11.9961,12.2052,6.52902,0.589284,1.04639,0.0350327,0.0027735,0.0285785,0.034949,0.563952,10.6153,60.9219,2.9961,46.8114,14.437
7,413.717,497.056,62.2411,179.905,173.963,904.678,388.074,371.08,441.845,279.635,70.7123,40.8971,154.047,58.4124,29.5701,15.9431,1.36745,2.55455,0.047116,0.00591338,0.0235819,0.0843042,1.37046,25.5344,55.2013,11.6103,57.0494,35.1967
8,24.5101,371.397,18.6874,9.46366,6.1736,2018.73,62.3827,776.455,171.895,207.687,3.54133,55.2202,248.473,10.1454,11.1081,1.24451,0.520064,0.199271,15.7918,0.000703974,0,0.13639,4.81841,5.1631,19.0901,2.90091,263.595,88.0171
9,23.7986,43.799,20.403,10.1983,6.72095,46.1523,43.3265,540.059,967.676,134.677,27.4926,40.2903,52.0413,11.1214,213.056,1.37892,62.4225,0.220401,33.4054,0.000961947,0.00971605,0.151176,236.781,5.80926,100.915,11.2099,16.6577,3.05955
10,23.3022,51.8642,60.0143,49.6801,30.0009,60.8483,60.9594,341.048,492.094,2013.45,11.1979,27.4642,121.182,130.389,329.614,1.40701,0.885886,0.224351,0.0930278,0.00928743,0,0.105407,5.24264,9.72394,19.822,17.5009,224.278,14.2634
11,11.3145,17.0967,4.13557,2.05166,1.36098,6.98261,4.82631,3.7122,21.1798,8.33602,545.723,107.516,3.87377,0.383776,1.23644,1.9034,0.45043,0.305469,0.17908,0.00130352,0.0834404,0.139747,0.95111,22.7177,124.205,47.4151,4.21069,4.23343
12,197.344,48.7102,21.6663,10.9513,7.15462,37.1087,25.6453,37.3627,114.108,69.2654,56.1071,48.0226,55.5125,15.7215,17.6227,2.60162,1.15627,0.414775,0.133772,0.00170276,0.00425961,0.152517,4.654,9.83046,25.7274,4.46423,163.785,5.7657
13,45.1822,110.498,78.5483,17.8256,12.3658,140.774,181.181,29.6777,96.106,66.5487,6.71637,33.5532,180.915,28.6506,9.05833,15.0383,12.3752,12.3253,2.09807,0.00867918,0.577063,1.11781,7.59862,25.8359,118.083,38.2813,64.364,42.5674
14,7.96513,141.355,5.40762,2.62189,1.77955,9.96946,6.18882,4.49104,38.611,10.3163,8.27084,5.10991,79.6728,455.827,109.271,42.9991,0.905694,0.446297,0.395933,0.00585012,0.322121,0.17005,1.17572,103.985,405.675,73.454,34.2494,168.341
15,9.91177,55.4268,7.09626,3.55015,2.33792,23.8517,28.2959,6.43661,19.4958,14.1281,0.44928,7.34771,3.27432,1.24893,49.2289,98.5833,1.00737,1.17598,37.8127,0.00192565,119.606,0.229602,1.6005,128.922,138.903,31.6702,7.57449,133.096
16,11.7452,28.926,13.5819,6.82999,4.47986,24.7348,16.016,12.2616,197.787,162.558,214.235,16.5658,336.161,179.143,281.165,1397.46,12.329,128.803,0.47271,0.0212434,0.0200648,0.0609709,1.81108,78.9872,1014.05,33.107,378.055,4102.72
17,20.9309,7.77897,86.7745,1.50219,0.967868,435.696,238.451,9.07897,184.448,5.7923,4.99193,10.439,759.112,159.019,278.864,326.067,360.677,0.535702,0.284618,0.00136565,0,0.0817458,2.97947,55.5486,1401.02,68.7639,110.253,290.544
18,5.39561,194.97,582.644,3.093,2.0387,11.2294,7.26517,5.5723,108.776,8.14657,6.67863,81.0645,50.3898,70.633,94.8524,198.497,5.43787,779.535,0.215486,136.509,0.00921333,0.027747,0.821337,70.4331,644.259,13.3702,15.3681,2057.4
19,3.57646,2.35739,1.09097,0.55109,0.360209,82.4711,1.29074,3.5023,175.993,59.4723,74.0804,77.9258,198.786,30.3929,291.935,149.483,0.484254,0.724487,2269.79,3.49257,18.9258,0.11375,100.396,4.44941,75.5881,19.2287,297.154,9.86967
20,1.57317,0.228609,0.088856,0.0454365,0.0294191,102.959,172.241,0.522203,1.60682,1.77274,0.107847,0.542835,28.6033,0.306073,0.483665,0.322549,0.0110354,142.789,145.041,1609.1,0.0103665,0.00633218,177.349,10.6402,1105.84,0.0910678,5.49467,182.888
21,84.4601,0,0,0,0,0,0,0,0,0,21.7983,0,0,35.1128,0,0,0,0,277.378,40.7865,6652.61,27.6575,157.35,0,29.1371,5.42017,0,0
