AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,541.94,261.595,222.637,55.1597,61.58,211.171,168.44,113.001,306.67,293.681,2.44294,133.61,5.63755,5.07685,4.30005,0.999592,2.36435,0.249663,0,0,0,0,0.116036,6.85672,367.718,0.950146,12.6857,2.04624
2,31.7044,33.7883,29.8229,6.86161,8.16536,27.42,21.3802,9.44496,23.9521,21.0651,2.4998,12.5442,6.04161,5.18591,6.5186,6.09983,1.02409,1.50488,0,0.000222356,0.000531976,0,0.000860006,9.47643,15.6215,0.95912,0.819427,12.8081
3,11.8387,12.8092,11.2209,2.59778,3.06299,10.5173,7.98533,3.54582,9.03313,7.90056,0.941216,4.71545,2.29269,1.97341,2.47318,2.31137,0.386692,0.569509,0,8.3444e-05,0.000201322,0,0.000296948,3.62524,5.78971,0.365443,0.306483,4.85308
4,102.696,106.162,94.1669,21.3588,25.7338,85.8672,66.8198,29.9184,74.8642,66.6417,7.85668,39.7268,19.1632,16.3013,20.724,19.318,3.2957,4.75499,0,0.000712946,0.00171105,0,0.00251689,30.988,49.246,3.00525,2.54554,40.5867
5,155.657,171.311,150.808,34.9686,41.3335,139.299,108.723,47.4539,121.228,105.707,12.7514,63.1123,30.6654,26.4543,33.0527,31.0106,5.14775,7.66038,0,0.00112276,0.00268133,0,0.00396844,47.2731,77.678,4.90019,4.15205,65.0935
6,47.8813,49.3591,43.6451,9.96864,11.932,40.0464,31.0744,13.8582,34.9103,30.9167,3.65743,18.4072,8.88417,7.58941,9.59862,8.96145,1.51974,2.20757,0.000247444,0.000328806,0.00118259,1.55726e-06,0.00121365,14.2234,22.7339,1.40458,1.18903,18.8233
7,120.006,127.586,112.744,25.8557,30.8554,103.469,80.6375,35.6497,90.1284,79.41,9.47096,47.3745,22.9346,19.6464,24.7616,23.1561,3.89747,5.70986,0,0.000846529,0.00202672,0,0.00299026,36.2269,58.5197,3.63164,3.07579,48.6285
8,9.85044,46.05,40.5787,9.49546,11.1355,40.415,29.4482,51.4367,132.86,63.4888,20.919,73.2652,50.0328,43.4152,34.2585,0.24412,3.84337,0.0603938,0.0263973,0.000485366,0.148402,0.00155668,0.00458556,1.73208,14.7539,8.05141,25.2135,1.13781
9,5.1058,23.0022,20.3541,4.70623,5.57646,20.1238,14.6435,25.9502,66.2736,32.1103,10.4156,36.8869,25.1033,21.6163,17.1075,0.122346,1.95614,0.030208,0.0134385,0.000245835,0.0755476,0.000792774,0.00234765,0.894833,7.52781,3.99898,12.5199,0.571803
10,7.68907,48.6041,42.7793,10.0531,11.7461,42.0433,31.1411,30.7833,80.1348,108.847,17.793,46.2197,42.437,36.9314,29.0863,0.146245,3.23189,0.0362103,0.0109469,0.00133932,0.0586959,0.00062203,4.35693,7.84035,14.0676,6.85399,32.5122,2.06107
