TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
101,1,False,8850.8255,7766.0000,6613.0000,6982.0000,5297.2255,4793.7679,7725.3806,7738.9329,2536.4362,2295.3688,own rate (multiplicative),2355.9009,2217.8271,own rate (multiplicative),601.6982,544.5117,327.2228,320.9051,0.0000,0.0000,0.0000,0.0000
102,1,False,2424.7991,1300.0000,1482.6498,939.0000,1410.5657,774.0568,1848.5270,1108.3871,1497.5887,821.8113,own rate (multiplicative),2045.3764,1152.5198,own rate (multiplicative),0.3071,0.1685,4.8107,2.8239,0.0000,0.0000,0.0000,0.0000
103,1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,157.7568,157.7568,superzone rate on the increment,2236.0645,2101.3278,superzone rate on the increment,11.5035,11.5035,6.0265,5.8998,0.0000,0.0000,0.0000,0.0000
104,1,False,3052.5857,6043.0000,198.3560,445.0000,1569.5523,3113.6065,968.8283,1960.5324,1256.7967,2493.1762,own rate (multiplicative),425.5504,809.2593,own rate (multiplicative),218.8656,434.1757,65.0981,128.9637,57.6813,114.4255,0.0000,0.0000
106,1,False,8069.2356,15976.0000,12765.7229,40447.0000,5662.2134,13086.0095,12528.4960,37158.9358,6408.2954,14810.2884,own rate (multiplicative),10652.9153,29692.1932,own rate (multiplicative),312.2622,721.6729,1140.7811,3312.3675,0.0000,0.0000,84.1547,256.8559
107,1,False,5755.3981,6492.0000,2550.1841,3509.0000,3228.2765,3719.6253,3598.6056,4574.1256,3723.9908,4290.7880,own rate (multiplicative),2978.3687,3557.6382,own rate (multiplicative),104.6432,120.5701,98.8622,123.0201,0.0000,0.0000,0.0000,0.0000
108,1,False,3457.3034,1999.0000,3240.3987,2091.0000,2150.4438,1270.2546,3552.8315,2231.2618,3046.4961,1799.5475,own rate (multiplicative),2632.9284,1553.9049,own rate (multiplicative),47.7869,28.2274,168.5554,103.6312,0.0000,0.0000,108.1633,69.9041
109,1,False,3995.2704,2310.0000,3049.0000,3164.0000,2399.0696,1560.3048,3539.2624,3187.1968,560.9587,364.8358,own rate (multiplicative),961.7629,813.9048,own rate (multiplicative),3.4721,2.2582,16.9752,14.9652,0.0000,0.0000,0.0000,0.0000
110,1,False,6329.2070,6426.0000,1505.6690,1866.0000,3389.5837,3483.1174,2899.8699,3218.8664,599.3047,615.8422,own rate (multiplicative),627.2696,654.3169,own rate (multiplicative),1.7787,1.8278,6.1045,6.6336,0.0000,0.0000,0.0000,0.0000
111,1,False,6058.6920,11502.0000,1620.3119,4540.0000,3266.8374,6382.8299,2921.6741,6738.6078,3023.2277,5906.8591,own rate (multiplicative),2843.0984,6162.2565,own rate (multiplicative),270.3195,528.1572,153.0880,345.6618,42.0056,82.0716,0.0000,0.0000
