AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,14799.3,1561.39,497.191,31.3194,310.872,228.28,352.187,0.337539,326.532,0.360667,165.629,214.974,545.253,0.785301,800.433,7.53853,0,16.1414,0,0,0,0,0,42.5983,0,247.56,184.689,0.350531
2,528.005,628.486,92.0013,25.2065,195.709,91.256,32.9412,56.0862,39.006,45.9341,6.29593,6.05644,22.4581,15.6809,11.405,3.23522,0.30557,2.28201,0,0,0,0,0.96178,12.0803,2.95951,6.0007,9.59608,5.19514
3,104.085,415.933,345.874,47.6491,31.0975,218.701,91.9773,86.8551,294.19,163.42,6.53249,19.6138,23.308,51.9534,10.2642,0.205795,1.23029,0,0,0,0,0,3.87234,14.3243,10.4982,11.7019,15.6666,0
4,170.171,322.905,209.186,228.495,262.131,187.405,75.4661,26.5539,36.7464,335.518,1.99959,5.99644,65.8414,4.97549,3.13803,0.107978,0.376133,0,0,0,0,0,1.18388,6.97118,3.78938,1.90819,28.5567,0
5,224.193,90.638,119.663,281.863,365.486,278.27,86.3352,1435.72,199.208,639.557,0.00746836,0,26.7554,0,0,0.138126,0,0,0,0,0,0,0,31.1881,93.0411,41.4151,93.1137,0
6,261.172,221.239,86.0026,115.94,80.8808,1445.12,296.002,96.5581,55.7836,47.8045,6.82484,27.4591,229.381,4.68501,0.536235,1.09479,0.0337305,1.64169,0.0137346,0.000249078,0.0210123,0,0.00195002,13.6701,137.236,0.813324,100.452,0.0805111
7,228.428,505.212,80.1556,140.763,146.915,891.565,337.78,325.134,347.517,218.412,58.2715,0,102.531,38.3811,0,0.115418,0,0,0,0,0,0,0,6.63867,1.4851,5.91955,42.5766,0
8,0,290.718,69.9477,16.4084,0,1944.15,37.4236,629.641,63.3656,153.863,0.00600893,20.7131,198.016,0,1.64996,3.88712,0,7.71794,14.5388,0,0,0,28.3767,6.39226,4.51257,0.0131903,259.353,71.0273
9,0.00653331,0.0360097,28.5951,6.70952,0.00608134,11.729,18.286,484.814,797.689,114.9,23.6626,0.00118304,32.6119,0.131489,215.382,3.27034,59.5318,6.01366,42.6368,0.000121902,0.0102837,0,235.777,15.3191,89.7514,11.1716,16.3351,0.0394031
10,0,0,102.639,51.5632,28.5932,19.2505,30.1266,282.652,419.553,2043.87,7.29938,0,75.4908,107.286,311.086,3.98131,0,8.15503,0,0,0,0,13.6862,8.97541,3.14749,15.786,223.965,10.0896
11,6.88451,7.74659,5.28533,1.24322,0.012538,0.119527,0.0307101,0,7.01669,0.0216036,469.345,127.455,3.91438,0.271094,1.16074,2.64119,0.0340351,4.55508,0.0138586,0.000251327,0.021202,0,0.00196763,34.5742,130.428,37.845,1.42337,0.081238
12,200.932,0,6.53681,1.53341,0,0,0,0,0,0,46.1739,0,13.6286,0,0.150463,0.357568,0,0.703815,0,0,0,0,2.47248,0.797173,0.451319,0.00164495,142.379,0
13,0.0848395,38.6026,49.507,2.20021,1.39952,97.1681,147.393,0,4.72212,0.13607,7.55962,0.0153626,170.562,27.6474,2.00006,2.41975,8.17185,12.023,0.723514,0.00158298,0.13354,0,0.0123931,29.699,93.1248,33.1754,31.8574,8.47086
14,0.15551,137.728,7.08113,1.70011,0.144752,1.37994,0.354549,0,20.7644,0.249415,9.59455,0.0281595,70.3819,394.596,112.245,69.8315,0.392937,5.85622,0.159998,0.00290158,0.244778,0,0.0227164,191.24,367.183,67.9165,31.7772,150.643
15,0.805174,34.0064,8.75175,2.3103,0.954684,21.587,22.7041,5.26882,10.2277,6.38281,6.06288,1.9135,21.5915,15.0758,151.619,264.911,5.9998,153.303,38.4892,4.06779,93.0697,1.67331,5.38273,200.824,211.131,35.993,14.8918,420.166
16,2.49263,14.1102,21.3534,5.65195,2.38513,21.1852,5.84204,11.9524,312.575,170.658,318.101,4.28294,318.616,211.248,474.812,2267.69,35.9361,798.215,0.421727,8.76085,0,3.58443,18.4324,75.4707,1426.39,41.9191,428.22,5118.98
17,0,0,68.4362,1.16357,0,376.822,193.662,0,122.164,0,0.0167466,0,568.719,112.422,236.438,307.789,234.268,7.47591,0,0,0,0,2.12754,36.4041,940.325,50.4708,84.4274,197.919
18,3.76355,187.23,517.444,7.21926,4.46238,39.0459,10.93,24.6275,124.781,29.8346,28.2893,94.0365,100.923,115.965,550.847,1100.54,28.0443,1363.73,0,118.673,0,7.82141,25.6684,169.453,832.672,33.9503,66.0703,3271.28
19,0.000229573,0.000139027,1.37473,0.32249,1.68579e-05,70.8707,4.1291e-05,0.000293085,139.721,46.7878,51.0887,75.6725,115.247,6.12223,232.453,119.48,0.000258331,11.7184,1851.39,2.39354,20.9721,7.61885e-05,80.5828,6.10217,55.6661,14.0829,249.296,0.0010955
20,0,0,6.12922,1.4378,0,105.453,163.028,0,0,0,0.00126619,0,23.8732,0,2.30318,5.78845,0,128.173,129.097,1215.36,0,0,134.946,13.098,924.694,0.00277942,2.55482,156.065
21,35.5921,0,0.691575,0.162231,0,0,0,0,0,0,12.7588,0,0,22.5652,0,0.045734,0,0,183.019,29.2621,4955.65,22.532,97.3902,0.947465,24.8527,3.46652,0,0
22,0,0,1.71432,0.402148,0,0,0,0,0,0,0.000902428,0,60.9939,0,217.467,1.0421,0,2.2743,0,0,0,1522.75,10.302,0.959997,35.5013,0.00198093,243.249,0
23,0,0.0203128,5.73295,1.3458,0.00354984,152.825,0.00869483,0.00675225,125.933,0.00820029,4.02875,0.126773,89.2042,10.0115,6.31424,0,0,0,183.132,0.00284205,0.0184225,429.565,24313.8,16.6098,0.0107708,3.85113,76.8516,0.00565416
24,12.3052,285.022,131.159,61.3818,11.4539,517.88,164.928,0,539.847,465.135,114.968,2.2282,690.443,1148.35,963.154,80.742,551.913,64.378,12.6603,0.229597,19.3688,0,10.0137,16064.4,8849.22,578.967,552.14,218.146
25,290.886,749.902,119.671,29.2315,4.30016,534.653,92.4678,8.4207,890.746,473.07,554.02,80.0149,1440.76,1815.54,1477.08,670.261,3163.58,221.329,5.33247,0.596424,0,174.213,114.375,8792.9,38317,1100.61,1182.34,595.778
26,0.12312,12.0386,12.3328,10.9998,0.114603,1.09253,0.280704,0,13.9364,0.197467,27.6011,0.0222944,19.8375,58.4944,22.3892,12.3618,0.311096,3.40902,0.126674,0.00229724,0.193796,0,0.017985,105.613,282.703,92.4429,6.25386,23.238
27,20.3366,136.88,392.847,25.4298,16.4056,99.6603,89.2585,12.2835,41.5534,149.269,48.7024,273.056,849.764,61.1669,33.3283,23.8712,59.2753,69.9115,4.86264,2.82749,0.096788,3.42149,0.442446,79.9075,79.4117,54.5956,3208.67,74.6494
28,97.5562,0,24.325,5.7062,42.7024,0,0,205.669,212.195,35.6217,209.34,0,743.504,237.586,1632.92,6463.8,108.714,1102.26,0,0,0,0,215.927,276.732,2063.41,41.3974,260.351,14886.8
