TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
101,1,False,8850.8255,13896.0000,6613.0000,6914.0000,5265.9738,7813.0514,7588.1770,9164.8883,2536.4362,3763.2748,own rate (multiplicative),2355.9009,2704.2082,own rate (multiplicative),409.8725,608.1221,176.7253,208.5668,113.0920,167.7930,0.0000,0.0000
102,1,False,2424.7991,2955.0000,1482.6498,1574.0000,1399.5490,1675.0508,1818.1044,2031.1266,1497.5887,1792.3897,own rate (multiplicative),2045.3764,2171.6249,own rate (multiplicative),1.4152,1.6937,2.2418,2.4472,0.0000,0.0000,0.0000,0.0000
103,1,False,0.0000,2757.0000,0.0000,347.0000,0.0000,1415.8066,0.0000,1006.2510,157.7568,1535.8206,superzone rate on the increment,2236.0645,2926.4459,superzone rate on the increment,74.8583,176.6291,81.9485,120.6229,0.0000,17.8225,0.0000,16.0742
104,1,False,3052.5857,5055.0000,198.3560,689.0000,1543.2389,2602.8191,966.8564,1886.7949,1256.7967,2119.7071,own rate (multiplicative),425.5504,789.2365,own rate (multiplicative),208.9835,352.4706,58.3147,111.1981,61.1835,103.1917,0.0000,0.0000
106,1,False,8069.2356,7763.0000,12765.7229,13168.0000,5683.9774,5584.4972,12256.7044,12494.2704,6408.2954,6296.1382,own rate (multiplicative),10652.9153,10320.4601,own rate (multiplicative),1252.5603,1230.6381,1002.7771,998.8457,0.0000,0.0000,211.5506,222.1047
107,1,False,5755.3981,7118.0000,2550.1841,3068.0000,3194.8993,3940.0325,3547.4968,4319.2648,3723.9908,4592.5219,own rate (multiplicative),2978.3687,3446.3523,own rate (multiplicative),88.5740,109.2317,122.7425,146.0291,0.0000,0.0000,0.0000,0.0000
108,1,False,3457.3034,5716.0000,3240.3987,4407.0000,2143.1392,3418.7029,3484.9247,5008.5139,3046.4961,4859.7240,own rate (multiplicative),2632.9284,3596.2338,own rate (multiplicative),65.1641,103.9487,117.3954,164.8630,0.0000,0.0000,104.8532,155.2042
109,1,False,3995.2704,4011.0000,3049.0000,3176.0000,2385.4392,2409.9041,3475.9374,3580.7529,560.9587,566.7119,own rate (multiplicative),961.7629,941.5943,own rate (multiplicative),22.8080,23.0419,19.1794,19.3061,0.0000,0.0000,0.0000,0.0000
110,1,False,6329.2070,13027.0000,1505.6690,3375.0000,3343.1899,6917.2473,2871.9486,6129.8513,599.3047,1239.9950,own rate (multiplicative),627.2696,1272.3919,own rate (multiplicative),12.8413,26.5693,2.9890,6.2338,0.0000,0.0000,0.0000,0.0000
111,1,False,6058.6920,8423.0000,1620.3119,3231.0000,3223.7618,4610.0275,2891.0483,4794.5743,3023.2277,4323.2607,own rate (multiplicative),2843.0984,4481.0520,own rate (multiplicative),210.8232,301.4803,137.8320,223.3580,107.3159,153.4633,0.0000,0.0000
112,1,False,4921.7674,22191.0000,1287.3477,6703.0000,2615.0276,11908.2915,2325.6277,11197.8373,2029.8919,11075.4147,superzone rate on the increment,3026.6340,9942.0396,superzone rate on the increment,234.7440,902.7610,137.1230,491.5017,98.8193,215.8052,0.0000,141.7275
113,1,False,0.0000,3063.0000,2973.0000,3214.0000,389.6919,1943.6968,2356.0072,3359.4199,359.6533,1872.2312,superzone rate on the increment,1527.2457,2069.6169,own rate (multiplicative),62.1493,173.8540,131.9353,183.8254,0.0000,19.5622,480.7618,706.0311
114,1,False,1799.6053,8959.0000,54.5242,4668.0000,901.6119,5064.7954,520.5347,6075.5190,740.7084,4792.9092,superzone rate on the increment,122.6585,4540.4262,superzone rate on the increment,74.9374,374.1947,34.2354,257.2956,36.0593,88.4664,0.0000,88.7371
