scenario,area,name,on the line,total origins 2022,total origins year,total destinations 2022,total destinations year,transit origins 2022,transit origins year,origin growth
BU_2040,1,TiratCarmel,True,16963.5,43886.1,14093.0,35729.2,931.4,2419.8,2.6
BU_2040,2,Matam,True,1063.8,1250.2,5230.1,7139.3,363.2,400.8,1.2
BU_2040,3,Neot Peres,True,623.2,690.1,2520.9,3166.1,13.2,20.1,1.1
BU_2040,4,Neve David,True,2844.1,2643.6,1256.2,1121.8,1123.7,1037.0,0.9
BU_2040,5,Ein Hayam,True,4047.9,4737.2,1481.7,1668.6,997.2,1086.3,1.2
BU_2040,6,Bat Galim,True,3054.8,2726.4,7136.0,7775.8,472.4,475.4,0.9
BU_2040,7,Kiryat Eliezer,True,4145.2,4186.7,2773.6,3120.0,931.1,991.8,1.0
BU_2040,8,Hamoshava,True,3415.5,4303.7,3293.0,4274.3,295.6,369.2,1.3
BU_2040,9,Lower City,True,2282.1,2491.2,5339.5,6107.8,301.6,341.7,1.1
BU_2040,10,Hadar Carmel,True,3328.8,4162.0,4900.1,6100.3,459.3,593.8,1.3
BU_2040,11,Namal,True,1345.4,1396.4,2535.7,2727.3,506.3,528.9,1.0
BU_2040,12,Neve Yosef,True,676.8,810.7,1167.0,1476.4,376.6,446.7,1.2
BU_2040,13,Hamifrats,True,1373.0,1358.2,6668.7,8276.5,606.1,596.3,1.0
BU_2040,14,Hutzot,True,1612.7,1703.9,4735.8,5445.0,74.9,81.0,1.1
BU_2040,15,Kiryat Nahum,False,828.0,879.9,5951.7,7817.5,105.6,115.0,1.1
BU_2040,16,Kiryat Ata Center,True,7582.2,8294.8,7600.2,8731.8,780.9,909.9,1.1
BU_2040,17,Kiryat Bialik South,True,3154.5,4304.2,3665.3,5111.9,81.8,119.6,1.4
BU_2040,18,Kiryat Ata East,False,4957.0,5567.6,1361.8,1516.1,891.4,992.0,1.1
BU_2040,19,Shefaram,True,3271.2,3835.1,2293.5,2985.4,114.4,133.7,1.2
BU_2040,20,Adi,False,2748.6,3698.9,1377.6,1786.7,25.4,29.2,1.3
BU_2040,21,Alon Hagalil,False,5640.1,7326.0,5192.6,6798.9,6.5,8.8,1.3
BU_2040,22,Tzipori,False,2008.3,2576.6,1895.2,2602.3,0.2,0.2,1.3
BU_2040,23,Nazareth Area,True,19405.1,25600.6,18285.8,24683.8,2130.0,2704.6,1.3
BU_2040,24,Kiryat Yam,False,23082.2,31647.7,15065.4,21239.4,4487.0,5763.1,1.4
BU_2040,25,Kiryat Motzkin-Bialik,False,55738.0,76580.6,48505.5,67776.4,5323.1,7445.5,1.4
BU_2040,26,Haifa Airport,False,741.5,718.3,2572.1,2775.9,13.9,19.5,1.0
BU_2040,27,Nesher Lower,False,4574.3,4451.9,6632.9,7142.4,236.5,228.2,1.0
BU_2040,28,Kiryat Ata South,False,25480.7,29305.2,22457.2,26036.6,1964.9,2265.1,1.2
BU_2050,1,TiratCarmel,True,16963.5,59172.6,14093.0,48982.2,931.4,2683.1,3.5
BU_2050,2,Matam,True,1063.8,1515.5,5230.1,8051.1,363.2,417.2,1.4
BU_2050,3,Neot Peres,True,623.2,710.9,2520.9,3500.1,13.2,21.5,1.1
BU_2050,4,Neve David,True,2844.1,2448.6,1256.2,1081.1,1123.7,977.9,0.9
BU_2050,5,Ein Hayam,True,4047.9,5055.2,1481.7,1686.2,997.2,1116.0,1.2
BU_2050,6,Bat Galim,True,3054.8,2819.0,7136.0,8317.8,472.4,489.8,0.9
BU_2050,7,Kiryat Eliezer,True,4145.2,4779.9,2773.6,4870.7,931.1,1100.4,1.2
BU_2050,8,Hamoshava,True,3415.5,4785.9,3293.0,4899.1,295.6,409.4,1.4
BU_2050,9,Lower City,True,2282.1,2654.1,5339.5,6495.8,301.6,368.6,1.2
BU_2050,10,Hadar Carmel,True,3328.8,5038.3,4900.1,7395.0,459.3,714.0,1.5
BU_2050,11,Namal,True,1345.4,1392.7,2535.7,2915.2,506.3,536.8,1.0
BU_2050,12,Neve Yosef,True,676.8,847.8,1167.0,1521.2,376.6,471.1,1.3
BU_2050,13,Hamifrats,True,1373.0,1415.1,6668.7,9317.4,606.1,578.6,1.0
BU_2050,14,Hutzot,True,1612.7,1820.4,4735.8,5888.1,74.9,84.2,1.1
BU_2050,15,Kiryat Nahum,False,828.0,984.2,5951.7,8299.5,105.6,116.9,1.2
BU_2050,16,Kiryat Ata Center,True,7582.2,9648.8,7600.2,10092.2,780.9,973.5,1.3
BU_2050,17,Kiryat Bialik South,True,3154.5,5065.0,3665.3,5949.8,81.8,143.3,1.6
BU_2050,18,Kiryat Ata East,False,4957.0,4741.4,1361.8,1309.9,891.4,826.3,1.0
BU_2050,19,Shefaram,True,3271.2,4155.7,2293.5,3327.2,114.4,146.1,1.3
BU_2050,20,Adi,False,2748.6,4492.1,1377.6,2103.2,25.4,31.9,1.6
BU_2050,21,Alon Hagalil,False,5640.1,8219.6,5192.6,7623.4,6.5,10.6,1.5
BU_2050,22,Tzipori,False,2008.3,2988.9,1895.2,3019.1,0.2,0.3,1.5
BU_2050,23,Nazareth Area,True,19405.1,28582.7,18285.8,27339.9,2130.0,3168.1,1.5
BU_2050,24,Kiryat Yam,False,23082.2,34144.3,15065.4,22640.3,4487.0,6301.1,1.5
BU_2050,25,Kiryat Motzkin-Bialik,False,55738.0,91599.8,48505.5,80969.5,5323.1,8897.4,1.6
BU_2050,26,Haifa Airport,False,741.5,769.5,2572.1,2866.9,13.9,24.1,1.0
BU_2050,27,Nesher Lower,False,4574.3,4685.7,6632.9,7467.5,236.5,234.7,1.0
BU_2050,28,Kiryat Ata South,False,25480.7,32032.8,22457.2,28636.8,1964.9,2346.6,1.3
HS_2040,1,TiratCarmel,True,16963.5,21562.1,14093.0,17555.2,931.4,1213.7,1.3
HS_2040,2,Matam,True,1063.8,2437.6,5230.1,7160.3,363.2,595.2,2.3
HS_2040,3,Neot Peres,True,623.2,2473.6,2520.9,4488.7,13.2,499.5,4.0
HS_2040,4,Neve David,True,2844.1,3218.1,1256.2,1496.9,1123.7,1234.7,1.1
HS_2040,5,Ein Hayam,True,4047.9,5254.3,1481.7,1790.0,997.2,1246.1,1.3
HS_2040,6,Bat Galim,True,3054.8,3878.7,7136.0,8585.1,472.4,766.8,1.3
HS_2040,7,Kiryat Eliezer,True,4145.2,4534.0,2773.6,2994.8,931.1,1059.6,1.1
HS_2040,8,Hamoshava,True,3415.5,4194.7,3293.0,4299.7,295.6,372.3,1.2
HS_2040,9,Lower City,True,2282.1,2669.1,5339.5,6112.8,301.6,450.2,1.2
HS_2040,10,Hadar Carmel,True,3328.8,4395.1,4900.1,6856.0,459.3,636.0,1.3
HS_2040,11,Namal,True,1345.4,1385.8,2535.7,2647.3,506.3,544.2,1.0
HS_2040,12,Neve Yosef,True,676.8,924.2,1167.0,1753.5,376.6,508.5,1.4
HS_2040,13,Hamifrats,True,1373.0,1396.8,6668.7,8013.9,606.1,614.9,1.0
HS_2040,14,Hutzot,True,1612.7,1725.5,4735.8,5439.9,74.9,83.4,1.1
HS_2040,15,Kiryat Nahum,False,828.0,2001.7,5951.7,8600.8,105.6,230.1,2.4
HS_2040,16,Kiryat Ata Center,True,7582.2,13522.1,7600.2,13239.4,780.9,1373.3,1.8
HS_2040,17,Kiryat Bialik South,True,3154.5,3633.8,3665.3,4603.3,81.8,97.7,1.2
HS_2040,18,Kiryat Ata East,False,4957.0,10359.9,1361.8,4635.3,891.4,1489.2,2.1
HS_2040,19,Shefaram,True,3271.2,3258.0,2293.5,2480.3,114.4,117.4,1.0
HS_2040,20,Adi,False,2748.6,3037.1,1377.6,1378.0,25.4,26.4,1.1
HS_2040,21,Alon Hagalil,False,5640.1,5403.9,5192.6,5129.5,6.5,6.1,1.0
HS_2040,22,Tzipori,False,2008.3,2100.5,1895.2,2176.2,0.2,0.1,1.0
HS_2040,23,Nazareth Area,True,19405.1,28536.6,18285.8,27447.3,2130.0,3116.3,1.5
HS_2040,24,Kiryat Yam,False,23082.2,40138.3,15065.4,30002.3,4487.0,7884.6,1.7
