iterations,max rel margin error rows,cols,unreachable targets,scenario,layer,total 2022,total year,growth factor,mean centroid km 2022,mean centroid km year,SZ blocks > 100,SZ blocks |TAZ-reagg / SZ-Furness − 1| > 10 %,origins on superzone rate,trips added on superzone rate
137,0.00000,0.00000,0,BU_2040,car,1353797.74742,1772735.75832,1.30945,7.31528,7.30860,587,252,127,19467.03783
57,0.00000,0.00000,0,BU_2040,transit,122010.97497,158548.03625,1.29946,9.20873,9.12129,224,9,127,1256.24154
500,0.08815,0.00000,0,BU_2040,taxi,9451.24025,12021.00610,1.27190,6.77874,6.43676,21,8,127,22.66832
96,0.00000,0.00000,0,BU_2050,car,1353797.74742,2058911.45544,1.52084,7.31528,7.36393,612,316,136,107610.20182
70,0.00000,0.00000,0,BU_2050,transit,122010.97497,183097.50618,1.50066,9.20873,9.05170,236,13,136,7985.47335
500,0.16985,0.00000,0,BU_2050,taxi,9451.24025,14138.21786,1.49591,6.77874,6.52182,22,9,136,415.66891
111,0.00000,0.00000,0,HS_2040,car,1353797.74742,1848612.35824,1.36550,7.31528,7.42607,599,262,148,155407.39983
69,0.00000,0.00000,0,HS_2040,transit,122010.97497,168037.71687,1.37723,9.20873,9.25630,231,9,148,13443.01794
500,0.35037,0.00000,0,HS_2040,taxi,9451.24025,13545.83217,1.43323,6.77874,7.11469,24,5,148,1266.72818
99,0.00000,0.00000,0,HS_2050,car,1353797.74742,2209978.56120,1.63243,7.31528,7.66582,622,295,167,279864.48986
80,0.00000,0.00000,0,HS_2050,transit,122010.97497,200358.46697,1.64213,9.20873,9.12023,243,11,167,23854.56854
500,0.14219,0.00000,0,HS_2050,taxi,9451.24025,15396.58889,1.62905,6.77874,7.05420,25,7,167,2195.65901
