scenario,layer,link,1→23 2022,1→23 year,23→1 2022,23→1 year
BU_2040,transit,TiratCarmel – Matam,769.3,1844.2,319.1,617.8
BU_2040,transit,Matam – Neot Peres,836.7,1764.1,966.3,1249.9
BU_2040,transit,Neot Peres – Neve David,772.6,1568.9,1497.3,1799.3
BU_2040,transit,Neve David – Ein Hayam,1267.9,1959.8,1330.5,1607.4
BU_2040,transit,Ein Hayam – Bat Galim,1847.2,2552.8,1000.8,1184.8
BU_2040,transit,Bat Galim – Kiryat Eliezer,1652.5,2238.3,1119.7,1301.2
BU_2040,transit,Kiryat Eliezer – Hamoshava,1629.1,2165.6,772.0,905.8
BU_2040,transit,Hamoshava – Lower City,1768.1,2300.8,779.2,907.2
BU_2040,transit,Lower City – Hadar Carmel,1238.1,1635.4,1093.2,1205.1
BU_2040,transit,Hadar Carmel – Namal,884.6,1085.6,1178.2,1259.6
BU_2040,transit,Namal – Neve Yosef,856.3,1055.9,870.6,955.0
BU_2040,transit,Neve Yosef – Hamifrats,508.5,580.2,718.7,770.7
BU_2040,transit,Hamifrats – Hutzot,305.2,342.8,622.4,698.3
BU_2040,transit,Hutzot – Kiryat Ata Center,120.5,136.4,666.2,748.2
BU_2040,transit,Kiryat Ata Center – Kiryat Bialik South,43.8,61.4,505.1,575.5
BU_2040,transit,Kiryat Bialik South – Shefaram,3.2,5.4,510.5,534.7
BU_2040,transit,Shefaram – Nazareth Area,2.5,4.7,445.0,458.1
BU_2040,total,TiratCarmel – Matam,3622.8,8289.5,1297.7,1876.5
BU_2040,total,Matam – Neot Peres,2879.4,6220.0,3158.7,3844.8
BU_2040,total,Neot Peres – Neve David,2824.7,5759.6,3793.3,4502.8
BU_2040,total,Neve David – Ein Hayam,4190.5,6920.0,3705.5,4262.8
BU_2040,total,Ein Hayam – Bat Galim,6096.9,9156.1,3039.5,3405.3
BU_2040,total,Bat Galim – Kiryat Eliezer,5973.0,8634.0,5950.6,6725.8
BU_2040,total,Kiryat Eliezer – Hamoshava,6187.6,8539.2,4266.9,5045.9
BU_2040,total,Hamoshava – Lower City,5218.1,7291.4,2942.7,3506.0
BU_2040,total,Lower City – Hadar Carmel,4036.1,5644.4,3776.9,4315.6
BU_2040,total,Hadar Carmel – Namal,2709.8,3928.9,3347.7,3671.2
BU_2040,total,Namal – Neve Yosef,2525.4,3661.3,3384.2,3674.1
BU_2040,total,Neve Yosef – Hamifrats,1940.2,2757.0,3130.4,3363.5
BU_2040,total,Hamifrats – Hutzot,787.4,921.4,3713.5,4190.1
BU_2040,total,Hutzot – Kiryat Ata Center,425.3,532.5,3775.3,4280.1
BU_2040,total,Kiryat Ata Center – Kiryat Bialik South,309.4,416.1,3223.1,3705.4
BU_2040,total,Kiryat Bialik South – Shefaram,206.4,288.4,1565.1,1572.0
BU_2040,total,Shefaram – Nazareth Area,239.1,333.5,934.1,976.8
BU_2050,transit,TiratCarmel – Matam,769.3,2091.9,319.1,699.5
BU_2050,transit,Matam – Neot Peres,836.7,1993.3,966.3,1340.1
BU_2050,transit,Neot Peres – Neve David,772.6,1779.6,1497.3,1922.6
BU_2050,transit,Neve David – Ein Hayam,1267.9,2171.4,1330.5,1744.1
BU_2050,transit,Ein Hayam – Bat Galim,1847.2,2826.3,1000.8,1301.2
BU_2050,transit,Bat Galim – Kiryat Eliezer,1652.5,2518.6,1119.7,1420.9
BU_2050,transit,Kiryat Eliezer – Hamoshava,1629.1,2264.3,772.0,1057.7
BU_2050,transit,Hamoshava – Lower City,1768.1,2401.7,779.2,1051.3
BU_2050,transit,Lower City – Hadar Carmel,1238.1,1792.1,1093.2,1316.6
BU_2050,transit,Hadar Carmel – Namal,884.6,1151.0,1178.2,1347.2
BU_2050,transit,Namal – Neve Yosef,856.3,1115.5,870.6,1038.8
BU_2050,transit,Neve Yosef – Hamifrats,508.5,615.0,718.7,843.5
BU_2050,transit,Hamifrats – Hutzot,305.2,363.4,622.4,789.0
BU_2050,transit,Hutzot – Kiryat Ata Center,120.5,143.1,666.2,849.5
BU_2050,transit,Kiryat Ata Center – Kiryat Bialik South,43.8,68.6,505.1,658.7
BU_2050,transit,Kiryat Bialik South – Shefaram,3.2,5.8,510.5,629.3
BU_2050,transit,Shefaram – Nazareth Area,2.5,5.1,445.0,544.5
BU_2050,total,TiratCarmel – Matam,3622.8,12053.8,1297.7,2641.6
BU_2050,total,Matam – Neot Peres,2879.4,9240.0,3158.7,4455.2
BU_2050,total,Neot Peres – Neve David,2824.7,8352.5,3793.3,5113.6
BU_2050,total,Neve David – Ein Hayam,4190.5,9398.9,3705.5,4897.2
BU_2050,total,Ein Hayam – Bat Galim,6096.9,11871.5,3039.5,3914.7
BU_2050,total,Bat Galim – Kiryat Eliezer,5973.0,10821.5,5950.6,7219.3
BU_2050,total,Kiryat Eliezer – Hamoshava,6187.6,10047.6,4266.9,5675.0
BU_2050,total,Hamoshava – Lower City,5218.1,8615.0,2942.7,4083.9
BU_2050,total,Lower City – Hadar Carmel,4036.1,6761.7,3776.9,4870.1
BU_2050,total,Hadar Carmel – Namal,2709.8,4655.7,3347.7,4108.5
BU_2050,total,Namal – Neve Yosef,2525.4,4331.9,3384.2,4099.1
BU_2050,total,Neve Yosef – Hamifrats,1940.2,3390.8,3130.4,3833.5
BU_2050,total,Hamifrats – Hutzot,787.4,1352.7,3713.5,4799.3
BU_2050,total,Hutzot – Kiryat Ata Center,425.3,613.6,3775.3,4884.0
BU_2050,total,Kiryat Ata Center – Kiryat Bialik South,309.4,433.0,3223.1,4238.4
BU_2050,total,Kiryat Bialik South – Shefaram,206.4,293.6,1565.1,1784.1
