AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,14635.2,1331.05,406.782,34.5821,270.751,302.572,439.985,25.0281,370.72,158.591,171.129,182.458,516.697,6.62196,732.528,1.41787,0.858043,0.349618,0,0,0,0,0.225744,8.88285,16.5639,248.582,206.929,2.96408
2,102.903,467.04,43.3335,13.1902,138.602,37.101,29.6641,40.649,28.7087,32.4581,4.10822,15.6076,12.0322,8.4126,7.99073,5.29249,0.057679,1.30428,0,0.000835537,0.00246354,0,0.005172,10.2491,10.0466,1.6002,1.79097,11.4203
3,0.863684,180.091,186.522,0.584736,0.461559,11.4872,18.1122,0.803937,180.988,1.55207,0.173447,0.627874,0.512521,42.8225,0.328548,0.204176,0.00468793,0.0502474,0,3.20915e-05,9.47166e-05,0,0.00784153,0.404811,0.40695,6.7639,0.106681,0.440202
4,211.77,368.379,259.355,349.103,324.439,259.173,161.757,48.9109,86.7147,393.672,12.4337,47.1681,102.682,25.4612,24.2063,16.0401,0.167675,3.95247,0,0.00253726,0.00748443,0,0.0137364,31.0744,30.3251,4.84211,36.2823,34.6127
5,242.141,217.422,141.929,329.082,343.864,344.526,172.336,1156.05,221.119,577.751,11.3901,43.1849,59.7845,23.3239,22.1575,14.6954,0.1534,3.62161,0,0.00232146,0.00684438,0,0.0125653,48.6264,100.801,41.9743,73.1541,31.711
6,167.946,166.08,54.8818,83.2169,53.2657,1333.25,316.772,97.0521,80.2965,73.4473,11.5766,38.2978,114.295,14.3772,10.1792,6.74634,0.070503,1.66242,0,0.00106687,0.00314676,0,0.00577566,13.0636,61.9621,2.61453,48.6045,14.5578
7,263.958,478.751,110.933,199.616,190.5,970.803,446.087,350.832,432.056,262.45,79.2427,40.0883,128.295,61.343,20.5695,13.64,0.14242,3.36143,0,0.00215526,0.00635495,0,0.0116662,26.3738,25.7906,10.3695,50.102,29.4336
8,7.40668,332.044,29.8113,9.07812,7.15957,1720.22,58.0003,568.33,80.5513,152.124,7.46056,33.121,196.27,15.2773,12.4073,0.308601,0.690694,0.0760598,11.1611,0.000916408,0.198807,0.00354101,0.00760133,1.33753,17.2796,2.9065,227.495,65.4337
9,7.41885,37.4399,29.8073,9.07387,7.15876,36.1046,36.9935,424.742,899.275,103.204,34.1953,17.7469,45.5834,15.2808,188.64,0.309688,52.1747,0.0762341,26.9985,0.0009295,0.199551,0.00354407,191.029,1.34479,98.2872,14.3958,21.2797,1.04011
10,6.7623,49.7992,73.0311,44.6058,31.1245,51.6743,54.6573,245.535,418.878,1723.19,18.0556,24.6321,99.6468,130.688,278.197,0.292898,0.796315,0.0721944,0.0189171,0.00190552,0.12238,0.00220624,1.39163,3.30227,16.8872,18.0901,200.691,9.37542
11,7.13532,40.4496,25.9067,7.8844,6.22237,21.6032,17.7357,55.7394,106.99,149.2,520.193,143.855,4.62437,0.0310545,0.141603,0.537766,2.87237,0.132234,0.951336,0.00271252,1.8653,0.012063,0.20166,21.479,144.07,50.5717,12.3721,2.26818
12,159.269,34.394,27.1201,8.259,6.51327,24.5532,18.5663,17.3354,31.0643,53.208,76.2311,26.8307,43.4397,16.6457,13.8623,1.85141,0.829765,0.456235,0.0251558,0.00101331,0.157452,0.00289226,0.00699489,2.97839,18.1845,3.16672,121.533,4.30336
13,1.24274,79.1332,72.1325,10.9909,8.99296,114.818,176.832,66.0957,121.879,177.051,8.60013,57.3499,178.732,26.7585,0.659456,0.73098,11.0507,8.91151,1.74589,0.00418886,2.25454,0.014315,0.243946,15.4304,111.018,41.5784,49.322,11.2438
14,0.18043,127.679,3.9149,1.20655,0.951621,3.51211,2.71559,8.27984,39.5173,22.2404,9.90894,7.19009,76.9315,453.097,107.953,38.6541,0.498984,0.0335523,0.173014,0.00123017,0.312543,0.00179527,0.0339359,102.492,369.475,77.4221,28.8152,137.584
15,0.210234,37.2527,5.31798,1.61874,1.27718,18.1492,27.6457,11.4397,20.0375,30.6301,0.0605755,9.95941,0.17725,0.12404,42.1398,61.3689,0.62221,0.152956,34.0109,0.000572394,96.8029,0.00247285,0.0414595,116.397,118.795,37.251,2.68576,77.816
16,0.443858,1.58245,1.25867,0.383006,0.302286,4.25458,0.861594,1.94686,165.435,141.469,214.9,9.97308,250.742,160.643,192.45,1164.26,7.62974,119.425,0.0423959,0.00552561,0.00390976,0.00015146,0.0401636,56.1518,889.576,26.2006,360.534,3528.64
17,0.0105779,1.4519,56.6609,0.352846,0.278231,346.003,203.852,0.465787,125.011,0.516045,2.21047,0.379643,582.943,115.574,226.587,328.01,206.171,0.0386711,0.00509431,0,0,0.000212173,0.0212263,29.9273,756.594,54.5716,90.6564,199.503
18,0.504857,197.819,490.49,0.432806,0.341618,4.8263,0.97369,2.21032,100.668,10.8179,15.2744,86.0241,44.7503,83.1247,102.697,241.152,8.6439,721.323,0.0481791,115.963,0.00444692,0.000170645,0.0455194,101.585,626.45,14.1141,28.3305,1958.17
19,0.16301,0.301027,0.238754,0.0726681,0.0573397,80.9115,0.163438,1.71217,162.77,46.7263,78.6201,73.0593,157.664,27.5392,272.701,122.512,0.0558734,0.13736,1811.58,2.90706,14.4117,0.00126239,80.7683,0.156944,45.6011,20.8411,286.197,1.17007
20,0.721174,0.0124184,0.00354604,0.00108004,0.000851628,100.221,175.496,1.10385,1.93794,3.52965,0.0527035,0.878564,27.1264,0.107923,0.116786,0.131748,0.302671,115.059,108.365,1264.88,0,0,132.032,9.79529,788.803,0.0205338,11.1389,145.009
21,55.5061,0,0,0,0,0,0,0,0,0,25.0311,0,0,38.849,0,0,0,0,251.822,31.9469,5365.22,21.4294,127.226,0,25.5577,6.11845,0,0
22,0.00686628,0.00514356,0.00404382,0.00123137,0.000971177,0.00385292,0.00276835,0.00177693,0.00328724,0.0138539,0.00201754,0.00343654,63.4052,0.0041314,224.507,0.000401415,0,9.89344e-05,0,2.48634e-07,0,1542.87,0.0554142,0.0063578,40.5264,0.000785984,232.121,0.000945436
23,0,56.9344,45.4318,13.8364,10.9111,187.037,31.1029,16.1619,121.812,21.1387,13.7286,14.8899,108.804,28.1127,23.3426,2.84751,57.2845,0.701833,164.138,0.000298468,0.000969952,319.417,18856.9,0.254092,448.234,5.34885,63.0381,5.95283
24,9.96875,246.309,45.5187,31.3822,4.88141,365.883,115.777,12.6152,472.79,331.544,142.787,13.1651,681.764,1024.85,887.408,275.89,478.906,67.9912,0.0162663,0.0470815,0.0304492,0.00272567,0.297534,8938.48,8007.72,480.404,554.652,772.628
25,272.559,1064.92,162.49,49.499,39.0282,726.846,214.717,34.2664,936.601,464.571,777.149,94.3614,1705.01,2145.49,1537.91,543.413,2784.1,150.52,0.0885478,0.031329,0,155.514,88.0112,5536.68,35072.2,1172.79,1293.96,924.125
26,0.0442797,9.56201,11.6529,11.1282,0.190105,0.772725,0.543543,1.57206,20.8549,4.25034,32.604,1.36775,20.8663,68.1436,22.4823,6.10037,0.119662,0.0111639,0.0437656,0.000518404,0.0715488,0.000342014,0.00781227,67.1708,278.106,117.654,4.70563,21.6912
27,1.08014,82.8546,335.795,17.8815,16.559,67.2995,103.388,6.41237,23.5302,118.356,35.3665,195.156,856.601,19.3366,0.62145,11.4532,58.2651,67.1717,4.4716,0.0133431,0.0203132,0.0116511,0.211782,11.5625,63.379,44.7954,2141.97,64.3391
28,81.1959,3.95983,3.14951,0.958376,35.2122,10.687,2.15592,198.026,216.412,54.9629,259.027,25.1123,843.143,312.005,1407.12,4641.35,109.278,70.2901,0.106694,0.0139921,0.00984391,0.000377745,187.267,247.713,2187.73,57.2482,343.486,14156.3
