AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,279.165,145.108,113.346,34.5821,27.2219,95.4236,77.6154,25.0281,44.1417,158.591,3.23378,22.8984,9.45269,6.62196,5.65618,1.41787,0.858043,0.349618,0,0,0,0,0.225744,8.88285,16.5639,1.26081,18.139,2.96408
2,17.5388,54.5025,43.3335,13.1902,10.4071,37.101,29.6641,16.1907,28.7087,32.4581,4.10822,15.6076,12.0322,8.4126,7.99073,5.29249,0.057679,1.30428,0,0.000835537,0.00246354,0,0.005172,10.2491,10.0459,1.6002,1.77501,11.4203
3,0.641631,2.0888,1.64584,0.508577,0.394773,1.44307,1.12452,0.615483,1.1148,1.22883,0.156954,0.595409,0.463081,0.325723,0.306206,0.203957,0.0021267,0.0502474,0,3.20915e-05,9.47166e-05,0,0.000173969,0.393677,0.385142,0.0620786,0.066266,0.440202
4,50.887,164.125,130.498,39.7024,31.3405,111.702,89.3267,48.9109,86.7147,97.1695,12.4337,47.1681,36.4311,25.4612,24.2063,16.0401,0.167675,3.95247,0,0.00253726,0.00748443,0,0.0137364,31.0744,30.3234,4.84211,5.22594,34.6127
5,46.4752,150.288,119.508,36.3787,28.7013,102.338,81.8098,44.7893,79.4219,88.9185,11.3901,43.1849,33.3578,23.3239,22.1575,14.6954,0.1534,3.62161,0,0.00232146,0.00684438,0,0.0125653,28.4023,27.7835,4.43666,4.78848,31.711
6,21.3896,69.0226,54.8818,16.6989,13.1805,46.9809,37.5676,20.5696,36.4694,40.8593,5.22979,19.8359,15.3209,10.7085,10.1792,6.74634,0.070503,1.66242,0,0.00106687,0.00314676,0,0.00577566,13.0636,12.754,2.03675,2.19829,14.5578
7,43.162,139.508,110.933,33.7653,26.642,94.9881,75.9392,41.5762,73.7218,82.5502,10.5723,40.0883,30.9653,21.6493,20.5695,13.64,0.14242,3.36143,0,0.00215526,0.00635495,0,0.0116662,26.3738,25.7877,4.11797,4.44451,29.4336
8,7.40668,37.441,29.8113,9.07812,7.15957,26.6371,20.4085,12.8827,23.2103,26.3269,7.46056,17.7487,21.8427,15.2773,12.4073,0.308601,0.690694,0.0760598,0.0293228,0.000916408,0.198807,0.00354101,0.00760133,1.33753,17.2723,2.9065,12.3309,1.03701
9,7.4184,37.4372,29.8063,9.0734,7.15835,26.6253,20.4041,12.8824,23.2079,26.3397,7.45762,17.7469,21.8406,15.2713,12.406,0.308475,0.691111,0.0760221,0.0293696,0.000916864,0.199017,0.00354407,0.00761229,1.33881,17.2811,2.90492,12.3244,1.03677
10,6.7623,49.7992,39.68,12.0861,9.52967,35.9713,27.1654,19.4528,35.1199,79.6046,12.0699,24.6321,35.3314,24.716,20.0231,0.292898,0.796315,0.0721944,0.0189171,0.00190552,0.12238,0.00220624,1.39163,3.30227,16.8823,4.7026,26.8314,1.42738
11,1.01676,32.4775,25.9034,7.88285,6.22101,21.5889,17.7316,55.7394,97.6016,149.197,0,48.3512,0,0,0.120636,0.533789,2.86879,0.131539,0.949759,0.00267109,1.86355,0.012063,0.201463,0,21.4396,0,12.3125,2.25723
12,36.9989,34.394,27.1201,8.259,6.51327,24.5532,18.5663,17.3354,31.0643,53.208,8.12884,26.8307,23.801,16.6457,13.8623,1.85141,0.829765,0.456235,0.0251558,0.00101331,0.157452,0.00289226,0.00699489,2.97839,18.1837,3.16672,13.9523,4.30336
13,1.20701,38.5268,30.7179,9.35097,7.37695,25.6192,21.0253,66.0957,115.814,176.997,0,57.3431,0,0,0.143229,0.633073,3.40399,0.155996,1.12688,0.00316899,2.21141,0.014315,0.239103,0,25.4367,0,14.6025,2.67722
14,0.15126,4.83631,3.84968,1.17538,0.924287,3.22593,2.63405,8.27984,14.5682,22.1958,0,7.18455,0,0,0.0179762,0.0794626,0.427059,0.0195797,0.141315,0.000397365,0.277321,0.00179527,0.029981,0,3.19128,0,1.83336,0.335888
15,0.210234,6.66726,5.31798,1.61874,1.27718,4.44739,3.64044,11.4397,20.0375,30.6301,0.0605755,9.95941,0.17725,0.12404,0.239533,0.620526,0.62221,0.152956,0.194869,0.000572394,0.381936,0.00247285,0.0414595,0.251475,5.06547,0.0236053,2.63776,1.54184
16,0.443858,1.58245,1.25867,0.383006,0.302286,4.25458,0.861594,1.94686,4.57642,9.5158,13.4477,9.97308,39.3957,27.5373,47.862,113.292,7.62974,27.9176,0.0423959,0.00552561,0.00390976,0.00015146,0.0401636,56.1518,149.195,5.23738,24.8414,239.177
17,0.0105779,1.4519,1.15851,0.352846,0.278231,1.49329,0.793121,0.465787,1.00781,0.516045,2.21047,0.379643,6.47083,4.52647,3.69039,0.156896,4.38203,0.0386711,0.00509431,0,0,0.000212173,0.0212263,10.4126,44.2418,0.861216,1.5408,0.327974
18,0.504857,1.78842,1.42245,0.432806,0.341618,4.8263,0.97369,2.21032,5.19617,10.8179,15.2744,11.3372,44.7503,31.2779,54.409,128.819,8.6439,31.7434,0.0481791,0.00628429,0.00444692,0.000170645,0.0455194,63.7918,169.329,5.94862,28.2342,271.958
19,0.16301,0.301027,0.238754,0.0726681,0.0573397,2.56491,0.163438,1.71217,3.85986,1.6489,9.92387,1.86947,29.067,20.3215,16.5438,0.557384,0.0558734,0.13736,9.14842,1.15693e-05,0,0.00126239,0.0485682,0.156944,0.515829,3.86535,11.1864,1.17007
20,0.721174,0.0124184,0.00354604,0.00108004,0.000851628,0.0155261,0.00242764,1.10385,1.93794,3.52965,0.0527035,0.878564,0.154279,0.107923,0.116786,0.131748,0.302671,0.0324728,0.00373431,0.00807095,0,0,0.0102211,0.000833769,2.27077,0.0205338,11.0392,3.72782
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84128,0,0,0,0.0830427,0,0,0
22,0.00686628,0.00514356,0.00404382,0.00123137,0.000971177,0.00385292,0.00276835,0.00177693,0.00328724,0.0138539,0.00201754,0.00343654,0.00590707,0.0041314,0.00342702,0.000401415,0,9.89344e-05,0,2.48634e-07,0,0.0189261,0.0554142,0.0063578,0.000847531,0.000785984,0.0128192,0.000945436
23,0,56.9328,45.4312,13.8361,10.9109,41.1594,31.1022,16.1614,29.4988,21.1382,13.7282,14.8898,40.1893,28.1118,23.342,2.84751,57.2845,0.701833,0.0528738,0,0,0.070836,1340.43,0.253999,448.234,5.34847,6.47287,5.9524
24,9.96716,25.5767,20.3193,6.18474,4.87992,45.8792,13.9094,12.6152,32.6366,27.2036,121.397,13.1648,355.565,248.587,263.082,275.886,36.1644,67.9905,0.0145354,0.0470361,0.0285259,0.00272567,0.297318,892.053,1371.39,47.2845,99.645,596.799
25,2.74813,260.222,162.468,49.4885,39.019,165.556,111.228,34.2481,70.9335,65.6384,141.455,29.6885,378.632,258.085,247.383,173.146,136.242,42.6772,0.0765499,0.029385,0,0.00424863,1.17096,446.395,2251.44,72.1917,88.9523,374.498
26,0.0287717,0.923206,0.731719,0.225085,0.175573,0.620577,0.500197,1.57206,2.79546,4.22663,0,1.36481,0,0,0.0034323,0.0151624,0.0814238,0.00373552,0.0269132,7.56563e-05,0.0528235,0.000342014,0.00570969,0,0.608414,0,0.350045,0.0640231
27,1.01523,22.8842,18.2447,5.55283,4.38153,15.2735,12.488,6.3743,11.1953,27.2666,0.25775,10.9957,0.755332,0.527951,0.481309,0.241875,0.184228,0.0596,0.00843625,7.31797e-05,0.0165571,0.000214431,0.210134,0.209637,3.8745,0.100409,82.0186,0.536862
28,1.12451,3.95983,3.14951,0.958376,0.756395,10.687,2.15592,4.90479,11.5245,23.9849,33.8216,25.1123,99.0818,69.2574,120.445,285.242,19.1388,70.2901,0.106694,0.0139921,0.00984391,0.000377745,0.100864,141.202,374.914,13.1723,62.6282,602.227
