AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,14004.7,1410.48,299.703,0,207.293,212.13,371.136,0,345.722,0,173.655,166.191,525.894,0,762.372,0,0,0,0,0,0,0,0,0,0,255.807,196.088,0
2,619.027,865.935,45.4612,21.5931,262.494,133.642,56.3915,100.346,67.7903,71.4214,9.49835,7.60954,28.4022,21.3217,14.3061,2.47317,0.531857,0.460716,0,0,0,0,1.56149,3.68515,4.45147,8.44816,12.0951,7.21692
3,0.198134,239.067,158.782,0.0711866,0.0563753,9.79708,16.5937,0.183228,178.51,0.318522,0.0163929,0.0317608,0.0490185,36.8205,0.0221993,0.000218006,0.0025617,0,0,0,0,0,0.00752095,0.0111913,0.0218202,5.80794,0.038382,0
4,150.255,266.231,123.187,305.601,267.351,148.235,73.2214,0,0,300.767,0,0,65.1652,0,0,0,0,0,0,0,0,0,0,0,0.00153604,0,30.5856,0
5,183.848,80.3844,22.9317,295.254,287.337,244.645,91.3454,1110.2,142.501,495.635,0,0,27.0581,0,0,0,0,0,0,0,0,0,0,20.7324,76.4841,38.4801,70.0161,0
6,140.495,115.412,0,66.8508,39.8242,1287.86,280.813,76.0124,43.4289,32.5885,6.27509,19.2591,101.514,3.62828,0,0,0,0,0,0,0,0,0,0,51.107,0.571445,47.6572,0
7,197.879,470.417,0,159.902,157.963,850.453,358.723,298.013,352.551,177.668,67.9026,0,95.5369,39.2613,0,0,0,0,0,0,0,0,0,0,0.00259599,6.18358,44.8704,0
8,0,312.421,0,0,0,1690.75,37.1652,546.035,57.5291,124.922,0,15.5777,174.665,0,0,0,0,0,11.1844,0,0,0,0,0,0.00740892,0,216.397,65.0469
9,0.000398793,0.00301982,0.000939814,0.000446392,0.000353514,9.46276,16.5625,410.487,876.796,77.6469,26.717,8.49961e-05,23.863,0.0095337,178.158,0.00122262,51.9008,0.000214203,27.4711,1.27329e-05,0.000532186,0,192.361,0.00607931,84.8505,11.2661,9.06913,0.0033738
10,0,0,32.3646,32.5727,17.8006,15.676,27.4476,224.362,386.853,1639.18,5.92639,0,64.6028,106.099,261.801,0,0,0,0,0,0,0,0,0,0.00496401,13.357,175.649,8.09324
11,5.50357,8.44508,0.0030226,0.00143567,0.00113696,0.0134204,0.00374933,0,9.19246,0.00217086,522.204,96.372,4.44806,0.030662,0.0206557,0.00393216,0.00354486,0.000688914,0.00155799,4.09512e-05,0.0017116,0,0.00019116,21.2157,122.774,49.6706,0.058816,0.0108507
12,116.24,0,0,0,0,0,0,0,0,0,68.4977,0,19.7233,0,0,0,0,0,0,0,0,0,0,0,0.000756698,0,109.507,0
13,0.0321176,43.1271,40.8982,1.61388,1.58726,87.9389,153.629,0,5.94162,0.0543611,8.36543,0.00684533,179.128,26.9298,0.517246,0.0984663,7.73432,8.87319,0.624994,0.00102547,0.0428607,0,0.00478688,15.2903,85.8131,40.9508,34.8621,8.66585
14,0.025675,146.584,0.0605069,0.0287395,0.0227599,0.268652,0.0750546,0,24.252,0.0434567,9.46722,0.0054722,75.7072,443.93,106.275,37.9465,0.0709616,0.0137908,0.031188,0.000819768,0.0342631,0,0.00382667,101.026,363.612,75.5677,26.4269,135.462
