TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
101,1,False,8850.8255,8487.0000,6613.0000,6613.0000,5297.2255,5113.0793,7725.3806,7629.1596,2536.4362,2448.2626,own rate (multiplicative),2355.9009,2250.4232,own rate (multiplicative),601.6982,580.7815,327.2228,322.2168,0.0000,0.0000,0.0000,0.0000
102,1,False,2424.7991,2319.0000,1482.6498,1457.0000,1410.5657,1353.8459,1848.5270,1799.6611,1497.5887,1437.3697,own rate (multiplicative),2045.3764,1926.1431,own rate (multiplicative),0.3071,0.2948,4.8107,4.6701,0.0000,0.0000,0.0000,0.0000
103,1,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,157.7568,157.7568,superzone rate on the increment,2236.0645,2162.8913,superzone rate on the increment,11.5035,11.5035,6.0265,6.0092,0.0000,0.0000,0.0000,0.0000
104,1,False,3052.5857,3338.0000,198.3560,250.0000,1569.5523,1720.3957,968.8283,1086.3628,1256.7967,1377.5824,own rate (multiplicative),425.5504,461.5613,own rate (multiplicative),218.8656,239.8999,65.0981,72.7854,57.6813,63.2248,0.0000,0.0000
106,1,False,8069.2356,8821.0000,12765.7229,24519.0000,5662.2134,7495.6151,12528.4960,22297.3602,6408.2954,8483.2753,own rate (multiplicative),10652.9153,18338.9032,own rate (multiplicative),312.2622,413.3714,1140.7811,2024.4387,0.0000,0.0000,84.1547,149.8066
107,1,False,5755.3981,5944.0000,2550.1841,2769.0000,3228.2765,3350.7846,3598.6056,3826.6548,3723.9908,3865.3105,own rate (multiplicative),2978.3687,3063.4717,own rate (multiplicative),104.6432,108.6143,98.8622,104.8246,0.0000,0.0000,0.0000,0.0000
108,1,False,3457.3034,3306.0000,3240.3987,3244.0000,2150.4438,2074.3084,3552.8315,3515.7487,3046.4961,2938.6365,own rate (multiplicative),2632.9284,2520.1862,own rate (multiplicative),47.7869,46.0950,168.5554,166.3158,0.0000,0.0000,108.1633,107.0585
109,1,False,3995.2704,3818.0000,3049.0000,3049.0000,2399.0696,2309.3462,3539.2624,3492.3797,560.9587,539.9793,own rate (multiplicative),961.7629,917.9670,own rate (multiplicative),3.4721,3.3423,16.9752,16.7021,0.0000,0.0000,0.0000,0.0000
110,1,False,6329.2070,6390.0000,1505.6690,1585.0000,3389.5837,3430.1601,2899.8699,2980.5427,599.3047,606.4789,own rate (multiplicative),627.2696,623.6220,own rate (multiplicative),1.7787,1.8000,6.1045,6.2563,0.0000,0.0000,0.0000,0.0000
111,1,False,6058.6920,6636.0000,1620.3119,1936.0000,3266.8374,3598.0598,2921.6741,3331.4023,3023.2277,3329.7506,own rate (multiplicative),2843.0984,3135.7221,own rate (multiplicative),270.3195,297.7270,153.0880,174.0541,42.0056,46.2645,0.0000,0.0000
112,1,False,4921.7674,5396.0000,1287.3477,1482.0000,2650.2356,2914.3255,2349.8770,2633.7921,2029.8919,2232.1659,own rate (multiplicative),3026.6340,3281.3052,own rate (multiplicative),339.4498,373.2752,391.4633,437.4971,93.1628,102.4462,0.0000,0.0000
113,1,False,0.0000,0.0000,2973.0000,2973.0000,367.5132,367.5132,2420.7498,2420.7498,359.6533,359.6533,own rate (multiplicative),1527.2457,1477.2679,own rate (multiplicative),9.6607,9.6607,259.2215,258.4752,0.0000,0.0000,345.8550,345.9332
114,1,False,1799.6053,1967.0000,54.5242,64.0000,917.5902,1003.4866,520.3381,572.3246,740.7084,810.0467,own rate (multiplicative),122.6585,130.4983,own rate (multiplicative),122.7790,134.2724,45.1874,49.5589,33.9952,37.1775,0.0000,0.0000
115,1,False,9554.2308,10445.0000,2653.5035,3194.0000,5163.7853,5681.4527,4687.4109,5363.0893,4761.5048,5238.8437,own rate (multiplicative),4678.9861,5178.2633,own rate (multiplicative),410.0815,451.1920,245.1890,279.7247,66.1577,72.7900,0.0000,0.0000
116,1,False,6158.1347,6732.0000,1657.8456,2006.0000,3321.8090,3655.3023,2978.5354,3413.7885,5182.7228,5703.0427,own rate (multiplicative),3427.5879,3799.9057,own rate (multiplicative),183.3493,201.7567,30.5800,34.9478,0.0000,0.0000,30.7398,35.2398
117,1,False,7509.7524,8209.0000,3505.8764,4178.0000,4234.3631,4671.3654,4840.7474,5572.9508,6319.9546,6972.1978,own rate (multiplicative),7175.1753,7990.1635,own rate (multiplicative),241.0564,265.9344,76.0401,87.2898,0.0000,0.0000,64.3492,74.0993
118,1,False,3642.8793,3982.0000,334.8188,409.0000,1885.1920,2066.0042,1236.0576,1386.1465,3065.6828,3359.7181,own rate (multiplicative),623.9173,676.7805,own rate (multiplicative),110.5171,121.1170,14.6646,16.3980,0.0000,0.0000,5.5955,6.2764
201,2,False,1885.3223,1802.0000,1246.7635,1322.0000,1108.3559,1075.4838,1513.7823,1553.0070,811.4103,787.3451,own rate (multiplicative),824.0819,817.7692,own rate (multiplicative),1.7157,1.6648,99.5984,101.8849,0.0000,0.0000,0.0000,0.0000
202,2,False,2198.0935,2285.0000,885.7950,1000.0000,1222.0398,1280.1442,1302.5842,1418.5592,1750.2006,1833.4175,own rate (multiplicative),545.5571,574.6881,own rate (multiplicative),232.9758,244.0531,296.8075,322.3029,0.0000,0.0000,0.0000,0.0000
203,2,False,2905.4436,3016.0000,631.1747,681.0000,1548.5817,1610.6979,1282.3340,1352.1429,1035.1210,1076.6414,own rate (multiplicative),395.2060,403.0838,own rate (multiplicative),329.1975,342.4021,37.8441,39.7894,84.6716,88.0679,0.0000,0.0000
204,2,False,1356.5605,1423.0000,1751.2752,2482.0000,903.0953,1027.0529,1784.7366,2397.2967,563.3509,640.6756,own rate (multiplicative),3849.8894,5002.0300,own rate (multiplicative),1.9608,2.2299,177.2756,237.4348,0.0000,0.0000,121.3889,163.0891
205,2,False,1741.2421,1665.0000,837.1304,824.0000,984.7938,944.5815,1142.1357,1111.2806,714.9702,685.7758,own rate (multiplicative),362.9413,341.5803,own rate (multiplicative),2.6716,2.5625,330.2038,320.3582,0.0000,0.0000,0.0000,0.0000
206,2,False,1220.7781,1167.0000,2121.3796,2110.0000,880.1217,851.4958,2050.1817,2026.6933,650.6301,629.4684,own rate (multiplicative),4869.8011,4656.4749,own rate (multiplicative),0.3186,0.3083,443.0193,436.6828,0.0000,0.0000,0.0000,0.0000
207,2,False,4768.0425,5068.0000,1148.9543,1197.0000,2555.3217,2713.0811,2196.5352,2314.9861,2625.1342,2787.2036,own rate (multiplicative),2143.2910,2184.9510,own rate (multiplicative),2.0098,2.1339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
208,2,False,6402.5755,6806.0000,3227.6666,3784.0000,3639.5864,3912.5475,4321.4013,4881.0866,1805.5863,1941.0013,own rate (multiplicative),3994.1733,4363.8438,own rate (multiplicative),167.9242,180.5182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
209,2,False,6296.3102,6693.0000,807.8342,914.0000,3286.6691,3500.5731,2322.9613,2514.3189,3738.2306,3981.5233,own rate (multiplicative),2171.7545,2273.7331,own rate (multiplicative),8.0882,8.6146,0.6385,0.6891,0.0000,0.0000,0.0000,0.0000
210,2,False,5621.0408,5973.0000,634.4643,824.0000,2923.4576,3125.0276,2003.2071,2250.6183,4045.6994,4324.6471,own rate (multiplicative),1331.6372,1447.1457,own rate (multiplicative),1.9853,2.1222,0.3544,0.3971,0.0000,0.0000,0.0000,0.0000
