AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,270.646,157.564,108.807,33.3195,25.9948,92.6931,74.12,24.3729,43.2296,155.06,3.27089,22.3414,9.57911,6.91856,5.77434,1.43337,0.893601,0.353467,0,0,0,0,0.233578,9.15421,17.1179,1.31157,18.357,2.99593
2,56.2665,167.304,117.675,38.4006,27.9908,112.04,79.643,43.8186,84.4845,93.8124,11.5961,42.6383,34.705,25.6662,22.6538,15.2087,0.207128,3.75369,0,0.00230012,0.00693489,0,0.0252998,28.5814,29.6505,4.91371,5.94499,32.8017
3,0.62657,2.29178,1.58975,0.492978,0.379307,1.41131,1.08061,0.604185,1.10086,1.2102,0.160039,0.585976,0.47334,0.343094,0.314841,0.207833,0.00223279,0.0512035,0,3.2611e-05,9.89136e-05,0,0.000181465,0.40229,0.394972,0.0650875,0.067614,0.448495
4,49.6906,180.464,126.175,38.5222,30.1403,109.38,85.9213,47.9744,85.5649,95.6204,12.6686,46.383,37.1899,26.7975,24.8704,16.3306,0.175907,4.0239,0,0.00257641,0.00781022,0,0.0143175,31.7294,31.0684,5.07224,5.32729,35.2375
5,45.3967,164.809,115.586,35.3097,27.6114,100.241,78.7154,43.9454,78.3914,87.5275,11.6086,42.4789,34.0624,24.5551,22.772,14.9667,0.160978,3.68839,0,0.00235796,0.00714438,0,0.0131007,29.0098,28.4763,4.64916,4.8831,32.293
6,20.7854,75.4818,52.8065,16.124,12.6143,45.7809,35.9599,20.0778,35.811,40.0127,5.30266,19.411,15.564,11.2158,10.4077,6.83521,0.0736052,1.68426,0,0.00107807,0.00326778,0,0.00599077,13.2742,13.004,2.12331,2.23003,14.7486
7,42.1753,153.124,107.33,32.7843,25.6393,93.0747,73.0926,40.8072,72.7912,81.2876,10.779,39.4469,31.6306,22.8002,21.1475,13.8966,0.149509,3.42458,0,0.00218992,0.00663586,0,0.0121676,26.9475,26.4398,4.31671,4.53389,29.9844
8,7.22081,40.8651,28.7772,8.79449,6.87448,26.0841,19.5986,12.6155,22.876,25.8656,7.58915,17.4811,22.2605,16.0523,12.7449,0.313693,0.7234,0.0773147,0.0301002,0.000928997,0.207117,0.00373881,0.00790974,1.36268,17.9742,3.04013,12.5485,1.05298
9,7.23132,40.9353,28.7687,8.7886,6.87233,26.0694,19.5918,12.6136,22.8711,25.8752,7.58532,17.477,22.2559,16.0442,12.7421,0.31352,0.723758,0.0772644,0.0301451,0.000929358,0.207312,0.00374162,0.00792036,1.36382,17.9812,3.03801,12.54,1.05262
10,6.59745,54.3243,38.3469,11.7219,9.16064,35.284,26.1167,19.0729,34.6587,78.3799,12.2935,24.2729,36.0531,26.0028,20.5945,0.297968,0.834844,0.0734447,0.0194226,0.00193446,0.127509,0.0023298,1.45178,3.38528,17.5669,4.92517,27.3449,1.45026
11,1.00084,35.8847,25.2468,7.71011,6.03092,21.2865,17.1927,55.1116,97.0411,148.042,0,47.8711,0,0,0.123876,0.547832,3.03381,0.134996,0.984387,0.00273408,1.96028,0.0128605,0.211755,0,22.6723,0,12.6494,2.31344
12,36.2898,37.7985,26.206,8.00911,6.26029,24.082,17.8476,17.0272,30.7039,52.5266,8.28584,26.5399,24.3059,17.5258,14.2669,1.89371,0.871253,0.466645,0.0258393,0.00102941,0.164047,0.00305476,0.00728662,3.05158,18.939,3.31905,14.23,4.39865
13,1.18803,42.6115,29.9362,9.14498,7.15074,25.2575,20.3843,65.3485,115.145,175.619,0,56.7716,0,0,0.147071,0.649697,3.59967,0.160086,1.16792,0.00324361,2.32612,0.0152608,0.251309,0,26.8981,0,15.0012,2.74379
14,0.148869,5.3461,3.75066,1.14916,0.89571,3.17927,2.55305,8.18677,14.4847,22.0243,0,7.11335,0,0,0.0184592,0.081555,0.45163,0.0200948,0.146469,0.000406742,0.291721,0.00191399,0.0315131,0,3.37482,0,1.88358,0.344257
15,0.206903,7.35655,5.18338,1.58336,1.23822,4.38543,3.52993,11.3114,19.9231,30.3937,0.0605402,9.86029,0.177476,0.128049,0.241032,0.622778,0.65706,0.153513,0.201981,0.000585236,0.401783,0.00263645,0.0435748,0.251973,5.33069,0.0242603,2.70708,1.55192
16,0.425141,1.70451,1.19357,0.364475,0.285118,4.20943,0.8128,1.87303,4.46456,9.19126,13.4401,9.70332,39.4466,28.4278,48.0484,113.141,7.85067,27.8796,0.0427576,0.00550362,0.00400197,0.000157092,0.0410678,56.2623,151.908,5.3819,24.8352,238.855
17,0.00990322,1.51852,1.07395,0.328261,0.256553,1.42093,0.731419,0.438027,0.958981,0.486428,2.15932,0.357213,6.33287,4.56732,3.6402,0.153157,4.40738,0.0377498,0.00502184,0,0,0.000215134,0.0212229,10.3388,44.3349,0.865073,1.50595,0.320141
18,0.483569,1.92751,1.34906,0.41192,0.32226,4.77549,0.918676,2.12657,5.06935,10.4491,15.2662,11.0306,44.8094,32.2903,54.6215,128.647,8.895,31.6999,0.0485911,0.0062593,0.00455182,0.000177028,0.046548,63.918,172.413,6.11287,28.2272,271.593
19,0.155436,0.322991,0.22542,0.0688526,0.0538487,2.54366,0.153512,1.63991,3.74484,1.58255,9.87391,1.79738,28.9744,20.8849,16.6215,0.554151,0.0572378,0.13656,9.18522,1.14714e-05,0,0.00130373,0.0494323,0.15613,0.527661,3.95433,11.1343,1.16326
20,0.694071,0.0184876,0.0033792,0.00103291,0.00080725,0.0154715,0.00230143,1.06711,1.88396,3.42475,0.0529247,0.849526,0.155215,0.111945,0.118132,0.132207,0.31294,0.0325863,0.0037842,0.00807697,0,0,0.010505,0.000837167,2.34776,0.0212029,11.0895,3.7311
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81269,0,0,0,0.0825113,0,0,0
22,0.00634721,0.00536465,0.00370135,0.0011311,0.000884199,0.00358611,0.00252076,0.00164994,0.00307464,0.0129166,0.00194601,0.00321634,0.00570822,0.00411612,0.00333722,0.000386901,0,9.53569e-05,0,2.38994e-07,0,0.0189482,0.0547055,0.00628471,0.000821229,0.000779531,0.0123689,0.000910933
23,0,59.8247,42.3006,12.9287,10.1051,38.8965,28.8089,15.2646,28.0535,20.0187,13.4696,14.0919,39.5058,28.4905,23.1219,2.79181,57.8698,0.688106,0.0523292,0,0,0.0721396,1346.06,0.249208,452.662,5.39607,6.35462,5.83566
24,9.43395,27.2497,19.0694,5.82484,4.55531,44.6774,12.9862,12.0118,31.5713,26.0466,119.972,12.5778,352.041,253.755,261.793,271.816,36.8309,66.9864,0.015065,0.0464484,0.030006,0.00280436,0.300577,901.263,1382.53,48.0473,98.5341,588.03
25,2.60325,272.046,151.071,46.1816,36.0891,156.973,102.889,32.2938,67.627,62.159,139.136,28.0422,372.66,261.831,244.919,169.65,137.402,41.8157,0.0754614,0.0289996,0,0.00432108,1.17356,446.75,2259.72,72.5657,87.4699,367.002
26,0.028309,1.01998,0.712336,0.219895,0.170016,0.611058,0.48444,1.55454,2.77977,4.19441,0,1.3514,0,0,0.00352486,0.0155638,0.0861162,0.0038344,0.0278976,7.74481e-05,0.0555711,0.000364661,0.00600198,0,0.643475,0,0.359693,0.0656245
27,0.985213,24.965,17.5314,5.35447,4.18769,14.8497,11.9377,6.21974,10.9857,26.6974,0.260972,10.8012,0.766205,0.552152,0.491586,0.244771,0.192438,0.0603113,0.00874423,7.4186e-05,0.0174173,0.000226985,0.217669,0.212605,4.01885,0.104526,83.063,0.543355
28,1.07712,4.26592,2.98703,0.912134,0.713536,10.5746,2.03411,4.71901,11.2432,23.1672,33.8034,24.4332,99.2124,71.499,120.915,284.863,19.6947,70.1944,0.107607,0.0139368,0.0100761,0.000391874,0.103143,141.481,381.743,13.5361,62.6138,601.417
