scenario,SZ,population 2022,population year,trips per resident 2022,trips per resident year
DRYRUN_BU2025,1,81579.6867,85790.0000,0.5916,0.6052
DRYRUN_BU2025,2,130531.3619,137008.0000,0.5820,0.5843
DRYRUN_BU2025,3,141863.7643,146954.0000,0.5570,0.5606
DRYRUN_BU2025,4,116293.2375,120658.0000,0.4234,0.4256
DRYRUN_BU2025,5,40374.1225,41790.0000,0.3811,0.3806
DRYRUN_BU2025,6,47626.2611,51064.0000,0.7287,0.7298
DRYRUN_BU2025,7,45359.9560,48339.0000,0.5796,0.5790
DRYRUN_BU2025,8,37604.6735,38627.0000,0.6306,0.6309
DRYRUN_BU2025,9,59816.3918,60502.0000,0.7773,0.7786
DRYRUN_BU2025,10,34381.2820,36508.0000,0.4210,0.4224
DRYRUN_BU2025,11,27063.1540,29087.0000,0.5349,0.5314
DRYRUN_BU2025,12,50.0000,50.0000,208.4113,210.6765
DRYRUN_BU2025,13,12393.9863,13333.0000,0.7302,0.7177
DRYRUN_BU2025,14,42269.2257,45747.0000,0.5223,0.5226
DRYRUN_BU2025,15,44894.1526,45529.0000,0.5387,0.5428
DRYRUN_BU2025,16,91233.2458,91745.0000,0.6942,0.6938
DRYRUN_BU2025,17,59845.5665,60598.0000,0.7471,0.7480
DRYRUN_BU2025,18,23374.9265,22423.0000,0.7665,0.7706
DRYRUN_BU2025,19,225323.3000,236663.0000,0.3908,0.3917
DRYRUN_BU2025,20,43452.2286,45833.0000,0.5421,0.5460
DRYRUN_BU2025,21,56917.7795,59718.0000,0.6027,0.6067
DRYRUN_BU2025,22,87651.0631,90881.0000,0.7071,0.7052
DRYRUN_BU2025,23,31460.6940,32139.0000,0.6786,0.6786
DRYRUN_BU2025,24,62776.6206,68028.0000,0.5366,0.5367
DRYRUN_BU2025,25,27262.5015,27453.0000,0.8413,0.8506
DRYRUN_BU2025,30,71089.3269,74473.0000,0.5224,0.5216
DRYRUN_BU2025,31,53839.3778,55891.0000,0.5748,0.5823
DRYRUN_BU2025,32,68273.0464,72594.0000,0.7643,0.7667
DRYRUN_BU2025,33,54300.9720,57141.0000,0.5384,0.5472
DRYRUN_BU2025,34,91843.5959,95043.0000,0.6082,0.6070
DRYRUN_BU2025,35,122166.4218,130002.0000,0.6210,0.6229
DRYRUN_BU2025,36,123263.4466,129552.0000,0.5333,0.5356
DRYRUN_BU2025,37,32073.3849,33365.0000,0.7442,0.7482
DRYRUN_BU2025,38,165315.3202,186630.0000,0.3108,0.2899
DRYRUN_BU2025,39,111164.3242,116716.0000,0.7053,0.7066
DRYRUN_BU2025,40,155315.3994,162017.0000,0.5234,0.5309
DRYRUN_stress,1,81579.6867,85790.0000,0.5916,0.6192
DRYRUN_stress,2,130531.3619,137008.0000,0.5820,0.5843
DRYRUN_stress,3,141863.7643,146954.0000,0.5570,0.5606
DRYRUN_stress,4,116293.2375,120658.0000,0.4234,0.4256
DRYRUN_stress,5,40374.1225,41790.0000,0.3811,0.3806
DRYRUN_stress,6,47626.2611,51064.0000,0.7287,0.7298
DRYRUN_stress,7,45359.9560,48339.0000,0.5796,0.5790
DRYRUN_stress,8,37604.6735,38627.0000,0.6306,0.6309
DRYRUN_stress,9,59816.3918,60502.0000,0.7773,0.7786
DRYRUN_stress,10,34381.2820,36508.0000,0.4210,0.4224
DRYRUN_stress,11,27063.1540,29087.0000,0.5349,0.5314
DRYRUN_stress,12,50.0000,50.0000,208.4113,210.6765
DRYRUN_stress,13,12393.9863,13333.0000,0.7302,0.7177
DRYRUN_stress,14,42269.2257,45747.0000,0.5223,0.5226
DRYRUN_stress,15,44894.1526,51790.6667,0.5387,0.5366
DRYRUN_stress,16,91233.2458,91745.0000,0.6942,0.6938
DRYRUN_stress,17,59845.5665,60598.0000,0.7471,0.7480
DRYRUN_stress,18,23374.9265,22423.0000,0.7665,0.7706
DRYRUN_stress,19,225323.3000,236663.0000,0.3908,0.3917
DRYRUN_stress,20,43452.2286,45833.0000,0.5421,0.5460
DRYRUN_stress,21,56917.7795,59718.0000,0.6027,0.6067
DRYRUN_stress,22,87651.0631,90881.0000,0.7071,0.7052
DRYRUN_stress,23,31460.6940,32139.0000,0.6786,0.6786
DRYRUN_stress,24,62776.6206,71361.3333,0.5366,0.5349
DRYRUN_stress,25,27262.5015,27453.0000,0.8413,0.8506
DRYRUN_stress,30,71089.3269,74473.0000,0.5224,0.5216
DRYRUN_stress,31,53839.3778,55891.0000,0.5748,0.5823
DRYRUN_stress,32,68273.0464,72594.0000,0.7643,0.7667
DRYRUN_stress,33,54300.9720,57141.0000,0.5384,0.5472
DRYRUN_stress,34,91843.5959,95043.0000,0.6082,0.6070
DRYRUN_stress,35,122166.4218,130002.0000,0.6210,0.6229
DRYRUN_stress,36,123263.4466,129552.0000,0.5333,0.5356
DRYRUN_stress,37,32073.3849,33365.0000,0.7442,0.7482
DRYRUN_stress,38,165315.3202,186630.0000,0.3108,0.2899
DRYRUN_stress,39,111164.3242,116716.0000,0.7053,0.7066
DRYRUN_stress,40,155315.3994,162017.0000,0.5234,0.5309
