scenario,SZ,population 2022,population year,trips per resident 2022,trips per resident year
BU_2040,1,81579.6867,107518.0000,0.5959,0.6514
BU_2040,2,130531.3619,163868.0000,0.5824,0.5879
BU_2040,3,141863.7643,167426.0000,0.5512,0.5653
BU_2040,4,116293.2375,145664.0000,0.4231,0.4306
BU_2040,5,40374.1225,48813.0000,0.3808,0.3801
BU_2040,6,47626.2611,70946.0000,0.7286,0.7346
BU_2040,7,45359.9560,65597.0000,0.6305,0.6343
BU_2040,8,37604.6735,47512.0000,0.6303,0.6291
BU_2040,9,59816.3918,70334.0000,0.7771,0.7828
BU_2040,10,34381.2820,44340.0000,0.4210,0.4255
BU_2040,11,27063.1540,38247.0000,0.5403,0.5327
BU_2040,12,50.0000,46.0000,193.4480,224.8691
BU_2040,13,12393.9863,16634.0000,0.7325,0.6988
BU_2040,14,42269.2257,59238.0000,0.5030,0.5061
BU_2040,15,44894.1526,45507.0000,0.5387,0.5692
BU_2040,16,91233.2458,88227.0000,0.6679,0.6687
BU_2040,17,59845.5665,68953.0000,0.7469,0.7758
BU_2040,18,23374.9265,23345.0000,0.8045,0.8091
BU_2040,19,225323.3000,283283.0000,0.3874,0.3924
BU_2040,20,43452.2286,56728.0000,0.5360,0.5443
BU_2040,21,56917.7795,75146.0000,0.6031,0.6079
BU_2040,22,87651.0631,108402.0000,0.7100,0.7038
BU_2040,23,31460.6940,35960.0000,0.6914,0.6951
BU_2040,24,62776.6206,110806.0000,0.5333,0.5692
BU_2040,25,27262.5015,31156.0000,0.8412,0.8528
BU_2040,30,71089.3269,90268.0000,0.5223,0.5281
BU_2040,31,53839.3778,64153.0000,0.5748,0.6049
BU_2040,32,68273.0464,101007.0000,0.7643,0.7423
BU_2040,33,54300.9720,72274.0000,0.5365,0.5558
BU_2040,34,91843.5959,106322.0000,0.6084,0.5956
BU_2040,35,122166.4218,181375.0000,0.5798,0.5998
BU_2040,36,123263.4466,161875.0000,0.5134,0.5218
BU_2040,37,32073.3849,41048.0000,0.7444,0.7535
BU_2040,38,165315.3202,251334.0000,0.3108,0.3079
BU_2040,39,111164.3242,159098.0000,0.6979,0.6782
BU_2040,40,155315.3994,200461.0000,0.5129,0.5426
BU_2050,1,81579.6867,126308.0000,0.5959,0.6736
BU_2050,2,130531.3619,179690.0000,0.5824,0.5898
