o,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,101,102,103,104,301,302,303,304
201,,37.66,43.63,42.92,42.77,45.27,48.37,52.27,60.57,63.86,61.72,59.36,68.07,83.20,79.38,77.95,93.56,71.40,68.72,67.94,63.66,72.89,74.62,70.99,65.02
202,34.55,,36.17,35.46,35.31,37.82,40.92,44.81,53.14,56.43,54.28,51.92,60.64,75.77,71.95,70.51,86.13,63.96,61.29,60.51,56.23,65.46,67.18,63.55,57.59
203,41.36,33.80,,31.26,32.86,35.37,38.47,42.36,51.95,59.05,56.83,54.47,63.19,78.32,74.50,73.14,88.75,66.51,63.84,63.06,58.78,68.01,69.73,66.10,60.14
204,46.08,38.52,31.86,,29.26,31.77,34.87,38.77,48.36,55.46,53.24,50.88,59.59,74.73,70.90,69.54,85.16,62.92,60.24,59.46,55.18,64.41,66.14,62.51,56.54
205,44.63,37.07,34.31,30.51,,29.54,32.65,36.54,46.13,53.23,51.01,48.65,57.37,72.50,68.68,67.32,82.93,60.69,58.02,57.24,52.96,62.19,63.91,60.28,54.32
206,44.80,37.24,36.40,32.60,30.01,,29.60,33.49,43.08,50.18,47.96,45.60,54.32,69.45,65.62,64.27,79.88,57.64,54.96,54.19,49.90,59.14,60.86,57.23,51.27
207,46.67,39.11,38.27,34.47,31.88,32.15,,32.32,41.53,48.63,46.41,44.05,52.77,67.90,64.07,62.71,78.33,56.09,53.41,52.64,48.35,57.59,59.31,55.68,49.72
208,48.02,40.46,39.63,35.83,33.24,35.52,29.86,,39.36,46.46,44.24,41.88,50.60,65.73,61.90,60.54,76.16,53.92,51.24,50.47,46.18,55.42,57.14,53.51,47.55
209,51.50,43.94,48.46,45.22,42.63,43.59,37.94,35.84,,43.73,41.59,39.23,47.95,63.08,59.25,57.82,73.43,51.27,48.59,47.82,43.53,52.77,54.49,50.86,44.90
210,47.98,40.42,44.94,45.43,42.84,43.80,38.14,36.04,38.09,,34.32,31.96,40.68,55.81,51.98,51.97,67.58,44.00,41.32,40.55,36.26,45.50,47.22,43.59,37.63
211,49.49,41.93,46.46,46.01,43.42,44.38,38.73,36.63,33.38,44.52,,40.02,48.74,63.87,60.04,58.61,74.23,52.06,49.38,48.61,44.32,53.56,55.28,51.65,45.69
212,51.25,43.70,48.22,47.77,45.18,46.14,40.49,38.39,35.15,41.29,28.65,,35.01,50.14,46.31,49.66,65.28,38.33,35.66,34.88,30.60,40.78,42.50,38.87,32.91
213,57.59,50.03,54.56,54.11,51.52,52.48,46.83,44.73,41.48,43.92,34.99,34.72,,44.04,41.15,44.50,60.12,41.03,38.35,37.57,33.29,44.21,46.15,43.92,38.72
214,74.95,67.39,71.91,71.47,68.88,69.84,64.18,62.08,58.84,61.28,52.35,52.07,44.10,,55.33,58.68,74.29,56.98,52.66,54.93,50.64,61.57,63.50,61.28,56.08
215,74.13,66.57,71.10,70.79,68.20,69.17,63.51,61.41,58.17,53.25,51.67,51.40,46.71,59.70,,44.10,59.72,50.02,45.70,53.90,49.97,58.08,57.18,57.79,55.40
216,76.76,69.20,73.72,73.77,71.18,72.14,66.49,64.39,61.14,55.88,56.39,56.12,51.43,64.42,42.00,,51.21,53.91,49.58,57.78,54.69,61.97,61.06,61.68,60.12
217,95.28,87.72,92.24,92.29,89.70,90.66,85.00,82.90,79.66,74.40,76.87,76.60,71.91,84.90,62.48,55.57,,74.39,70.06,78.26,75.17,82.45,81.54,82.16,80.60
101,61.76,54.20,58.73,58.28,55.69,56.65,51.00,48.90,45.65,51.80,39.16,38.89,42.31,56.81,45.29,48.42,64.04,,31.41,37.52,34.75,37.63,36.70,40.38,42.64
102,59.09,51.53,56.06,55.61,53.02,53.98,48.33,46.23,42.98,49.03,36.49,36.22,39.64,53.09,41.57,44.70,60.32,30.98,,34.85,32.08,39.04,38.13,38.75,40.19
103,56.67,49.11,53.63,53.18,50.59,51.56,45.90,43.80,40.56,46.71,34.07,33.79,37.22,52.35,44.63,47.76,63.38,33.42,30.75,,29.66,36.61,38.55,36.32,37.76
104,54.34,46.78,51.31,50.86,48.27,49.23,43.58,41.48,38.23,44.38,31.74,31.47,34.95,50.08,46.25,49.60,65.22,37.94,35.26,34.55,,41.13,43.06,40.84,35.44
301,61.60,54.05,58.57,59.30,58.29,59.26,53.60,51.50,48.26,53.88,41.76,39.88,45.44,60.52,49.01,52.13,67.75,33.49,35.12,41.23,37.88,,29.76,33.43,35.70
302,59.94,52.38,56.90,57.63,56.63,57.59,51.93,49.83,46.59,52.21,40.10,38.21,43.78,58.91,50.90,54.03,69.65,38.56,37.02,40.68,36.22,33.03,,31.77,34.03
303,57.73,50.17,54.70,55.43,54.42,55.38,49.73,47.63,44.38,50.01,37.89,36.01,44.25,59.38,52.57,55.70,71.31,40.23,38.68,42.34,37.88,34.70,36.42,,31.83
304,55.85,48.29,52.82,53.55,52.54,53.51,47.85,45.75,42.51,48.13,36.01,34.13,42.37,57.50,53.67,57.02,72.64,43.27,41.73,42.24,37.95,37.74,39.47,35.84,
