mode,o,101,102,103,104,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,301,302,303,304
brt,101,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1
brt,102,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,103,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,104,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,201,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,202,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,203,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,204,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,205,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
brt,206,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,derived:4/missing:1,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5,missing:5
