o,d,mode,component,value,unit,status,source
201,201,car,ivt,4.424,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,202,car,ivt,12.270,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,203,car,ivt,17.080,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,204,car,ivt,19.389,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,205,car,ivt,27.937,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,206,car,ivt,21.729,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,207,car,ivt,19.983,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,208,car,ivt,21.020,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,209,car,ivt,24.479,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,210,car,ivt,21.853,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,211,car,ivt,24.616,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,212,car,ivt,25.465,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,213,car,ivt,32.973,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,214,car,ivt,37.730,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,215,car,ivt,43.271,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,216,car,ivt,54.195,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,217,car,ivt,67.165,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,101,car,ivt,36.297,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,102,car,ivt,34.898,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,103,car,ivt,32.200,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,104,car,ivt,29.484,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,301,car,ivt,34.378,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,302,car,ivt,32.429,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,303,car,ivt,30.321,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
201,304,car,ivt,28.134,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,201,car,ivt,11.117,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,202,car,ivt,8.061,min,measured,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,203,car,ivt,11.503,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
202,204,car,ivt,13.479,min,derived,"THS 2017/18 AM car trips, door-to-door TrvlTime; EB blend with t = a + b·km where < 10 sampled"
