o,o_name,d,d_name,bus_ivt_min,bus_trips_0609,bus_trips_0708,bus_headway_0708_min,brt_ivt_min,brt_trips_0609,brt_trips_0708,brt_headway_0708_min,step26_fastest_path_min
101,TsurShalom,102,Kiryon,4.98,221,87,0.69,4.98,59.00,21.00,2.86,5.41
101,TsurShalom,103,KiryatBialik Center,10.18,215,85,0.71,10.18,57.00,21.00,2.86,11.52
101,TsurShalom,104,KiryatHaim,12.98,177,72,0.83,12.98,56.00,21.00,2.86,8.75
101,TsurShalom,202,Matam-NeotPeres,42.93,43,20,3.00,42.93,43.00,20.00,3.00,28.20
101,TsurShalom,203,HofCarmel-NeveDavid,58.57,21,11,5.45,58.57,21.00,11.00,5.45,32.73
101,TsurShalom,204,Hecht-Shprintzak,56.98,21,11,5.45,56.98,21.00,11.00,5.45,32.28
101,TsurShalom,205,EinHayam,54.98,21,11,5.45,54.98,21.00,11.00,5.45,29.69
101,TsurShalom,206,BatGalim-KiryatEliezer,50.30,22,11,5.45,50.30,22.00,11.00,5.45,30.65
101,TsurShalom,207,Hamoshava,48.33,22,11,5.45,48.33,22.00,11.00,5.45,25.00
101,TsurShalom,208,LowerCity,43.98,23,11,5.45,43.98,23.00,11.00,5.45,22.90
101,TsurShalom,209,Namal-Giborim,38.98,53,27,2.22,38.98,53.00,27.00,2.22,19.65
101,TsurShalom,210,Hamifrats,30.98,143,63,0.95,30.98,80.00,37.00,1.62,25.80
101,TsurShalom,211,Bazan-Hutsot,22.63,179,78,0.77,22.63,85.00,37.00,1.62,13.16
101,TsurShalom,212,TsometKiryatAta,20.00,191,81,0.74,20.00,86.00,37.00,1.62,12.89
101,TsurShalom,213,KiryatAta North,44.07,18,8,7.50,,,,,16.31
101,TsurShalom,214,KiryatAta North-East,38.00,7,3,20.00,,,,,30.81
101,TsurShalom,215,Shefaram,15.60,3,2,30.00,,,,,19.29
101,TsurShalom,216,Hamovil,17.55,1,1,60.00,,,,,22.42
101,TsurShalom,217,Nazareth,22.80,1,1,60.00,,,,,38.04
101,TsurShalom,301,SavyoneyYam,1.63,115,47,1.28,1.35,35.00,16.00,3.75,11.63
101,TsurShalom,302,KiryatYam A,6.98,114,47,1.28,6.98,34.00,16.00,3.75,10.70
101,TsurShalom,303,KiryatYam B+C,11.23,124,52,1.15,9.98,34.00,16.00,3.75,14.38
101,TsurShalom,304,KiryatHaim West,19.47,85,38,1.58,13.32,33.00,16.00,3.75,16.64
102,Kiryon,101,TsurShalom,4.32,184,67,0.90,4.47,50.00,20.00,3.00,4.98
102,Kiryon,103,KiryatBialik Center,2.80,248,91,0.66,5.20,58.00,20.00,3.00,8.85
102,Kiryon,104,KiryatHaim,8.00,201,77,0.78,8.00,57.00,20.00,3.00,6.08
102,Kiryon,202,Matam-NeotPeres,37.95,44,20,3.00,37.95,44.00,20.00,3.00,25.53
102,Kiryon,203,HofCarmel-NeveDavid,53.58,21,10,6.00,53.58,21.00,10.00,6.00,30.06
102,Kiryon,204,Hecht-Shprintzak,52.00,21,10,6.00,52.00,21.00,10.00,6.00,29.61
