TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,bus_LOS_best_line,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_LOS_best_line,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
2112,63,35,61 62 63 64 65 66 67 69 71 10332 10335 10338 10348 10826 11331 11336 11339 11358 11431 12301 12333 13242 13426 14038 14352 17068 24067 25012 34025 37009 47014 50006 74015 80005 81004,246,96,0.62,8.57,119,65,511.95,0.85,A,A,0,0,,0,0,,,0,0,16824.16,0.00,no service,no service,0,,,
2107,16,14,10348 10356 10955 11833 12301 12354 12720 13242 14352 17240 19033 21047 23045 24067,131,49,1.22,10.00,85,59,345.60,0.49,A,A,0,0,,0,0,,,0,0,23246.43,0.00,no service,no service,0,,,
2208,26,16,10332 10335 10338 10826 11331 11336 11339 11358 12301 12333 13309 13426 14310 17068 19311 22022,124,47,1.28,8.57,74,61,595.93,3.76,A,A,0,0,,0,0,,,0,0,11170.33,0.00,no service,no service,0,,,
2209,24,39,59 61 62 63 64 65 66 67 69 10332 10335 10338 10432 10505 10826 10836 10845 10846 10962 10963 10968 11184 11331 11336 11339 11358 12117 12118 12301 12333 13185 13360 13407 13426 17068 20009 22022 23013 24021,191,77,0.78,10.00,107,74,1110.58,1.35,A,A,0,0,,0,0,,,0,0,9394.28,0.00,no service,no service,0,,,
2103,19,11,13242 17068 24067 25006 25012 27005 30050 34025 37091 47014 81004,79,29,2.07,12.00,43,35,1324.91,1.31,A,B,0,0,,0,0,,,0,0,16218.54,0.00,no service,no service,0,,,
2211,13,7,12181 21016 23017 23095 24097 27096 52018,50,20,3.00,12.00,16,7,216.14,10.93,A,B,0,0,,0,0,,,0,0,10939.22,0.00,no service,no service,0,,,
2215,9,20,10826 11184 11188 11302 12117 12181 13180 13185 13407 13426 14156 14157 16050 21016 23017 23095 24097 27096 52018 52019,142,54,1.11,12.00,69,53,48.77,30.84,A,B,0,0,,0,0,,,0,0,10742.91,0.00,no service,no service,0,,,
2221,35,16,11184 11188 12117 12181 13180 13185 13407 13426 14157 16050 21016 23095 24097 27096 52018 52019,129,52,1.15,12.00,54,30,115.51,24.59,A,B,0,0,,0,0,,,0,0,11888.55,0.00,no service,no service,0,,,
2222,9,5,12181 21016 23095 27096 52019,46,17,3.53,15.00,16,9,111.20,8.34,A,B,0,0,,0,0,,,0,0,11798.69,0.00,no service,no service,0,,,
108,16,8,10271 10272 10281 19099 24060 29030 39018 45016,85,31,1.94,15.00,36,32,712.13,1.22,A,B,0,0,,0,0,,,0,0,12287.77,0.00,no service,no service,0,,,
