origin_sz,n_A (pooled obs),lambda (k=2),lambda (k=100)
1,1001,0.9980059820538385,0.9091734786557675
2,1191,0.9983235540653814,0.9225406661502711
3,1537,0.9987004548408057,0.938912645082468
4,1290,0.9984520123839009,0.9280575539568345
5,382,0.9947916666666666,0.7925311203319502
6,511,0.9961013645224172,0.8363338788870703
7,528,0.9962264150943396,0.8407643312101911
8,664,0.996996996996997,0.8691099476439791
9,760,0.9973753280839895,0.8837209302325582
10,583,0.9965811965811966,0.8535871156661786
11,1823,0.9989041095890411,0.9479979199167967
12,255,0.9922178988326849,0.7183098591549296
13,211,0.9906103286384976,0.6784565916398714
14,1527,0.9986919555264879,0.9385371850030731
15,932,0.9978586723768736,0.9031007751937985
16,1520,0.9986859395532195,0.9382716049382716
17,1517,0.9986833443054641,0.9381570810142239
18,299,0.9933554817275747,0.7493734335839599
19,916,0.9978213507625272,0.9015748031496063
20,291,0.9931740614334471,0.7442455242966752
21,826,0.9975845410628019,0.8920086393088553
22,994,0.9979919678714859,0.9085923217550275
23,497,0.9959919839679359,0.8324958123953099
24,404,0.9950738916256158,0.8015873015873016
25,194,0.9897959183673469,0.6598639455782312
30,476,0.99581589958159,0.8263888888888888
31,386,0.9948453608247423,0.7942386831275721
32,550,0.9963768115942029,0.8461538461538461
33,272,0.9927007299270073,0.7311827956989247
34,1012,0.9980276134122288,0.9100719424460432
35,1263,0.9984189723320158,0.9266324284666178
36,1125,0.9982253771073647,0.9183673469387755
37,310,0.9935897435897436,0.7560975609756098
38,661,0.9969834087481146,0.8685939553219448
39,728,0.9972602739726028,0.8792270531400966
40,903,0.9977900552486187,0.9002991026919243
