k,JSD 10->20,JSD 20->10,JSD avg,MAE avg
0.0,0.01570419853184137,0.01570419853184137,0.01570419853184137,0.0030668375664236595
1.0,0.01563735708600954,0.01554645133770254,0.01559190421185604,0.003071197297271431
2.0,0.015642203706195665,0.015492004650753004,0.015567104178474334,0.0030787555114296697
5.0,0.015814522789756882,0.015538541679030163,0.015676532234393522,0.0031158004384907326
10.0,0.01637783360549648,0.01596745805061152,0.016172645828054,0.0032405026061231566
20.0,0.018016109644606152,0.017455629827806254,0.0177358697362062,0.003562245650667326
50.0,0.024346101747783837,0.02365556188305781,0.02400083181542082,0.004820372717875199
100.0,0.03535387534964858,0.034713002300230646,0.03503343882493962,0.006736214780116442
200.0,0.054222962271457946,0.053776716090400085,0.053999839180929016,0.009547217828515388
500.0,0.0904965306720515,0.09033360528226733,0.09041506797715942,0.014019684028310385
1000.0,0.12109880962871272,0.12099549795708547,0.1210471537928991,0.01717743633130256
inf,0.19682184856826496,0.1959249404461257,0.19637339450719532,0.023204925685160332
