k,cellular prior,hierarchical prior
0.0,0.30361445584996827,0.3014888099438662
1.0,0.3225722131093083,0.3125793755505119
2.0,0.3397033953166706,0.32525620803272226
3.0,0.3545521904505924,0.33663288449112744
5.0,0.3794782206273028,0.3560909675584223
7.0,0.4000312354843151,0.37230793377851273
10.0,0.42544024448712164,0.3924603284817376
15.0,0.45849253051222805,0.4187490568768254
20.0,0.484162714857873,0.4391799686353973
30.0,0.5224040930764366,0.4695915274695204
50.0,0.5715235222039714,0.508551331033132
100.0,0.633635862540249,0.5575566123741322
200.0,0.6841086425125695,0.5970742711145487
500.0,0.7291227788829272,0.6319809680769407
inf,0.7749708755050253,0.6668672347352684
