,201,202,203,204,205,206,207,208,209,210
201,0.00,12.30,20.61,24.62,29.05,37.84,42.53,46.94,53.25,62.14
202,12.30,0.00,8.31,12.32,16.76,25.54,30.24,34.64,40.95,49.84
203,20.61,8.31,0.00,4.01,8.44,17.23,21.92,26.33,32.64,41.53
204,24.62,12.32,4.01,0.00,4.43,13.21,17.91,22.32,28.63,37.52
205,29.05,16.76,8.44,4.43,0.00,8.78,13.48,17.88,24.20,33.08
206,37.84,25.54,17.23,13.21,8.78,0.00,4.70,9.10,15.41,24.30
207,42.53,30.24,21.92,17.91,13.48,4.70,0.00,4.40,10.72,19.60
208,46.94,34.64,26.33,22.32,17.88,9.10,4.40,0.00,6.31,15.20
209,53.25,40.95,32.64,28.63,24.20,15.41,10.72,6.31,0.00,8.89
210,62.14,49.84,41.53,37.52,33.08,24.30,19.60,15.20,8.89,0.00
