AggCode,cx,cy,AggAreaName,nearest_station,dist_centroid_to_station_m,on_line
101,209176.0,751359.3,TsurShalom,S24,8919.6,False
102,209151.0,750239.1,Kiryon,S24,8059.2,False
103,208303.5,748969.3,KiryatBialik Center,S24,6560.4,False
104,207578.1,747475.1,KiryatHaim,S24,5031.6,False
201,197555.3,740677.4,TiratCarmel,S02,627.3,True
202,196869.4,743813.1,Matam-NeotPeres,S06,138.9,True
203,196658.3,746025.2,HofCarmel-NeveDavid,S09,143.6,True
204,196700.5,747290.0,Hecht-Shprintzak,S10,320.0,True
205,196959.7,748172.7,EinHayam,S12,436.8,True
206,198682.2,748268.2,BatGalim-KiryatEliezer,S15,156.5,True
207,199469.8,747398.0,Hamoshava,S17,59.3,True
208,200370.3,747012.3,LowerCity,S19,100.8,True
209,201691.3,745575.9,Namal-Giborim,S21,391.7,True
210,203895.6,743981.8,Hamifrats,S24,518.0,True
211,205726.1,745495.8,Bazan-Hutsot,S24,2396.5,False
212,206770.7,746074.3,TsometKiryatAta,S24,3590.1,False
213,210313.2,746422.4,KiryatAta North,S24,7016.7,False
214,213298.9,745802.1,KiryatAta North-East,S24,9805.7,False
215,216503.5,745468.5,Shefaram,S24,12953.9,False
216,222946.9,742151.3,Hamovil,S24,19483.8,False
217,229567.7,735504.8,Nazareth,S24,27455.9,False
301,207827.5,751261.4,SavyoneyYam,S24,8060.4,False
302,207236.9,750368.8,KiryatYam A,S24,6990.6,False
303,206534.2,749462.5,KiryatYam B+C,S24,5852.4,False
304,206390.3,747854.2,KiryatHaim West,S24,4442.4,False
