station_id,chainage_m,dist_to_next_m,AggAreaName,cum_min_all_underground,cum_min_all_underground_section_form,section_min_all_underground,cum_min_all_ground,cum_min_all_ground_section_form,section_min_all_ground
S01,164.87,1247.44,TiratCarmel,0.00,0.00,4.89,0.00,0.00,5.97
S02,1412.32,1058.14,TiratCarmel,4.89,1.96,4.15,5.97,2.39,5.06
S03,2470.46,748.92,TiratCarmel,9.04,3.92,2.94,11.03,4.79,3.58
S04,3219.38,1102.14,TiratCarmel,11.98,5.88,4.32,14.62,7.18,5.27
S05,4321.52,778.00,Matam-NeotPeres,16.30,7.84,3.05,19.89,9.57,3.72
S06,5099.53,620.66,Matam-NeotPeres,19.35,9.80,2.43,23.61,11.96,2.97
S07,5720.18,510.80,Matam-NeotPeres,21.79,11.76,2.00,26.58,14.36,2.44
S08,6230.99,1172.98,HofCarmel-NeveDavid,23.79,13.73,4.60,29.03,16.75,5.61
S09,7403.97,1396.29,HofCarmel-NeveDavid,28.39,15.69,5.48,34.64,19.14,6.68
S10,8800.25,433.81,Hecht-Shprintzak,33.86,17.65,1.70,41.32,21.53,2.08
S11,9234.07,540.54,Hecht-Shprintzak,35.57,19.61,2.12,43.40,23.93,2.59
S12,9774.61,1140.20,EinHayam,37.69,21.57,4.47,45.99,26.32,5.46
S13,10914.81,632.90,,42.16,23.53,2.48,51.44,28.71,3.03
S14,11547.71,769.65,BatGalim-KiryatEliezer,44.64,25.49,3.02,54.47,31.10,3.68
S15,12317.36,354.19,BatGalim-KiryatEliezer,47.66,27.45,1.39,58.15,33.50,1.69
S16,12671.55,754.16,BatGalim-KiryatEliezer,49.05,29.41,2.96,59.85,35.89,3.61
S17,13425.71,451.11,Hamoshava,52.00,31.37,1.77,63.46,38.28,2.16
S18,13876.82,509.49,Hamoshava,53.77,33.33,2.00,65.62,40.68,2.44
S19,14386.31,812.06,LowerCity,55.77,35.29,3.18,68.05,43.07,3.89
S20,15198.37,1114.61,LowerCity,58.96,37.26,4.37,71.94,45.46,5.33
S21,16312.97,857.85,Namal-Giborim,63.33,39.22,3.36,77.27,47.85,4.11
S22,17170.82,749.61,Namal-Giborim,66.69,41.18,2.94,81.38,50.25,3.59
S23,17920.44,987.94,Hamifrats,69.63,43.14,3.87,84.97,52.64,4.73
S24,18908.37,,Hamifrats,73.50,45.10,,89.69,55.03,
