,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.000,1.247,2.306,3.055,4.157,4.935,5.555,6.066,7.239,8.635,9.069,9.610,10.750,11.383,12.152,12.507,13.261,13.712,14.221,15.033,16.148,17.006,17.756,18.744
S02,1.247,0.000,1.058,1.807,2.909,3.687,4.308,4.819,5.992,7.388,7.822,8.362,9.502,10.135,10.905,11.259,12.013,12.465,12.974,13.786,14.901,15.759,16.508,17.496
S03,2.306,1.058,0.000,0.749,1.851,2.629,3.250,3.761,4.934,6.330,6.764,7.304,8.444,9.077,9.847,10.201,10.955,11.406,11.916,12.728,13.843,14.700,15.450,16.438
S04,3.055,1.807,0.749,0.000,1.102,1.880,2.501,3.012,4.185,5.581,6.015,6.555,7.695,8.328,9.098,9.452,10.206,10.657,11.167,11.979,13.094,13.951,14.701,15.689
S05,4.157,2.909,1.851,1.102,0.000,0.778,1.399,1.909,3.082,4.479,4.913,5.453,6.593,7.226,7.996,8.350,9.104,9.555,10.065,10.877,11.991,12.849,13.599,14.587
S06,4.935,3.687,2.629,1.880,0.778,0.000,0.621,1.131,2.304,3.701,4.135,4.675,5.815,6.448,7.218,7.572,8.326,8.777,9.287,10.099,11.213,12.071,12.821,13.809
S07,5.555,4.308,3.250,2.501,1.399,0.621,0.000,0.511,1.684,3.080,3.514,4.054,5.195,5.828,6.597,6.951,7.706,8.157,8.666,9.478,10.593,11.451,12.200,13.188
S08,6.066,4.819,3.761,3.012,1.909,1.131,0.511,0.000,1.173,2.569,3.003,3.544,4.684,5.317,6.086,6.441,7.195,7.646,8.155,8.967,10.082,10.940,11.689,12.677
S09,7.239,5.992,4.934,4.185,3.082,2.304,1.684,1.173,0.000,1.396,1.830,2.371,3.511,4.144,4.913,5.268,6.022,6.473,6.982,7.794,8.909,9.767,10.516,11.504
S10,8.635,7.388,6.330,5.581,4.479,3.701,3.080,2.569,1.396,0.000,0.434,0.974,2.115,2.747,3.517,3.871,4.625,5.077,5.586,6.398,7.513,8.371,9.120,10.108
S11,9.069,7.822,6.764,6.015,4.913,4.135,3.514,3.003,1.830,0.434,0.000,0.541,1.681,2.314,3.083,3.437,4.192,4.643,5.152,5.964,7.079,7.937,8.686,9.674
S12,9.610,8.362,7.304,6.555,5.453,4.675,4.054,3.544,2.371,0.974,0.541,0.000,1.140,1.773,2.543,2.897,3.651,4.102,4.612,5.424,6.538,7.396,8.146,9.134
S13,10.750,9.502,8.444,7.695,6.593,5.815,5.195,4.684,3.511,2.115,1.681,1.140,0.000,0.633,1.403,1.757,2.511,2.962,3.471,4.284,5.398,6.256,7.006,7.994
S14,11.383,10.135,9.077,8.328,7.226,6.448,5.828,5.317,4.144,2.747,2.314,1.773,0.633,0.000,0.770,1.124,1.878,2.329,2.839,3.651,4.765,5.623,6.373,7.361
S15,12.152,10.905,9.847,9.098,7.996,7.218,6.597,6.086,4.913,3.517,3.083,2.543,1.403,0.770,0.000,0.354,1.108,1.559,2.069,2.881,3.996,4.853,5.603,6.591
S16,12.507,11.259,10.201,9.452,8.350,7.572,6.951,6.441,5.268,3.871,3.437,2.897,1.757,1.124,0.354,0.000,0.754,1.205,1.715,2.527,3.641,4.499,5.249,6.237
S17,13.261,12.013,10.955,10.206,9.104,8.326,7.706,7.195,6.022,4.625,4.192,3.651,2.511,1.878,1.108,0.754,0.000,0.451,0.961,1.773,2.887,3.745,4.495,5.483
S18,13.712,12.465,11.406,10.657,9.555,8.777,8.157,7.646,6.473,5.077,4.643,4.102,2.962,2.329,1.559,1.205,0.451,0.000,0.509,1.322,2.436,3.294,4.044,5.032
S19,14.221,12.974,11.916,11.167,10.065,9.287,8.666,8.155,6.982,5.586,5.152,4.612,3.471,2.839,2.069,1.715,0.961,0.509,0.000,0.812,1.927,2.785,3.534,4.522
S20,15.033,13.786,12.728,11.979,10.877,10.099,9.478,8.967,7.794,6.398,5.964,5.424,4.284,3.651,2.881,2.527,1.773,1.322,0.812,0.000,1.115,1.972,2.722,3.710
S21,16.148,14.901,13.843,13.094,11.991,11.213,10.593,10.082,8.909,7.513,7.079,6.538,5.398,4.765,3.996,3.641,2.887,2.436,1.927,1.115,0.000,0.858,1.607,2.595
S22,17.006,15.759,14.700,13.951,12.849,12.071,11.451,10.940,9.767,8.371,7.937,7.396,6.256,5.623,4.853,4.499,3.745,3.294,2.785,1.972,0.858,0.000,0.750,1.738
S23,17.756,16.508,15.450,14.701,13.599,12.821,12.200,11.689,10.516,9.120,8.686,8.146,7.006,6.373,5.603,5.249,4.495,4.044,3.534,2.722,1.607,0.750,0.000,0.988
S24,18.744,17.496,16.438,15.689,14.587,13.809,13.188,12.677,11.504,10.108,9.674,9.134,7.994,7.361,6.591,6.237,5.483,5.032,4.522,3.710,2.595,1.738,0.988,0.000
