,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28,40.68,43.07,45.46,47.85,50.25,52.64,55.03
S02,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28,40.68,43.07,45.46,47.85,50.25,52.64
S03,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28,40.68,43.07,45.46,47.85,50.25
S04,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28,40.68,43.07,45.46,47.85
S05,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28,40.68,43.07,45.46
S06,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28,40.68,43.07
S07,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28,40.68
S08,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89,38.28
S09,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50,35.89
S10,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10,33.50
S11,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71,31.10
S12,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32,28.71
S13,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93,26.32
S14,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53,23.93
S15,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14,21.53
S16,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75,19.14
S17,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36,16.75
S18,40.68,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96,14.36
S19,43.07,40.68,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57,11.96
S20,45.46,43.07,40.68,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18,9.57
S21,47.85,45.46,43.07,40.68,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79,7.18
S22,50.25,47.85,45.46,43.07,40.68,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39,4.79
S23,52.64,50.25,47.85,45.46,43.07,40.68,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00,2.39
S24,55.03,52.64,50.25,47.85,45.46,43.07,40.68,38.28,35.89,33.50,31.10,28.71,26.32,23.93,21.53,19.14,16.75,14.36,11.96,9.57,7.18,4.79,2.39,0.00
