,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,2.30,4.37,6.06,8.18,9.91,11.44,12.83,15.04,17.53,18.83,20.26,22.43,23.97,25.69,26.89,28.58,29.90,31.30,33.06,35.20,37.02,38.71,40.69
S02,2.30,0.00,2.07,3.76,5.88,7.60,9.13,10.53,12.74,15.22,16.52,17.95,20.12,21.67,23.38,24.59,26.28,27.60,28.99,30.76,32.90,34.72,36.41,38.39
S03,4.37,2.07,0.00,1.69,3.81,5.53,7.06,8.46,10.67,13.15,14.45,15.89,18.06,19.60,21.31,22.52,24.21,25.53,26.93,28.69,30.83,32.65,34.34,36.32
S04,6.06,3.76,1.69,0.00,2.12,3.85,5.38,6.77,8.98,11.47,12.77,14.20,16.37,17.91,19.63,20.83,22.52,23.84,25.24,27.00,29.14,30.96,32.65,34.63
S05,8.18,5.88,3.81,2.12,0.00,1.72,3.25,4.65,6.86,9.34,10.64,12.08,14.25,15.79,17.50,18.71,20.40,21.72,23.11,24.88,27.02,28.84,30.53,32.51
S06,9.91,7.60,5.53,3.85,1.72,0.00,1.53,2.92,5.14,7.62,8.92,10.35,12.52,14.07,15.78,16.98,18.68,20.00,21.39,23.16,25.29,27.12,28.81,30.79
S07,11.44,9.13,7.06,5.38,3.25,1.53,0.00,1.39,3.60,6.09,7.39,8.82,10.99,12.54,14.25,15.45,17.15,18.47,19.86,21.63,23.76,25.59,27.28,29.26
S08,12.83,10.53,8.46,6.77,4.65,2.92,1.39,0.00,2.21,4.70,6.00,7.43,9.60,11.14,12.85,14.06,15.75,17.07,18.47,20.23,22.37,24.19,25.88,27.86
S09,15.04,12.74,10.67,8.98,6.86,5.14,3.60,2.21,0.00,2.48,3.79,5.22,7.39,8.93,10.64,11.85,13.54,14.86,16.26,18.02,20.16,21.98,23.67,25.65
S10,17.53,15.22,13.15,11.47,9.34,7.62,6.09,4.70,2.48,0.00,1.30,2.73,4.90,6.45,8.16,9.36,11.06,12.38,13.77,15.54,17.67,19.50,21.19,23.17
S11,18.83,16.52,14.45,12.77,10.64,8.92,7.39,6.00,3.79,1.30,0.00,1.43,3.60,5.15,6.86,8.06,9.76,11.08,12.47,14.24,16.37,18.20,19.89,21.87
S12,20.26,17.95,15.89,14.20,12.08,10.35,8.82,7.43,5.22,2.73,1.43,0.00,2.17,3.71,5.43,6.63,8.32,9.65,11.04,12.81,14.94,16.77,18.45,20.44
S13,22.43,20.12,18.06,16.37,14.25,12.52,10.99,9.60,7.39,4.90,3.60,2.17,0.00,1.55,3.26,4.46,6.16,7.48,8.87,10.64,12.77,14.60,16.28,18.27
S14,23.97,21.67,19.60,17.91,15.79,14.07,12.54,11.14,8.93,6.45,5.15,3.71,1.55,0.00,1.71,2.92,4.61,5.93,7.32,9.09,11.23,13.05,14.74,16.72
S15,25.69,23.38,21.31,19.63,17.50,15.78,14.25,12.85,10.64,8.16,6.86,5.43,3.26,1.71,0.00,1.20,2.90,4.22,5.61,7.38,9.52,11.34,13.03,15.01
S16,26.89,24.59,22.52,20.83,18.71,16.98,15.45,14.06,11.85,9.36,8.06,6.63,4.46,2.92,1.20,0.00,1.69,3.02,4.41,6.17,8.31,10.14,11.82,13.81
S17,28.58,26.28,24.21,22.52,20.40,18.68,17.15,15.75,13.54,11.06,9.76,8.32,6.16,4.61,2.90,1.69,0.00,1.32,2.71,4.48,6.62,8.44,10.13,12.11
S18,29.90,27.60,25.53,23.84,21.72,20.00,18.47,17.07,14.86,12.38,11.08,9.65,7.48,5.93,4.22,3.02,1.32,0.00,1.39,3.16,5.30,7.12,8.81,10.79
S19,31.30,28.99,26.93,25.24,23.11,21.39,19.86,18.47,16.26,13.77,12.47,11.04,8.87,7.32,5.61,4.41,2.71,1.39,0.00,1.77,3.90,5.73,7.41,9.40
S20,33.06,30.76,28.69,27.00,24.88,23.16,21.63,20.23,18.02,15.54,14.24,12.81,10.64,9.09,7.38,6.17,4.48,3.16,1.77,0.00,2.14,3.96,5.65,7.63
S21,35.20,32.90,30.83,29.14,27.02,25.29,23.76,22.37,20.16,17.67,16.37,14.94,12.77,11.23,9.52,8.31,6.62,5.30,3.90,2.14,0.00,1.82,3.51,5.49
S22,37.02,34.72,32.65,30.96,28.84,27.12,25.59,24.19,21.98,19.50,18.20,16.77,14.60,13.05,11.34,10.14,8.44,7.12,5.73,3.96,1.82,0.00,1.69,3.67
S23,38.71,36.41,34.34,32.65,30.53,28.81,27.28,25.88,23.67,21.19,19.89,18.45,16.28,14.74,13.03,11.82,10.13,8.81,7.41,5.65,3.51,1.69,0.00,1.98
S24,40.69,38.39,36.32,34.63,32.51,30.79,29.26,27.86,25.65,23.17,21.87,20.44,18.27,16.72,15.01,13.81,12.11,10.79,9.40,7.63,5.49,3.67,1.98,0.00
