,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37,33.33,35.29,37.26,39.22,41.18,43.14,45.10
S02,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37,33.33,35.29,37.26,39.22,41.18,43.14
S03,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37,33.33,35.29,37.26,39.22,41.18
S04,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37,33.33,35.29,37.26,39.22
S05,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37,33.33,35.29,37.26
S06,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37,33.33,35.29
S07,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37,33.33
S08,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41,31.37
S09,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45,29.41
S10,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49,27.45
S11,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53,25.49
S12,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57,23.53
S13,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61,21.57
S14,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65,19.61
S15,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69,17.65
S16,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73,15.69
S17,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76,13.73
S18,33.33,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80,11.76
S19,35.29,33.33,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84,9.80
S20,37.26,35.29,33.33,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88,7.84
S21,39.22,37.26,35.29,33.33,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92,5.88
S22,41.18,39.22,37.26,35.29,33.33,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96,3.92
S23,43.14,41.18,39.22,37.26,35.29,33.33,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00,1.96
S24,45.10,43.14,41.18,39.22,37.26,35.29,33.33,31.37,29.41,27.45,25.49,23.53,21.57,19.61,17.65,15.69,13.73,11.76,9.80,7.84,5.88,3.92,1.96,0.00
