,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,2.25,4.27,5.92,7.99,9.67,11.17,12.53,14.69,17.11,18.38,19.78,21.90,23.41,25.08,26.26,27.91,29.20,30.57,32.29,34.38,36.16,37.81,39.74
S02,2.25,0.00,2.02,3.67,5.74,7.42,8.92,10.28,12.44,14.87,16.14,17.53,19.65,21.16,22.84,24.01,25.67,26.96,28.32,30.04,32.13,33.91,35.56,37.50
S03,4.27,2.02,0.00,1.65,3.72,5.40,6.90,8.26,10.42,12.85,14.12,15.51,17.63,19.14,20.82,21.99,23.65,24.94,26.30,28.02,30.11,31.89,33.54,35.48
S04,5.92,3.67,1.65,0.00,2.07,3.76,5.25,6.61,8.77,11.20,12.47,13.87,15.98,17.49,19.17,20.34,22.00,23.29,24.65,26.37,28.46,30.24,31.89,33.83
S05,7.99,5.74,3.72,2.07,0.00,1.68,3.18,4.54,6.70,9.12,10.40,11.79,13.91,15.42,17.10,18.27,19.93,21.22,22.58,24.30,26.39,28.17,29.82,31.75
S06,9.67,7.42,5.40,3.76,1.68,0.00,1.49,2.86,5.02,7.44,8.71,10.11,12.23,13.74,15.41,16.59,18.24,19.53,20.89,22.62,24.71,26.49,28.14,30.07
S07,11.17,8.92,6.90,5.25,3.18,1.49,0.00,1.36,3.52,5.95,7.22,8.62,10.73,12.24,13.92,15.09,16.75,18.04,19.40,21.12,23.21,24.99,26.64,28.58
S08,12.53,10.28,8.26,6.61,4.54,2.86,1.36,0.00,2.16,4.58,5.85,7.25,9.37,10.88,12.55,13.73,15.38,16.68,18.04,19.76,21.85,23.63,25.28,27.21
S09,14.69,12.44,10.42,8.77,6.70,5.02,3.52,2.16,0.00,2.43,3.70,5.09,7.21,8.72,10.40,11.57,13.23,14.52,15.88,17.60,19.69,21.47,23.12,25.06
S10,17.11,14.87,12.85,11.20,9.12,7.44,5.95,4.58,2.43,0.00,1.27,2.67,4.79,6.30,7.97,9.15,10.80,12.09,13.45,15.18,17.27,19.04,20.69,22.63
S11,18.38,16.14,14.12,12.47,10.40,8.71,7.22,5.85,3.70,1.27,0.00,1.40,3.52,5.03,6.70,7.87,9.53,10.82,12.18,13.91,15.99,17.77,19.42,21.36
S12,19.78,17.53,15.51,13.87,11.79,10.11,8.62,7.25,5.09,2.67,1.40,0.00,2.12,3.63,5.30,6.48,8.13,9.42,10.78,12.51,14.60,16.38,18.02,19.96
S13,21.90,19.65,17.63,15.98,13.91,12.23,10.73,9.37,7.21,4.79,3.52,2.12,0.00,1.51,3.18,4.36,6.01,7.30,8.67,10.39,12.48,14.26,15.91,17.84
S14,23.41,21.16,19.14,17.49,15.42,13.74,12.24,10.88,8.72,6.30,5.03,3.63,1.51,0.00,1.67,2.85,4.50,5.79,7.16,8.88,10.97,12.75,14.40,16.33
S15,25.08,22.84,20.82,19.17,17.10,15.41,13.92,12.55,10.40,7.97,6.70,5.30,3.18,1.67,0.00,1.18,2.83,4.12,5.48,7.21,9.29,11.07,12.72,14.66
S16,26.26,24.01,21.99,20.34,18.27,16.59,15.09,13.73,11.57,9.15,7.87,6.48,4.36,2.85,1.18,0.00,1.65,2.95,4.31,6.03,8.12,9.90,11.55,13.48
S17,27.91,25.67,23.65,22.00,19.93,18.24,16.75,15.38,13.23,10.80,9.53,8.13,6.01,4.50,2.83,1.65,0.00,1.29,2.65,4.38,6.46,8.24,9.89,11.83
S18,29.20,26.96,24.94,23.29,21.22,19.53,18.04,16.68,14.52,12.09,10.82,9.42,7.30,5.79,4.12,2.95,1.29,0.00,1.36,3.09,5.17,6.95,8.60,10.54
S19,30.57,28.32,26.30,24.65,22.58,20.89,19.40,18.04,15.88,13.45,12.18,10.78,8.67,7.16,5.48,4.31,2.65,1.36,0.00,1.72,3.81,5.59,7.24,9.18
S20,32.29,30.04,28.02,26.37,24.30,22.62,21.12,19.76,17.60,15.18,13.91,12.51,10.39,8.88,7.21,6.03,4.38,3.09,1.72,0.00,2.09,3.87,5.52,7.45
S21,34.38,32.13,30.11,28.46,26.39,24.71,23.21,21.85,19.69,17.27,15.99,14.60,12.48,10.97,9.29,8.12,6.46,5.17,3.81,2.09,0.00,1.78,3.43,5.36
S22,36.16,33.91,31.89,30.24,28.17,26.49,24.99,23.63,21.47,19.04,17.77,16.38,14.26,12.75,11.07,9.90,8.24,6.95,5.59,3.87,1.78,0.00,1.65,3.59
S23,37.81,35.56,33.54,31.89,29.82,28.14,26.64,25.28,23.12,20.69,19.42,18.02,15.91,14.40,12.72,11.55,9.89,8.60,7.24,5.52,3.43,1.65,0.00,1.94
S24,39.74,37.50,35.48,33.83,31.75,30.07,28.58,27.21,25.06,22.63,21.36,19.96,17.84,16.33,14.66,13.48,11.83,10.54,9.18,7.45,5.36,3.59,1.94,0.00
