,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
S01,0.00,3.72,7.06,9.79,13.22,14.94,16.47,17.86,20.07,22.55,23.85,25.28,27.44,28.98,31.76,33.71,36.45,38.60,40.86,43.72,47.17,50.12,52.85,56.06
S02,3.72,0.00,3.34,6.08,9.51,11.23,12.75,14.15,16.35,18.83,20.13,21.56,23.73,25.27,28.04,29.99,32.74,34.88,37.14,40.00,43.45,46.40,49.14,52.34
S03,7.06,3.34,0.00,2.73,6.16,7.88,9.41,10.80,13.01,15.49,16.79,18.22,20.38,21.92,24.70,26.65,29.39,31.54,33.80,36.66,40.11,43.06,45.79,49.00
S04,9.79,6.08,2.73,0.00,3.43,5.15,6.68,8.07,10.28,12.76,14.05,15.48,17.65,19.19,21.96,23.92,26.66,28.81,31.07,33.92,37.38,40.33,43.06,46.27
S05,13.22,9.51,6.16,3.43,0.00,1.72,3.25,4.64,6.85,9.33,10.62,12.05,14.22,15.76,18.53,20.49,23.23,25.38,27.64,30.49,33.95,36.90,39.63,42.83
S06,14.94,11.23,7.88,5.15,1.72,0.00,1.53,2.92,5.13,7.61,8.90,10.33,12.50,14.04,16.81,18.77,21.51,23.65,25.92,28.77,32.23,35.18,37.91,41.11
S07,16.47,12.75,9.41,6.68,3.25,1.53,0.00,1.39,3.60,6.08,7.38,8.80,10.97,12.51,15.29,17.24,19.98,22.13,24.39,27.25,30.70,33.65,36.38,39.59
S08,17.86,14.15,10.80,8.07,4.64,2.92,1.39,0.00,2.21,4.69,5.99,7.41,9.58,11.12,13.90,15.85,18.59,20.74,23.00,25.85,29.31,32.26,34.99,38.20
S09,20.07,16.35,13.01,10.28,6.85,5.13,3.60,2.21,0.00,2.48,3.78,5.21,7.37,8.91,11.69,13.64,16.39,18.53,20.79,23.65,27.10,30.05,32.78,35.99
S10,22.55,18.83,15.49,12.76,9.33,7.61,6.08,4.69,2.48,0.00,1.30,2.73,4.89,6.43,9.21,11.16,13.90,16.05,18.31,21.17,24.62,27.57,30.30,33.51
S11,23.85,20.13,16.79,14.05,10.62,8.90,7.38,5.99,3.78,1.30,0.00,1.43,3.59,5.14,7.91,9.86,12.61,14.75,17.01,19.87,23.32,26.27,29.01,32.21
S12,25.28,21.56,18.22,15.48,12.05,10.33,8.80,7.41,5.21,2.73,1.43,0.00,2.17,3.71,6.48,8.44,11.18,13.32,15.58,18.44,21.90,24.84,27.58,30.78
S13,27.44,23.73,20.38,17.65,14.22,12.50,10.97,9.58,7.37,4.89,3.59,2.17,0.00,1.54,4.32,6.27,9.01,11.16,13.42,16.27,19.73,22.68,25.41,28.62
S14,28.98,25.27,21.92,19.19,15.76,14.04,12.51,11.12,8.91,6.43,5.14,3.71,1.54,0.00,2.77,4.73,7.47,9.62,11.88,14.73,18.19,21.14,23.87,27.07
S15,31.76,28.04,24.70,21.96,18.53,16.81,15.29,13.90,11.69,9.21,7.91,6.48,4.32,2.77,0.00,1.95,4.70,6.84,9.10,11.96,15.41,18.36,21.10,24.30
S16,33.71,29.99,26.65,23.92,20.49,18.77,17.24,15.85,13.64,11.16,9.86,8.44,6.27,4.73,1.95,0.00,2.74,4.89,7.15,10.01,13.46,16.41,19.14,22.35
S17,36.45,32.74,29.39,26.66,23.23,21.51,19.98,18.59,16.39,13.90,12.61,11.18,9.01,7.47,4.70,2.74,0.00,2.14,4.40,7.26,10.72,13.67,16.40,19.60
S18,38.60,34.88,31.54,28.81,25.38,23.65,22.13,20.74,18.53,16.05,14.75,13.32,11.16,9.62,6.84,4.89,2.14,0.00,2.26,5.12,8.57,11.52,14.25,17.46
S19,40.86,37.14,33.80,31.07,27.64,25.92,24.39,23.00,20.79,18.31,17.01,15.58,13.42,11.88,9.10,7.15,4.40,2.26,0.00,2.86,6.31,9.26,11.99,15.20
S20,43.72,40.00,36.66,33.92,30.49,28.77,27.25,25.85,23.65,21.17,19.87,18.44,16.27,14.73,11.96,10.01,7.26,5.12,2.86,0.00,3.45,6.40,9.14,12.34
S21,47.17,43.45,40.11,37.38,33.95,32.23,30.70,29.31,27.10,24.62,23.32,21.90,19.73,18.19,15.41,13.46,10.72,8.57,6.31,3.45,0.00,2.95,5.68,8.89
S22,50.12,46.40,43.06,40.33,36.90,35.18,33.65,32.26,30.05,27.57,26.27,24.84,22.68,21.14,18.36,16.41,13.67,11.52,9.26,6.40,2.95,0.00,2.73,5.94
S23,52.85,49.14,45.79,43.06,39.63,37.91,36.38,34.99,32.78,30.30,29.01,27.58,25.41,23.87,21.10,19.14,16.40,14.25,11.99,9.14,5.68,2.73,0.00,3.20
S24,56.06,52.34,49.00,46.27,42.83,41.11,39.59,38.20,35.99,33.51,32.21,30.78,28.62,27.07,24.30,22.35,19.60,17.46,15.20,12.34,8.89,5.94,3.20,0.00
