PerID3,HHID,SurveyDay,placeno,o,d,share,w,comp,transit,new_wf,Age,age_grp,female,licence,HHnCars,licensed_drivers,car_seg,employed,student,paid_parking,sector,HHSIZE,purpose,mainmode,car_gc,bus_gc,brt_gc,bus_ivt,bus_walk,bus_wait,bus_transfers,car_ivt,tr_best_gc,has_brt,dGC,dGC_best,dist_km,band,w_norm,transit_lbl
3-20080000211-2,20080000211.00000,2,3,217,301,0.00000,0.00000,CAR,0,286.36498,47.00000,35-64,False,True,2.00000,2.00000,car_available,True,False,False,general,6.00000,NHB,10,56.82000,99.46000,,63.31000,9.08000,5.00000,1.00000,56.82000,99.46000,0,42.64000,42.64000,26.84971,20+,0.00000,car
3-20122000341-2,20122000341.00000,1,4,210,206,0.10671,37.14448,CAR,0,348.08037,69.00000,65+,True,True,1.00000,2.00000,competition,False,False,False,general,2.00000,NHB,11,20.07000,37.45000,38.95000,20.06000,7.94000,0.75000,0.00000,20.07000,37.45000,1,17.38000,17.38000,6.74928,6-10,0.64226,car
3-20220000003-2,20220000003.00000,1,2,104,210,1.00000,64.32792,CAR,0,64.32792,64.00000,35-64,False,True,2.00000,2.00000,car_available,True,False,False,general,2.00000,HBW,10,14.37000,34.00000,35.05000,12.46000,10.29000,0.47000,0.00000,14.37000,34.00000,1,19.63000,19.63000,5.07582,3-6,1.11228,car
3-20220000003-2,20220000003.00000,2,2,104,210,1.00000,64.32792,CAR,0,64.32792,64.00000,35-64,False,True,2.00000,2.00000,car_available,True,False,False,general,2.00000,HBW,10,14.37000,34.00000,35.05000,12.46000,10.29000,0.47000,0.00000,14.37000,34.00000,1,19.63000,19.63000,5.07582,3-6,1.11228,car
3-20220000026-1,20220000026.00000,2,2,104,202,1.00000,79.57399,CAR,0,79.57399,46.00000,35-64,False,True,2.00000,2.00000,car_available,True,False,False,general,2.00000,HBW,10,28.64000,39.50000,39.50000,24.95000,5.77000,1.50000,0.00000,28.64000,39.50000,1,10.86000,10.86000,11.31753,10-20,1.37590,car
3-20220000058-1,20220000058.00000,1,2,104,212,1.00000,59.78638,CAR,0,59.78638,35.00000,35-64,False,True,2.00000,2.00000,car_available,True,False,False,general,4.00000,HBO,10,6.79000,17.79000,19.00000,5.83000,5.62000,0.36000,0.00000,6.79000,17.79000,1,11.00000,11.00000,1.61683,<3,1.03376,car
3-20220000058-1,20220000058.00000,2,2,104,212,1.00000,59.78638,CAR,0,59.78638,35.00000,35-64,False,True,2.00000,2.00000,car_available,True,False,False,general,4.00000,HBO,10,6.79000,17.79000,19.00000,5.83000,5.62000,0.36000,0.00000,6.79000,17.79000,1,11.00000,11.00000,1.61683,<3,1.03376,car
3-20220000058-2,20220000058.00000,2,2,104,206,0.95646,57.18322,CAR,0,59.78638,35.00000,35-64,True,True,2.00000,2.00000,car_available,True,False,False,general,4.00000,HBW,10,32.40000,46.39000,46.39000,32.56000,5.42000,1.50000,0.00000,32.40000,46.39000,1,13.99000,13.99000,8.93118,6-10,0.98874,car
3-20220000058-3,20220000058.00000,1,2,104,212,1.00000,59.78638,CAR,0,59.78638,2.00000,0-17,False,False,2.00000,2.00000,no_licence,False,False,False,general,4.00000,HBE,11,6.79000,17.79000,19.00000,5.83000,5.62000,0.36000,0.00000,6.79000,17.79000,1,11.00000,11.00000,1.61683,<3,1.03376,car
3-20220000058-3,20220000058.00000,2,2,104,212,1.00000,59.78638,CAR,0,59.78638,2.00000,0-17,False,False,2.00000,2.00000,no_licence,False,False,False,general,4.00000,HBE,11,6.79000,17.79000,19.00000,5.83000,5.62000,0.36000,0.00000,6.79000,17.79000,1,11.00000,11.00000,1.61683,<3,1.03376,car
3-20220000058-4,20220000058.00000,2,2,104,212,1.00000,59.78638,CAR,0,59.78638,1.00000,0-17,False,False,2.00000,2.00000,no_licence,False,False,False,general,4.00000,HBE,11,6.79000,17.79000,19.00000,5.83000,5.62000,0.36000,0.00000,6.79000,17.79000,1,11.00000,11.00000,1.61683,<3,1.03376,car
3-20297000021-1,20297000021.00000,1,4,102,301,0.00000,0.00000,CAR,0,119.50511,31.00000,25-34,True,True,1.00000,2.00000,competition,True,False,False,general,3.00000,NHB,10,9.91000,44.49000,,27.37000,6.25000,2.31000,0.00000,9.91000,44.49000,0,34.58000,34.58000,1.67235,<3,0.00000,car
