,"boardings 2022 (legs, May 2022)",boardings 2025 (all),journeys 2025 (non-transfer),Metronit 2025 (all),ratio 2025 / 2022 (legs)
101,105.25,93.90,93.38,0.00,0.89
102,3.25,22.67,22.50,0.00,6.97
103,123.75,78.74,78.19,0.00,0.64
104,157.75,99.26,98.81,0.00,0.63
105,133.25,227.52,225.67,0.00,1.71
106,2190.25,518.26,496.33,0.00,0.24
107,90.25,27.05,26.52,0.00,0.30
108,65.00,69.60,68.38,0.00,1.07
109,35.00,28.38,27.88,0.00,0.81
110,19.00,26.14,25.95,0.00,1.38
111,163.25,206.50,204.14,0.00,1.26
112,131.75,219.07,217.33,0.00,1.66
113,106.00,53.79,52.36,0.00,0.51
114,37.75,87.71,87.00,0.00,2.32
115,63.75,103.69,103.24,0.00,1.63
116,25.25,72.60,72.40,0.00,2.88
117,216.50,337.60,330.98,0.00,1.56
118,33.50,59.81,58.55,0.00,1.79
201,20.75,22.14,22.02,0.00,1.07
202,18.00,32.74,32.12,0.00,1.82
203,73.00,104.24,102.10,0.00,1.43
204,24.50,55.19,53.57,0.00,2.25
205,61.25,50.81,48.31,0.00,0.83
206,4.75,0.05,0.05,0.00,0.01
207,23.00,10.10,9.45,0.00,0.44
208,16.50,11.81,11.52,0.00,0.72
209,91.00,19.79,19.43,0.00,0.22
210,21.50,24.86,24.21,0.00,1.16
213,332.50,26.19,25.45,0.00,0.08
214,38.50,71.52,70.60,0.00,1.86
215,61.00,117.07,116.67,0.00,1.92
216,1148.00,214.19,210.52,0.00,0.19
217,597.25,169.98,167.76,0.00,0.28
218,13.25,5.57,5.55,0.00,0.42
219,43.75,177.36,174.81,0.00,4.05
220,120.50,181.90,181.00,0.00,1.51
221,36.50,70.83,70.64,0.00,1.94
222,141.25,135.93,132.38,0.00,0.96
223,4.00,14.07,13.62,0.00,3.52
224,390.25,164.79,154.36,0.00,0.42
225,136.50,217.02,205.17,0.00,1.59
226,0.00,2.33,2.29,0.00,
227,19.50,28.69,27.98,0.00,1.47
228,40.50,1.79,1.71,0.00,0.04
229,3.25,1.48,1.45,0.00,0.45
230,11.00,8.90,8.88,0.00,0.81
231,31.75,20.24,19.98,0.00,0.64
232,7.25,14.40,14.19,0.00,1.99
233,1.50,3.21,3.19,0.00,2.14
234,4.00,3.74,3.69,0.00,0.93
235,7.50,41.00,40.90,0.00,5.47
236,32.75,38.05,36.19,0.00,1.16
238,0.00,0.05,0.05,0.00,
239,34.75,27.31,26.48,0.00,0.79
240,19.25,20.64,20.55,0.00,1.07
241,7.75,9.81,8.81,0.00,1.27
242,265.00,34.90,33.81,0.00,0.13
243,0.00,0.07,0.07,0.00,
245,7.00,12.07,11.98,0.00,1.72
301,32.00,30.90,30.71,0.00,0.97
302,0.00,8.31,8.19,0.00,
303,167.00,186.98,184.62,0.00,1.12
304,198.50,176.81,176.00,0.00,0.89
305,6.50,7.40,7.33,0.00,1.14
306,39.75,37.69,36.79,0.00,0.95
307,1.75,2.95,2.95,0.00,1.69
308,2.50,0.86,0.69,0.00,0.34
309,0.00,0.83,0.83,0.00,
310,44.25,44.93,44.76,0.00,1.02
311,5.50,3.88,3.88,0.00,0.71
312,0.25,7.31,7.31,0.00,29.24
313,0.25,2.14,2.14,0.00,8.57
314,54.25,23.71,23.55,0.00,0.44
315,25.25,33.90,33.67,0.00,1.34
316,49.25,22.98,22.88,0.00,0.47
317,49.50,25.86,25.76,0.00,0.52
318,55.25,67.19,65.81,0.00,1.22
319,22.50,29.36,28.52,0.00,1.30
320,147.25,77.60,71.74,0.00,0.53
323,201.75,214.55,213.50,0.00,1.06
324,426.25,327.36,324.52,0.00,0.77
325,29.00,100.29,100.19,0.00,3.46
326,1528.25,404.83,392.07,0.00,0.26
327,455.00,415.05,405.57,0.00,0.91
328,164.50,195.93,191.12,0.00,1.19
329,175.00,154.48,152.79,0.00,0.88
330,67.00,113.43,113.29,0.00,1.69
331,78.25,174.50,173.36,0.00,2.23
332,192.00,180.02,179.33,0.00,0.94
333,0.00,52.45,52.14,0.00,
334,2.50,3.45,3.45,0.00,1.38
335,76.00,58.64,58.52,0.00,0.77
336,15.00,20.43,20.43,0.00,1.36
337,7.75,19.67,19.55,0.00,2.54
338,26.50,17.19,16.74,0.00,0.65
401,17.50,23.40,23.29,0.00,1.34
402,48.00,42.81,42.71,0.00,0.89
403,30.25,25.95,25.67,0.00,0.86
404,7.75,10.29,10.19,0.00,1.33
