AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,398.884,217.713,116.556,49.2203,10.857,61.6304,76.3712,8.4389,74.0019,19.7121,0,11.5484,74.9182,6.93141,12.5378,0.466262,0,0,0,0,0,0.297314,0,7.05388,20.3305,5.90405,20.1499,3.06497
2,294.364,227.133,27.2098,93.5391,8.16813,26.8528,24.2101,4.47547,38.5529,7.27264,0,2.79717,67.6915,13.9858,7.83208,0,0,0,0,0,0,0,0,34.6849,31.8877,2.23774,8.189,1.6783
3,8.22212,36.8061,12.6749,56.3449,11.5215,28.6737,69.0727,7.24255,57.6952,15.6931,0,3.61581,56.5411,5.16545,16.5404,1.54963,0,0,0,0,0,0,0,0,26.3766,4.6489,13.6608,1.03309
4,105.736,192.364,23.2132,111.203,31.1419,45.061,144.595,24.1105,79.0556,68.748,0,15.2141,68.313,16.9891,25.036,0,0,0,0,0,0,0.380569,0.388483,1.94242,24.4014,6.44077,20.7818,6.87794
5,19.805,37.5592,3.17882,36.772,22.0462,27.2857,88.2248,17.6991,50.7709,40.7982,0,13.7732,45.3658,11.0707,13.327,0,0,1.2635,0,0,0,0.421167,1.2635,1.91532,13.2317,7.30028,21.9058,5.59555
6,41.3042,49.8189,10.181,40.3975,3.80348,52.3289,49.3123,13.2514,23.6725,27.9106,0.513997,4.0869,22.3411,5.12903,5.55534,0.615484,0,0,0.410323,0,0,0.410323,0,5.53935,8.03806,0,15.9072,4.51355
7,36.9362,64.7348,6.99556,54.402,8.17683,51.7662,103.378,35.621,135.382,98.0079,0,37.856,134.708,35.5977,40.8316,3.99126,0,0,1.21452,0,0,0.505454,5.19919,8.21429,56.3981,9.81624,67.3359,14.2585
8,4.29254,23.2634,0,16.119,1.87063,37.0537,25.3265,26.9007,31.0719,31.8314,0,7.99459,32.749,4.52266,4.44201,0.282666,0,0.565332,0,0,0,0,0,1.13066,9.61065,0.847999,4.32104,1.97866
9,7.21119,39.4283,0.787529,12.3851,2.06315,46.2017,61.5072,25.2387,75.9487,25.1559,0.587901,12.4233,56.4718,6.80873,12.7393,0.621053,0,0,0,0,0,1.39387,3.68821,5.44461,16.1533,0.587901,8.28982,5.40014
10,31.1435,44.0057,2.57756,34.4871,8.0526,45.3439,62.4582,19.2493,32.0728,54.4061,5.4125,43.2554,78.0184,21.3322,21.5699,8.26118,0,1.43557,0,0,0,0,4.72999,5.12763,34.1556,0.569737,38.9657,9.15748
11,0.0140257,1.29283,0,0.0336617,0.0252463,0.112206,0.56185,0.0813492,0.311371,0.258415,0.00841544,1.6471,0,0,0,0,0,0,0,0,0,0,0,0,0.0925698,0,0,0
12,53.1167,82.231,2.79106,38.0003,9.29624,52.985,96.1301,39.1033,100.052,119.003,8.81709,59.4069,97.1844,26.3521,48.8102,4.90174,0,2.66889,0,0,0.593087,0.593087,2.62567,11.1062,59.5078,6.52395,51.2571,8.09397
13,83.2864,263.625,8.48377,72.8032,12.8538,139.866,87.4975,72.89,177.622,65.0928,12.0979,95.0025,116.706,48.1904,98.3067,5.04491,0.652598,5.22078,2.61039,0,2.61039,19.0207,13.9906,18.8125,110.631,9.82995,144.412,39.4408
14,14.0086,15.9991,0,3.23221,2.30872,24.6411,13.0342,5.50649,27.7849,9.69663,6.66659,8.50208,31.2291,12.8933,18.2247,5.66687,0,0,0,0,0,0.139839,0.923488,20.1889,41.0483,3.97802,5.20754,13.7563
15,20.8309,19.2832,1.87035,11.2221,3.74071,22.4442,18.6816,6.23451,51.123,25.8404,4.98761,13.7159,54.8418,7.73841,44.6915,4.34227,3.41804,1.2469,0,0,0.623451,0,3.39614,42.0882,93.0361,60.4529,9.93144,81.5351
16,23.1271,48.0469,0,7.76398,4.33988,62.0696,23.5885,20.2818,77.8173,24.4166,7.6921,28.2703,102.435,27.6616,176.794,154.773,6.12207,0.210502,0,0,0,0,0.947209,87.3177,151.855,43.2771,49.2503,167.316
17,0,0.865472,0,0.432736,0,4.32736,1.51458,1.08184,3.02915,0.865472,0.865472,1.73094,4.54373,0,1.73094,0.432736,5.19283,0,0.216368,0,0,0,0,7.14014,64.0449,1.73094,0.432736,1.08184
18,0,5.02846,0,0.914265,0.685699,3.19993,0.914265,0.914265,2.5138,1.35325,0.457133,0.457133,10.7541,4.0373,9.57051,69.403,0.228566,6.88774,2.19494,0,0.0649351,0.194805,0.645887,0,12.7224,0.457133,12.3298,129.586
