AggAreaCode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,407.75,220.289,118.245,49.7864,11.021,62.462,77.4895,8.5294,75.007,20.0311,0,11.7405,76.1148,7.0308,12.7457,0.470979,0,0,0,0,0,0.300279,0,7.2182,20.5985,6.05833,20.4052,3.08547
2,328.437,252.996,30.5076,104.632,9.08304,30.1516,27.0946,5.02527,43.1545,8.16606,0,3.14079,76.0071,15.704,8.79421,0,0,0,0,0,0,0,0,38.9458,35.805,2.51263,9.15018,1.88447
3,9.10923,42.4144,14.4212,62.7955,13.3799,33.4642,79.0879,8.37584,66.9032,18.1327,0,4.22544,65.7379,6.03634,19.2413,1.8109,0,0,0,0,0,0,0,0,30.5602,5.43271,15.5801,1.20727
4,108.967,198.201,23.8701,114.359,31.9302,46.2504,148.224,24.6912,80.9772,70.4106,0,15.574,70.0194,17.3817,25.6384,0,0,0,0,0,0,0.388294,0.399147,1.99573,25.0074,6.60291,21.3854,7.02727
5,20.4814,38.8085,3.2685,37.9435,22.8055,27.9917,90.7938,18.3325,52.352,42.2124,0,14.2893,46.6637,11.4452,13.6735,0,0,1.28934,0,0,0,0.429779,1.28934,1.97916,13.5886,7.62231,22.4894,5.85804
6,42.3717,51.098,10.4163,41.5398,3.91117,53.6592,50.4567,13.572,24.2584,28.5477,0.525394,4.19617,22.9561,5.281,5.70994,0.63372,0,0,0.42248,0,0,0.42248,0,5.70348,8.26957,0,16.323,4.64728
7,38.4645,67.0616,7.23019,56.4355,8.39972,53.3099,106.65,36.8615,138.974,100.959,0,38.8118,138.513,36.5827,41.8654,4.14732,0,0,1.2393,0,0,0.521816,5.29656,8.46958,57.8287,10.0031,68.8155,14.6301
8,4.49602,24.3534,0,16.8757,1.96957,39.045,26.5336,28.269,32.6634,33.5423,0,8.39861,34.5801,4.77646,4.67804,0.298529,0,0.597058,0,0,0,0,0,1.19412,10.15,0.895586,4.5304,2.0897
9,7.62539,41.6079,0.808136,13.1223,2.13918,48.9606,64.7016,26.4896,79.6528,26.8135,0.617985,13.1601,59.6216,7.16898,13.4622,0.676482,0,0,0,0,0,1.48096,3.84848,5.87393,17.1572,0.617985,8.82774,5.68436
10,33.3879,47.0904,2.75999,36.8955,8.62737,48.4539,66.647,20.6039,34.3052,57.9936,5.8027,46.2238,83.324,22.7161,22.8944,8.85675,0,1.493,0,0,0,0,5.02464,5.4973,36.5493,0.610811,41.6398,9.81609
11,0.0143678,1.48522,0,0.0344828,0.0258621,0.114943,0.629174,0.0833333,0.318966,0.270525,0.00862069,1.90175,0,0,0,0,0,0,0,0,0,0,0,0,0.0948276,0,0,0
12,59.5907,92.6575,3.14757,42.6505,10.4532,59.4209,108.028,43.9798,112.611,133.279,9.74906,66.2125,109.434,29.7364,55.0507,5.53306,0,3.01501,0,0,0.670001,0.670001,2.92389,12.5189,67.0297,7.37002,57.3138,9.13709
