,area,origins RavKav 2022,origins RavKav 2025 journeys,origins RavKav 2025 legs,origins survey bus 2022 (step 16),2025 / 2022 RavKav,2025 RavKav / survey 2022
1,TiratCarmel,1357.00,1196.59,1216.38,1143.30,0.88,1.05
2,Matam,419.00,922.76,1031.19,339.46,2.20,2.72
3,Neot Peres,224.50,433.08,497.92,159.15,1.93,2.72
4,Neve David,1156.00,1011.99,1039.30,1060.98,0.88,0.95
5,Ein Hayam,512.75,480.57,495.61,924.94,0.94,0.52
6,Bat Galim,422.25,385.04,394.92,431.12,0.91,0.89
7,Kiryat Eliezer,1118.00,1011.33,1041.07,1038.14,0.90,0.97
8,Hamoshava,250.00,266.17,279.94,386.06,1.06,0.69
9,Lower City,431.00,426.54,450.12,467.35,0.99,0.91
10,Hadar Carmel,556.50,605.79,647.21,438.47,1.09,1.38
11,Namal,87.00,4.44,4.98,77.36,0.05,0.06
12,Neve Yosef,667.50,981.15,1102.18,536.44,1.47,1.83
13,Hamifrats,794.25,1726.60,1950.13,622.48,2.17,2.77
14,Hutzot,162.50,284.64,334.71,94.52,1.75,3.01
15,Kiryat Nahum,276.50,607.32,704.63,150.63,2.20,4.03
16,Kiryat Ata Center,1338.75,1295.37,1330.35,1082.65,0.97,1.20
17,Kiryat Bialik South,117.00,101.26,105.05,439.14,0.87,0.23
18,Kiryat Ata East,255.50,275.51,279.89,517.61,1.08,0.53
19,Shefaram,112.50,76.76,78.98,220.92,0.68,0.35
20,Adi,23.00,25.67,25.97,16.61,1.12,1.55
21,Alon Hagalil,23.50,27.38,27.50,8.91,1.16,3.07
22,Tzipori,11.50,14.95,15.10,2.03,1.30,7.35
23,Nazareth Area,1895.50,1914.07,1937.53,2177.06,1.01,0.88
24,Kiryat Yam,4153.25,3331.03,3421.84,4114.52,0.80,0.81
25,Kiryat Motzkin-Bialik,5585.75,6345.75,6634.85,7231.62,1.14,0.88
26,Haifa Airport,33.25,56.56,62.48,17.49,1.70,3.23
27,Nesher Lower,612.75,458.29,474.23,855.92,0.75,0.54
28,Kiryat Ata South,2221.00,2052.06,2112.40,2219.64,0.92,0.92
