ClusterName,StopCode,Lat,Long,StopName,TAZ
קווי נצרת - נסיעות ותיירות,53915,32.862610,35.299163,שוהדאא אל אקסא א,3007.000000
קווי נצרת – שאמ,52157,32.684180,35.276252,יפיע/מרכז,1934.000000
חיפה עירוני,41574,32.813257,34.994291,שבתאי לוי/פרץ,1402.000000
מטרונית חיפה,47531,32.821617,34.990704,המושבה הגרמנית,1302.000000
קווי נצרת – שאמ,52166,32.696337,35.300544,ביג פאשן,1926.000000
קווי נצרת – שאמ,53918,32.715880,35.298933,ספוריה/דושי,1923.000000
מטרונית חיפה,42833,32.804241,35.011616,מטה המשטרה,1311.000000
קווי נצרת - נסיעות ותיירות,53920,32.862244,35.299240,סחנין אלשהדא,3007.000000
קווי נצרת – שאמ,53921,32.717789,35.299152,כאוכב א-שמאלי,1908.000000
קווי נצרת - נסיעות ותיירות,52167,32.926300,35.324080,מתחם ביג כרמיאל,320.000000
מרחב נצרת ג'י.בי טורס,52170,32.775014,35.373736,רחוב 4 אבן סינא,1914.000000
מרחב נצרת ג'י.בי טורס,52173,32.776308,35.373381,רחוב בשארה,1914.000000
מטרונית חיפה,47536,32.803047,35.053486,חוצות המפרץ,1210.000000
מטרונית חיפה,47567,32.816315,35.003292,קרית הממשלה,1313.000000
מטרונית חיפה,47532,32.830288,34.984436,עליית הנוער/מסוף,1503.000000
קווי נצרת – שאמ,52189,32.701444,35.298372,פאולוס הששי/6177,1928.000000
קווי נצרת – שאמ,52201,32.715011,35.281723,7061/7074,1924.000000
מטרונית חיפה,47533,32.793939,34.959595,מרכזית חוף כרמל,1517.000000
קווי נצרת – שאמ,53923,32.710717,35.299604,עבאס,1909.000000
קווי נצרת – שאמ,53925,32.695837,35.299792,ביג/עיריית נצרת,1926.000000
קווי נצרת - נסיעות ותיירות,53925,32.695837,35.299792,ביג/עיריית נצרת,1926.000000
מטרונית חיפה,47537,32.805813,35.056976,חוצות המפרץ,1209.000000
חיפה עירוני,42867,32.812096,34.997124,בית הקרנות,1416.000000
חיפה עירוני,42868,32.812707,34.996156,הרצל/יואל,1416.000000
