link,from_area,to_area,direction,bus_2022_3h,transit_2022_3h,car_2022_3h,bus_2022_peak_hour,car_2022_peak_hour,lrt_ug_3h,lrt_ug_peak_hour,lrt_ug_low_3h,lrt_ug_high_3h,lrt_ug_prem0_3h,lrt_ug_prem10_3h,lrt_ground_3h,lrt_ground_peak_hour,lrt_ground_low_3h,lrt_ground_high_3h,lrt_ground_prem0_3h,lrt_ground_prem10_3h,lrt_d50_3h,lrt_d50_peak_hour,lrt_d50_low_3h,lrt_d50_high_3h,lrt_d50_prem0_3h,lrt_d50_prem10_3h,lrt_d50a_3h,lrt_d50a_peak_hour,lrt_d50a_low_3h,lrt_d50a_high_3h,lrt_d50a_prem0_3h,lrt_d50a_prem10_3h,lrt_mix_3h,lrt_mix_peak_hour,lrt_mix_low_3h,lrt_mix_high_3h,lrt_mix_prem0_3h,lrt_mix_prem10_3h,lrt_ug_share_of_bus_2022
1,TiratCarmel,Matam-NeotPeres,up,930.7,930.7,4012.7,511.4,2229.5,695.2,381.9,686.4,780.0,576.1,825.8,687.7,377.8,682.2,768.3,569.1,817.9,700.1,384.6,689.2,787.7,580.7,830.9,695.5,382.1,686.6,780.5,576.4,826.1,689.4,378.8,683.2,770.9,570.7,819.7,0.7
1,TiratCarmel,Matam-NeotPeres,down,521.2,521.2,1192.2,238.1,622.3,349.5,159.6,354.3,376.8,289.0,415.5,335.4,153.2,346.2,355.6,276.6,400.1,361.2,165.0,360.9,394.9,299.5,428.2,350.0,159.9,354.6,377.6,289.5,416.1,338.5,154.6,348.0,360.0,279.3,403.5,0.7
2,Matam-NeotPeres,HofCarmel-NeveDavid,up,937.4,937.4,2621.5,515.0,1456.5,631.1,346.7,622.4,693.6,529.1,739.8,630.9,346.6,627.5,689.2,527.8,741.0,602.2,330.8,592.8,663.4,504.0,707.2,631.6,347.0,622.7,694.3,529.5,740.4,643.2,353.4,637.3,703.9,538.9,754.5,0.7
2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1896.9,1936.7,4040.8,866.5,2109.3,1096.6,500.9,1153.4,1136.0,911.8,1296.7,1042.1,476.0,1118.4,1075.4,866.2,1232.7,1156.3,528.2,1181.5,1222.9,961.6,1366.5,1101.6,503.2,1157.0,1141.8,916.0,1302.6,1072.3,489.8,1140.3,1108.6,891.9,1267.4,0.6
3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1109.4,1109.4,2637.9,609.5,1465.6,690.5,379.4,680.0,758.8,579.2,808.9,679.9,373.6,666.6,748.7,570.1,796.7,697.7,383.3,684.0,767.6,585.8,816.5,691.0,379.7,680.3,759.4,579.6,809.4,691.3,379.8,682.1,758.8,579.7,810.0,0.6
3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,1955.9,1995.6,4037.6,893.5,2107.6,1073.5,490.4,1127.7,1113.5,892.9,1269.0,933.4,426.4,929.4,1012.9,781.5,1094.9,1179.9,539.0,1201.5,1249.4,983.2,1391.6,1078.7,492.8,1131.3,1119.5,897.2,1275.1,946.9,432.5,937.3,1031.0,793.5,1109.5,0.5
4,Hecht-Shprintzak,EinHayam,up,1648.4,1648.4,3281.8,905.6,1823.3,972.7,534.4,954.7,1073.4,815.5,1139.8,952.3,523.2,929.4,1055.8,798.4,1115.7,1063.2,584.1,1037.2,1171.6,894.4,1241.1,973.3,534.7,955.1,1074.0,816.0,1140.4,960.7,527.8,938.2,1063.6,805.4,1125.5,0.6
4,Hecht-Shprintzak,EinHayam,down,1813.9,1853.6,3957.3,828.6,2065.7,887.8,405.5,946.2,910.6,736.4,1052.4,730.2,333.5,717.8,802.5,611.6,855.9,1071.4,489.4,1093.8,1128.3,893.7,1262.3,893.0,407.9,949.8,916.7,740.8,1058.5,736.7,336.5,723.1,809.8,617.3,863.3,0.5
5,EinHayam,BatGalim-KiryatEliezer,up,1865.1,1865.1,4078.5,1024.7,2266.0,1108.1,608.8,1089.1,1219.8,928.6,1298.7,1066.4,585.9,1039.5,1184.2,894.0,1249.4,1207.7,663.5,1178.7,1329.8,1015.8,1410.0,1109.0,609.3,1089.6,1221.0,929.4,1299.7,1072.2,589.1,1045.8,1189.6,898.9,1256.2,0.6
5,EinHayam,BatGalim-KiryatEliezer,down,1707.4,1747.1,3671.9,779.9,1916.7,799.9,365.4,860.6,811.0,663.4,948.6,617.2,281.9,600.7,684.5,518.1,721.7,988.1,451.3,1012.0,1034.2,824.7,1163.4,807.0,368.6,866.4,818.6,669.3,956.9,619.4,282.9,603.0,686.5,520.0,724.3,0.5
6,BatGalim-KiryatEliezer,Hamoshava,up,1583.0,1583.0,4157.9,869.7,2310.1,892.9,490.6,887.7,972.7,746.2,1050.0,832.0,457.1,826.2,908.5,694.2,980.1,1006.3,552.9,984.7,1105.5,846.5,1175.3,894.6,491.5,888.6,975.1,747.7,1051.8,836.8,459.7,831.0,913.1,698.2,985.5,0.6
6,BatGalim-KiryatEliezer,Hamoshava,down,2063.5,2103.2,6722.0,942.6,3508.9,957.4,437.3,1047.0,940.8,791.3,1139.5,693.2,316.7,736.6,695.8,575.6,821.0,1207.7,551.7,1233.8,1267.0,1008.5,1422.1,967.8,442.1,1054.8,953.8,800.2,1151.6,697.1,318.4,741.1,698.8,578.7,825.5,0.5
7,Hamoshava,LowerCity,up,1625.9,1625.9,3057.9,893.3,1699.0,919.7,505.3,913.2,1001.3,769.1,1080.3,827.5,454.6,817.5,908.2,691.1,973.5,1035.4,568.8,1011.4,1137.6,871.8,1207.8,921.5,506.3,914.2,1003.9,770.8,1082.2,828.1,455.0,818.2,908.8,691.6,974.2,0.6
7,Hamoshava,LowerCity,down,2256.5,2296.2,5188.1,1030.8,2708.2,1048.2,478.8,1127.7,1036.3,873.8,1236.3,763.4,348.7,806.9,757.6,637.4,898.0,1311.2,599.0,1321.1,1381.6,1104.2,1530.5,1059.4,483.9,1135.9,1050.5,883.5,1249.1,767.2,350.5,811.3,760.6,640.5,902.6,0.5
8,LowerCity,Namal-Giborim,up,1152.7,1152.7,2651.8,633.3,1473.3,556.9,306.0,558.2,599.6,465.1,655.1,469.5,258.0,470.2,507.7,390.9,554.3,659.7,362.5,641.7,726.3,557.1,767.5,558.7,307.0,559.3,602.4,466.8,657.1,470.2,258.3,470.9,508.3,391.4,555.0,0.5
