pair,car GC,bus GC (partial),Metronit GC (partial),LRT underground GC (partial),LRT ground GC (partial),LRT design 50 km/h GC (partial),transit 2022 trips,car 2022 trips,LRT ug − bus,LRT ug − car
TiratCarmel → Matam-NeotPeres,12.3,48.4,,48.3,53.0,45.8,283.6,1924.9,-0.1,36.1
TiratCarmel → HofCarmel-NeveDavid,17.1,51.5,,54.2,62.0,49.8,33.5,0.0,2.7,37.1
TiratCarmel → Hecht-Shprintzak,19.4,48.7,,56.9,66.3,51.9,47.5,0.0,8.2,37.5
TiratCarmel → EinHayam,27.9,47.5,,61.2,72.3,55.0,11.5,204.3,13.7,33.3
TiratCarmel → BatGalim-KiryatEliezer,21.7,49.7,,66.4,80.8,58.2,265.7,452.5,16.6,44.6
TiratCarmel → Hamoshava,20.0,51.6,,61.7,77.9,52.3,26.3,0.0,10.0,41.7
TiratCarmel → LowerCity,21.0,56.0,,68.5,86.4,57.9,91.9,265.8,12.4,47.4
TiratCarmel → Namal-Giborim,24.5,75.0,,79.1,99.5,67.3,34.5,177.3,4.1,54.7
TiratCarmel → Hamifrats,21.9,80.3,,91.2,114.9,77.5,51.7,414.0,10.9,69.4
Matam-NeotPeres → TiratCarmel,11.1,32.8,,49.4,54.1,46.9,36.9,102.1,16.6,38.3
Matam-NeotPeres → HofCarmel-NeveDavid,11.5,27.5,26.8,37.5,40.7,35.6,11.3,112.3,10.0,26.0
Matam-NeotPeres → Hecht-Shprintzak,13.5,24.7,24.0,40.2,44.9,37.7,16.1,0.0,15.6,26.7
Matam-NeotPeres → EinHayam,22.7,22.2,22.2,44.5,50.9,40.8,3.9,142.5,22.3,21.8
Matam-NeotPeres → BatGalim-KiryatEliezer,16.5,32.3,27.3,49.7,59.4,44.1,90.2,25.0,17.4,33.2
Matam-NeotPeres → Hamoshava,15.3,38.4,30.9,45.0,56.5,38.1,15.1,27.0,6.6,29.6
Matam-NeotPeres → LowerCity,17.0,41.9,34.8,51.8,65.0,43.7,52.7,182.8,9.9,34.8
Matam-NeotPeres → Namal-Giborim,16.5,51.8,42.2,62.5,78.1,53.1,19.4,0.0,10.6,45.9
Matam-NeotPeres → Hamifrats,20.1,58.5,36.2,74.5,93.6,63.3,25.8,0.0,16.0,54.5
HofCarmel-NeveDavid → TiratCarmel,17.6,38.7,,50.6,58.4,46.2,28.3,26.6,11.9,33.0
HofCarmel-NeveDavid → Matam-NeotPeres,11.5,22.1,23.0,32.8,36.0,30.9,73.4,208.1,10.7,21.3
HofCarmel-NeveDavid → Hecht-Shprintzak,8.5,18.1,18.1,31.1,32.6,30.4,12.4,69.1,12.9,22.6
HofCarmel-NeveDavid → EinHayam,10.5,17.0,16.4,35.4,38.6,33.5,3.0,24.9,18.4,24.9
HofCarmel-NeveDavid → BatGalim-KiryatEliezer,12.9,27.0,21.5,40.6,47.1,36.8,69.6,11.7,13.5,27.6
HofCarmel-NeveDavid → Hamoshava,12.8,31.1,25.1,35.8,44.2,30.9,11.8,0.0,4.7,23.0
HofCarmel-NeveDavid → LowerCity,14.1,35.1,28.9,42.7,52.7,36.4,41.1,0.0,7.5,28.5
HofCarmel-NeveDavid → Namal-Giborim,16.4,39.5,36.3,53.3,65.8,45.9,15.1,0.0,13.9,36.9
HofCarmel-NeveDavid → Hamifrats,20.5,52.6,52.6,65.4,81.3,56.1,20.0,22.8,12.7,44.9
Hecht-Shprintzak → TiratCarmel,18.8,38.5,,54.3,63.7,49.2,85.2,248.4,15.8,35.5
Hecht-Shprintzak → Matam-NeotPeres,12.8,23.3,22.9,36.5,41.2,34.0,220.8,146.1,13.3,23.7
Hecht-Shprintzak → HofCarmel-NeveDavid,7.8,22.1,20.9,32.1,33.6,31.4,26.4,138.0,10.0,24.2
Hecht-Shprintzak → EinHayam,6.6,11.7,11.6,34.1,35.8,32.9,9.1,190.9,22.4,27.5
Hecht-Shprintzak → BatGalim-KiryatEliezer,9.9,21.8,16.7,39.3,44.3,36.2,209.5,372.7,17.5,29.4
Hecht-Shprintzak → Hamoshava,12.2,27.8,20.3,34.6,41.4,30.2,35.5,0.0,6.8,22.4
Hecht-Shprintzak → LowerCity,14.5,31.3,24.2,41.4,49.9,35.8,123.7,32.4,10.1,26.8
Hecht-Shprintzak → Namal-Giborim,17.5,34.7,31.6,52.1,63.0,45.2,45.5,50.5,17.3,34.5
Hecht-Shprintzak → Hamifrats,21.6,47.9,47.9,64.1,78.5,55.4,60.3,66.5,16.2,42.5
EinHayam → TiratCarmel,20.6,38.6,,59.0,70.1,52.7,34.4,89.9,20.4,38.4
EinHayam → Matam-NeotPeres,14.3,23.0,23.0,41.2,47.6,37.5,89.0,61.0,18.2,26.9
EinHayam → HofCarmel-NeveDavid,9.7,21.0,21.0,36.8,40.0,34.9,10.6,46.4,15.8,27.1
EinHayam → Hecht-Shprintzak,7.4,13.5,13.5,34.5,36.2,33.3,15.1,94.6,21.1,27.2
EinHayam → BatGalim-KiryatEliezer,10.3,14.6,13.9,38.6,41.9,36.7,84.4,145.5,23.9,28.3
EinHayam → Hamoshava,17.0,17.6,17.6,33.8,39.0,30.7,14.3,1049.9,16.3,16.8
EinHayam → LowerCity,12.2,21.4,21.4,40.7,47.5,36.3,49.9,132.3,19.3,28.5
EinHayam → Namal-Giborim,16.7,28.8,28.8,51.3,60.6,45.7,18.4,12.1,22.5,34.6
EinHayam → Hamifrats,22.1,45.1,45.1,63.4,76.0,55.9,24.3,0.0,18.3,41.3
BatGalim-KiryatEliezer → TiratCarmel,22.2,49.7,,59.9,74.4,51.8,94.0,335.1,10.2,37.7
BatGalim-KiryatEliezer → Matam-NeotPeres,17.7,31.5,29.6,42.2,51.9,36.6,243.6,356.5,10.7,24.5
BatGalim-KiryatEliezer → HofCarmel-NeveDavid,13.6,30.5,27.6,37.7,44.3,34.0,29.1,22.7,7.2,24.1
BatGalim-KiryatEliezer → Hecht-Shprintzak,8.4,23.0,20.0,35.5,40.5,32.4,41.2,354.2,12.5,27.1
BatGalim-KiryatEliezer → EinHayam,10.2,18.2,15.4,34.3,37.7,32.5,10.0,0.0,16.1,24.1
BatGalim-KiryatEliezer → Hamoshava,7.9,17.2,14.7,23.9,25.7,22.7,39.1,309.6,6.7,16.1
BatGalim-KiryatEliezer → LowerCity,10.6,21.1,18.5,30.7,34.2,28.3,136.5,309.4,9.6,20.2
BatGalim-KiryatEliezer → Namal-Giborim,14.8,28.6,25.9,41.4,47.3,37.7,50.2,45.7,12.8,26.6
BatGalim-KiryatEliezer → Hamifrats,20.5,44.9,42.2,53.5,62.8,47.9,66.5,186.3,8.6,32.9
Hamoshava → TiratCarmel,20.0,51.7,,59.2,75.4,49.8,10.8,0.0,7.5,39.2
Hamoshava → Matam-NeotPeres,15.4,32.1,31.1,41.4,52.9,34.5,50.0,265.2,9.3,26.0
Hamoshava → HofCarmel-NeveDavid,12.8,31.2,29.1,36.9,45.3,32.0,6.1,0.0,5.7,24.1
Hamoshava → Hecht-Shprintzak,12.2,23.8,21.6,34.7,41.6,30.4,8.6,0.0,10.9,22.5
Hamoshava → EinHayam,11.9,19.1,17.0,33.5,38.7,30.4,2.1,0.0,14.4,21.7
Hamoshava → BatGalim-KiryatEliezer,10.1,15.7,12.9,27.9,29.7,26.6,48.6,1688.5,12.1,17.8
Hamoshava → LowerCity,8.6,16.2,13.2,24.2,25.8,22.9,93.3,68.4,7.9,15.6
Hamoshava → Namal-Giborim,12.3,23.6,20.6,34.8,38.9,32.3,31.3,23.9,11.2,22.5
Hamoshava → Hamifrats,15.9,39.9,36.9,46.9,54.4,42.5,23.0,161.5,7.0,31.0
LowerCity → TiratCarmel,19.9,53.4,,63.5,81.4,52.9,13.7,31.3,10.1,43.6
LowerCity → Matam-NeotPeres,16.1,37.2,37.2,45.7,59.0,37.7,63.1,4.3,8.5,29.6
LowerCity → HofCarmel-NeveDavid,14.1,35.2,35.2,41.3,51.3,35.1,7.7,0.0,6.1,27.1
LowerCity → Hecht-Shprintzak,13.8,27.6,27.6,39.0,47.6,33.5,10.9,0.0,11.4,25.2
LowerCity → EinHayam,13.8,23.0,23.0,37.9,44.7,33.5,2.6,2.6,14.9,24.1
LowerCity → BatGalim-KiryatEliezer,12.1,19.2,18.8,32.2,35.7,29.7,61.3,22.4,13.0,20.0
LowerCity → Hamoshava,7.1,16.4,15.4,21.7,23.4,20.5,33.8,419.8,5.3,14.6
LowerCity → Namal-Giborim,9.6,20.0,17.0,33.7,36.2,32.5,39.5,59.5,13.7,24.1
LowerCity → Hamifrats,18.0,36.3,33.3,45.8,51.6,42.7,29.0,30.2,9.5,27.9
Namal-Giborim → TiratCarmel,30.7,56.1,,69.3,89.6,57.4,21.5,111.4,13.2,38.6
Namal-Giborim → Matam-NeotPeres,16.6,43.1,40.8,51.5,67.2,42.2,66.2,11.4,8.4,35.0
Namal-Giborim → HofCarmel-NeveDavid,16.4,40.8,38.8,47.1,59.6,39.6,8.0,0.0,6.3,30.7
Namal-Giborim → Hecht-Shprintzak,16.8,31.3,31.3,44.8,55.8,38.0,11.3,0.0,13.5,28.0
Namal-Giborim → EinHayam,17.1,26.7,26.7,43.7,52.9,38.1,2.7,4.0,17.0,26.6
Namal-Giborim → BatGalim-KiryatEliezer,14.5,25.4,22.4,38.0,43.9,34.3,63.5,0.0,12.6,23.5
Namal-Giborim → Hamoshava,12.4,22.1,19.1,27.5,31.6,25.0,31.5,0.0,5.4,15.1
Namal-Giborim → LowerCity,10.2,16.3,13.3,28.9,31.3,27.6,109.9,94.9,12.6,18.7
Namal-Giborim → Hamifrats,11.7,28.2,25.1,43.8,47.2,41.9,29.8,16.3,15.6,32.1
Hamifrats → TiratCarmel,20.3,61.0,,83.6,107.3,69.8,28.4,0.0,22.5,63.3
Hamifrats → Matam-NeotPeres,22.1,57.4,32.1,65.8,84.8,54.6,105.5,81.5,8.4,43.7
Hamifrats → HofCarmel-NeveDavid,21.0,55.3,55.3,61.4,77.2,52.0,12.8,0.0,6.0,40.4
Hamifrats → Hecht-Shprintzak,21.9,47.8,47.8,59.1,73.4,50.4,18.1,3.4,11.3,37.2
Hamifrats → EinHayam,22.1,43.2,43.2,58.0,70.6,50.5,4.4,0.0,14.8,35.9
Hamifrats → BatGalim-KiryatEliezer,20.1,41.9,38.9,52.3,61.5,46.7,100.9,243.5,10.3,32.2
Hamifrats → Hamoshava,17.4,38.6,35.6,41.8,49.2,37.4,28.3,0.0,3.2,24.4
Hamifrats → LowerCity,15.3,32.8,29.8,43.1,48.9,40.0,98.6,5.4,10.3,27.8
Hamifrats → Namal-Giborim,12.0,28.4,25.3,46.0,49.4,44.1,31.1,3.2,17.6,34.0
