link,from_area,to_area,direction,bus_2022_3h,transit_2022_3h,car_2022_3h,bus_2022_peak_hour,car_2022_peak_hour,lrt_ug_3h,lrt_ug_peak_hour,lrt_ug_low_3h,lrt_ug_high_3h,lrt_ug_prem0_3h,lrt_ug_prem10_3h,lrt_ground_3h,lrt_ground_peak_hour,lrt_ground_low_3h,lrt_ground_high_3h,lrt_ground_prem0_3h,lrt_ground_prem10_3h,lrt_d50_3h,lrt_d50_peak_hour,lrt_d50_low_3h,lrt_d50_high_3h,lrt_d50_prem0_3h,lrt_d50_prem10_3h,lrt_ug_share_of_bus_2022
1,TiratCarmel,Matam-NeotPeres,up,930.7,930.7,4012.7,511.4,2229.5,535.7,294.3,593.7,525.8,435.6,649.5,359.8,197.7,473.5,300.3,287.8,444.2,675.5,371.1,675.5,752.8,558.0,805.5,0.6
1,TiratCarmel,Matam-NeotPeres,down,521.2,521.2,1192.2,238.1,622.3,234.0,106.9,286.3,193.4,188.0,286.7,153.5,70.1,230.2,98.2,121.0,192.1,298.8,136.5,324.9,292.3,244.5,359.3,0.4
2,Matam-NeotPeres,HofCarmel-NeveDavid,up,937.4,937.4,2621.5,515.0,1456.5,408.6,224.5,493.8,338.7,331.4,496.1,244.4,134.2,384.1,148.0,194.0,304.1,519.8,285.6,546.0,529.8,429.0,619.4,0.4
2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1896.9,1936.7,4040.8,866.5,2109.3,789.5,360.6,981.8,633.5,635.5,965.0,524.4,239.6,810.1,310.3,412.5,658.2,1002.6,458.0,1095.4,966.3,823.1,1200.9,0.4
3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1109.4,1109.4,2637.9,609.5,1465.6,437.1,240.1,535.8,352.8,352.6,533.2,243.2,133.6,394.5,133.3,190.9,305.8,595.5,327.2,626.6,601.7,492.2,708.3,0.4
3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,1955.9,1995.6,4037.6,893.5,2107.6,768.9,351.2,951.0,622.0,619.2,939.3,425.3,194.3,641.1,253.7,334.6,533.3,1037.1,473.8,1121.4,1011.6,854.7,1237.6,0.4
4,Hecht-Shprintzak,EinHayam,up,1648.4,1648.4,3281.8,905.6,1823.3,582.3,319.9,729.5,455.2,467.6,713.6,339.4,186.5,553.3,180.9,265.3,428.8,863.3,474.3,924.1,848.1,713.7,1026.5,0.4
4,Hecht-Shprintzak,EinHayam,down,1813.9,1853.6,3957.3,828.6,2065.7,647.3,295.7,805.5,522.7,520.6,791.8,295.2,134.8,456.4,167.4,231.0,372.2,982.7,448.9,1043.0,980.4,814.5,1165.5,0.4
5,EinHayam,BatGalim-KiryatEliezer,up,1865.1,1865.1,4078.5,1024.7,2266.0,641.0,352.2,814.6,492.1,514.1,786.7,366.4,201.3,606.6,190.5,285.7,464.2,946.0,519.7,1029.2,911.8,780.7,1127.1,0.3
5,EinHayam,BatGalim-KiryatEliezer,down,1707.4,1747.1,3671.9,779.9,1916.7,610.0,278.6,749.3,501.2,491.7,744.4,245.6,112.2,378.5,140.1,192.2,309.7,942.8,430.7,986.5,955.0,783.7,1114.7,0.4
6,BatGalim-KiryatEliezer,Hamoshava,up,1583.0,1583.0,4157.9,869.7,2310.1,617.3,339.1,723.7,535.6,501.1,748.0,385.8,212.0,552.5,258.0,305.6,480.2,891.8,489.9,919.2,919.3,743.3,1051.9,0.4
6,BatGalim-KiryatEliezer,Hamoshava,down,2063.5,2103.2,6722.0,942.6,3508.9,821.7,375.4,967.6,719.8,666.6,996.4,420.0,191.9,577.3,289.5,332.8,522.4,1185.6,541.6,1221.4,1230.0,987.7,1399.2,0.4
7,Hamoshava,LowerCity,up,1625.9,1625.9,3057.9,893.3,1699.0,635.2,349.0,739.5,555.3,516.5,768.4,377.0,207.1,534.3,257.2,299.4,468.0,913.0,501.6,942.4,938.0,760.7,1077.1,0.4
7,Hamoshava,LowerCity,down,2256.5,2296.2,5188.1,1030.8,2708.2,928.3,424.0,1054.2,847.0,762.4,1111.5,518.2,236.7,662.2,398.0,417.9,632.6,1303.4,595.4,1317.8,1367.9,1095.5,1524.6,0.4
8,LowerCity,Namal-Giborim,up,1152.7,1152.7,2651.8,633.3,1473.3,419.5,230.5,488.1,371.0,341.9,506.5,228.8,125.7,332.4,155.7,181.5,284.5,639.7,351.5,657.8,662.2,535.1,752.0,0.4
8,LowerCity,Namal-Giborim,down,3062.0,3101.8,6425.2,1398.7,3354.0,1396.3,637.8,1557.4,1306.7,1146.3,1672.3,819.4,374.3,1011.8,659.5,660.8,999.5,1815.2,829.2,1846.5,1899.8,1518.1,2133.0,0.5
9,Namal-Giborim,Hamifrats,up,982.0,982.0,2392.7,539.5,1329.4,871.9,479.0,1298.1,595.7,694.0,1081.8,576.4,316.7,1030.8,295.8,448.8,732.4,1093.6,600.8,1468.5,872.2,886.4,1332.1,0.9
9,Namal-Giborim,Hamifrats,down,3144.5,3188.2,6755.3,1436.4,3526.3,1808.9,826.3,2616.2,1407.0,1454.8,2220.3,880.5,402.2,1643.9,486.0,689.2,1112.6,2233.4,1020.2,2919.2,1979.2,1826.8,2694.0,0.6
