,area,2022,BU_2040,BU_2050,HS_2040,HS_2050,BU_2040 / 2022,BU_2050 / 2022,HS_2040 / 2022,HS_2050 / 2022
201,TiratCarmel,829.0,1868.0,2101.0,1019.0,1135.0,2.25,2.54,1.23,1.37
202,Matam-NeotPeres,232.0,264.0,279.0,653.0,930.0,1.14,1.2,2.82,4.01
203,HofCarmel-NeveDavid,210.0,201.0,192.0,478.0,619.0,0.96,0.92,2.28,2.95
204,Hecht-Shprintzak,1057.0,984.0,940.0,1027.0,1062.0,0.93,0.89,0.97,1.0
205,EinHayam,641.0,830.0,918.0,945.0,1076.0,1.3,1.43,1.47,1.68
206,BatGalim-KiryatEliezer,803.0,843.0,897.0,1091.0,1413.0,1.05,1.12,1.36,1.76
207,Hamoshava,455.0,559.0,614.0,569.0,613.0,1.23,1.35,1.25,1.35
208,LowerCity,251.0,293.0,346.0,382.0,443.0,1.17,1.38,1.52,1.76
209,Namal-Giborim,440.0,502.0,544.0,545.0,622.0,1.14,1.24,1.24,1.41
210,Hamifrats,164.0,159.0,146.0,171.0,167.0,0.97,0.89,1.04,1.02
211,Bazan-Hutsot,46.0,48.0,47.0,52.0,54.0,1.06,1.04,1.14,1.18
212,TsometKiryatAta,21.0,22.0,21.0,24.0,24.0,1.07,1.03,1.14,1.16
213,KiryatAta North,280.0,345.0,391.0,573.0,802.0,1.23,1.4,2.05,2.87
214,KiryatAta North-East,479.0,559.0,489.0,753.0,819.0,1.17,1.02,1.57,1.71
215,Shefaram,277.0,325.0,360.0,331.0,378.0,1.17,1.3,1.19,1.36
216,Hamovil,0.0,0.0,0.0,0.0,0.0,1.29,1.71,0.68,0.94
217,Nazareth,962.0,1031.0,1243.0,921.0,1134.0,1.07,1.29,0.96,1.18
101,TsurShalom,620.0,941.0,1145.0,674.0,707.0,1.52,1.85,1.09,1.14
102,Kiryon,642.0,947.0,1133.0,717.0,771.0,1.48,1.77,1.12,1.2
103,KiryatBialik Center,1485.0,2241.0,2723.0,1631.0,1745.0,1.51,1.83,1.1,1.18
104,KiryatHaim,1328.0,1722.0,1973.0,1542.0,1650.0,1.3,1.49,1.16,1.24
301,SavyoneyYam,785.0,938.0,1009.0,961.0,987.0,1.19,1.28,1.22,1.26
302,KiryatYam A,491.0,599.0,650.0,723.0,761.0,1.22,1.33,1.47,1.55
303,KiryatYam B+C,467.0,620.0,726.0,835.0,859.0,1.33,1.56,1.79,1.84
304,KiryatHaim West,814.0,1256.0,1426.0,1835.0,2071.0,1.54,1.75,2.25,2.55
