,area,2022 LRT all underground,2022 LRT all ground,2022 LRT design 50 km/h,BU_2040 LRT all underground,BU_2040 LRT all ground,BU_2040 LRT design 50 km/h,BU_2050 LRT all underground,BU_2050 LRT all ground,BU_2050 LRT design 50 km/h,HS_2040 LRT all underground,HS_2040 LRT all ground,HS_2040 LRT design 50 km/h,HS_2050 LRT all underground,HS_2050 LRT all ground,HS_2050 LRT design 50 km/h
201,TiratCarmel,393.0,243.0,512.0,892.0,557.0,1158.0,1031.0,639.0,1352.0,497.0,313.0,643.0,549.0,339.0,717.0
202,Matam-NeotPeres,194.0,151.0,208.0,311.0,250.0,333.0,375.0,302.0,401.0,354.0,258.0,421.0,460.0,327.0,558.0
203,HofCarmel-NeveDavid,106.0,124.0,98.0,101.0,127.0,94.0,101.0,130.0,90.0,234.0,229.0,243.0,304.0,289.0,312.0
204,Hecht-Shprintzak,376.0,290.0,448.0,354.0,270.0,423.0,335.0,257.0,401.0,372.0,294.0,443.0,382.0,303.0,454.0
205,EinHayam,180.0,138.0,216.0,235.0,175.0,284.0,259.0,191.0,313.0,272.0,205.0,326.0,306.0,232.0,365.0
206,BatGalim-KiryatEliezer,355.0,256.0,431.0,376.0,265.0,461.0,404.0,282.0,499.0,482.0,347.0,586.0,628.0,452.0,763.0
207,Hamoshava,200.0,162.0,228.0,248.0,200.0,284.0,273.0,219.0,314.0,252.0,202.0,289.0,269.0,218.0,309.0
208,LowerCity,112.0,146.0,129.0,131.0,173.0,152.0,154.0,208.0,179.0,169.0,196.0,197.0,194.0,233.0,225.0
209,Namal-Giborim,747.0,820.0,839.0,866.0,950.0,969.0,995.0,1076.0,1115.0,846.0,996.0,958.0,982.0,1190.0,1119.0
210,Hamifrats,1452.0,872.0,1705.0,1816.0,1118.0,2123.0,2035.0,1255.0,2378.0,1856.0,1081.0,2184.0,2170.0,1222.0,2563.0
