,area,2022,BU_2040,BU_2050,HS_2040,HS_2050,BU_2040 / 2022,BU_2050 / 2022,HS_2040 / 2022,HS_2050 / 2022
201,TiratCarmel,393.0,892.0,1031.0,497.0,549.0,2.27,2.62,1.26,1.4
202,Matam-NeotPeres,76.0,85.0,89.0,226.0,324.0,1.12,1.17,2.99,4.27
203,HofCarmel-NeveDavid,84.0,81.0,77.0,206.0,264.0,0.96,0.92,2.44,3.13
204,Hecht-Shprintzak,376.0,354.0,335.0,372.0,382.0,0.94,0.89,0.99,1.01
205,EinHayam,179.0,234.0,257.0,270.0,304.0,1.31,1.44,1.51,1.7
206,BatGalim-KiryatEliezer,355.0,376.0,404.0,482.0,628.0,1.06,1.14,1.36,1.77
207,Hamoshava,200.0,248.0,273.0,252.0,269.0,1.24,1.37,1.26,1.35
208,LowerCity,112.0,131.0,154.0,169.0,194.0,1.18,1.38,1.51,1.73
209,Namal-Giborim,169.0,194.0,211.0,213.0,244.0,1.15,1.25,1.26,1.44
210,Hamifrats,62.0,61.0,56.0,66.0,63.0,0.98,0.91,1.05,1.02
211,Bazan-Hutsot,21.0,22.0,22.0,22.0,24.0,1.04,1.03,1.07,1.14
212,TsometKiryatAta,9.0,10.0,9.0,10.0,11.0,1.06,1.03,1.13,1.18
213,KiryatAta North,54.0,63.0,74.0,106.0,156.0,1.16,1.36,1.95,2.86
214,KiryatAta North-East,93.0,101.0,87.0,142.0,159.0,1.09,0.94,1.53,1.71
215,Shefaram,58.0,68.0,74.0,67.0,76.0,1.16,1.28,1.15,1.3
216,Hamovil,0.0,0.0,0.0,0.0,0.0,1.18,1.56,0.62,0.96
217,Nazareth,356.0,365.0,430.0,338.0,413.0,1.03,1.21,0.95,1.16
101,TsurShalom,135.0,194.0,233.0,134.0,149.0,1.44,1.72,0.99,1.1
102,Kiryon,163.0,235.0,280.0,169.0,192.0,1.44,1.71,1.03,1.18
103,KiryatBialik Center,386.0,551.0,660.0,397.0,446.0,1.43,1.71,1.03,1.16
104,KiryatHaim,334.0,417.0,474.0,348.0,389.0,1.25,1.42,1.04,1.17
301,SavyoneyYam,132.0,152.0,164.0,136.0,158.0,1.16,1.25,1.03,1.2
302,KiryatYam A,86.0,102.0,111.0,112.0,131.0,1.19,1.3,1.3,1.52
303,KiryatYam B+C,91.0,120.0,140.0,159.0,163.0,1.32,1.54,1.75,1.79
304,KiryatHaim West,190.0,274.0,315.0,442.0,558.0,1.44,1.66,2.33,2.94
