,2022,2022,BU_2040,BU_2040,BU_2050,BU_2050,HS_2040,HS_2040,HS_2050,HS_2050
,lrt,transit,lrt,transit,lrt,transit,lrt,transit,lrt,transit
legs,,,,,,,,,,
brt→LRT,570.0,1611.0,698.0,1989.0,813.0,2295.0,843.0,2178.0,1094.0,2720.0
brt→LRT→brt,425.0,3386.0,602.0,4921.0,711.0,5745.0,641.0,5218.0,708.0,5446.0
brt→LRT→bus,17.0,117.0,21.0,142.0,20.0,140.0,40.0,269.0,47.0,324.0
bus→LRT,283.0,815.0,281.0,829.0,319.0,937.0,276.0,819.0,334.0,991.0
bus→LRT→brt,184.0,957.0,221.0,1193.0,254.0,1325.0,219.0,1243.0,235.0,1351.0
bus→LRT→bus,1.0,13.0,1.0,16.0,1.0,16.0,1.0,24.0,2.0,32.0
directLRT,1580.0,4174.0,1952.0,5008.0,2040.0,5193.0,2053.0,5339.0,2437.0,6334.0
directLRT→brt,213.0,427.0,250.0,495.0,262.0,506.0,295.0,591.0,324.0,643.0
directLRT→bus,61.0,163.0,90.0,244.0,78.0,213.0,152.0,395.0,172.0,449.0
