scenario-year,LRT scenario,link,from_area,to_area,direction,transit_nobuild_3h_trunk_projection,car_nobuild_3h_trunk_projection,lrt_3h,lrt_3h_low,lrt_3h_high,lrt_peak_hour
2022,LRT all underground,1,TiratCarmel,Matam-NeotPeres,up,930.8,4012.7,427.3,528.1,350.5,234.8
2022,LRT all underground,1,TiratCarmel,Matam-NeotPeres,down,521.2,1192.2,219.4,276.0,176.7,100.2
2022,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,944.7,2047.7,388.1,482.7,309.2,213.2
2022,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1893.7,3793.4,697.5,924.3,509.6,318.6
2022,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1036.7,2064.1,408.2,518.8,312.8,224.3
2022,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,1846.5,3436.4,682.8,903.8,500.0,311.9
2022,LRT all underground,4,Hecht-Shprintzak,EinHayam,up,1428.2,2707.9,534.6,701.4,391.6,293.7
2022,LRT all underground,4,Hecht-Shprintzak,EinHayam,down,1564.5,3356.1,577.7,768.3,422.7,263.9
2022,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,up,1635.2,3504.7,593.5,788.9,428.2,326.1
2022,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,down,1452.0,3070.8,549.8,719.4,410.8,251.2
2022,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,up,1353.0,3584.0,569.1,700.8,459.7,312.7
2022,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,down,1808.1,6120.8,744.9,927.5,603.6,340.3
2022,LRT all underground,7,Hamoshava,LowerCity,up,1395.8,2484.0,590.1,723.8,478.7,324.2
2022,LRT all underground,7,Hamoshava,LowerCity,down,2001.0,4587.0,863.2,1026.1,741.2,394.3
2022,LRT all underground,8,LowerCity,Namal-Giborim,up,870.8,2027.4,380.6,456.7,321.9,209.1
2022,LRT all underground,8,LowerCity,Namal-Giborim,down,2799.6,5447.2,1314.3,1520.5,1172.3,600.4
2022,LRT all underground,9,Namal-Giborim,Hamifrats,up,3039.4,14150.1,739.1,1177.4,476.4,406.1
2022,LRT all underground,9,Namal-Giborim,Hamifrats,down,6515.4,28574.6,1671.5,2517.4,1255.9,763.5
2022,LRT all ground,1,TiratCarmel,Matam-NeotPeres,up,930.8,4012.7,266.5,413.3,165.9,146.4
2022,LRT all ground,1,TiratCarmel,Matam-NeotPeres,down,521.2,1192.2,143.0,221.3,89.4,65.3
2022,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,944.7,2047.7,227.1,371.8,129.9,124.8
2022,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1893.7,3793.4,459.7,761.4,246.5,210.0
2022,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1036.7,2064.1,221.7,379.4,111.4,121.8
2022,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,1846.5,3436.4,356.8,576.6,192.4,163.0
2022,LRT all ground,4,Hecht-Shprintzak,EinHayam,up,1428.2,2707.9,296.3,519.7,139.8,162.8
2022,LRT all ground,4,Hecht-Shprintzak,EinHayam,down,1564.5,3356.1,250.0,422.5,123.9,114.2
2022,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,up,1635.2,3504.7,323.2,574.5,149.2,177.5
2022,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,down,1452.0,3070.8,206.9,350.2,101.8,94.5
2022,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,up,1353.0,3584.0,337.8,520.1,201.5,185.6
2022,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,down,1808.1,6120.8,364.8,538.6,228.8,166.6
2022,LRT all ground,7,Hamoshava,LowerCity,up,1395.8,2484.0,335.2,513.1,202.3,184.2
2022,LRT all ground,7,Hamoshava,LowerCity,down,2001.0,4587.0,471.6,634.0,341.5,215.4
2022,LRT all ground,8,LowerCity,Namal-Giborim,up,870.8,2027.4,198.7,300.8,125.6,109.2
2022,LRT all ground,8,LowerCity,Namal-Giborim,down,2799.6,5447.2,766.5,981.5,591.6,350.1
2022,LRT all ground,9,Namal-Giborim,Hamifrats,up,3039.4,14150.1,468.8,919.4,219.6,257.6
2022,LRT all ground,9,Namal-Giborim,Hamifrats,down,6515.4,28574.6,815.7,1584.8,448.7,372.6
2022,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,up,930.8,4012.7,559.6,607.2,556.3,307.4
2022,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,down,521.2,1192.2,281.9,313.9,269.5,128.8
2022,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,944.7,2047.7,497.9,535.1,493.9,273.6
2022,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1893.7,3793.4,900.8,1037.3,809.9,411.5
