scenario,case,λ,λ_T,LRT premium,LRT trips 06–09,of which from bus,of which from car,bus trips after,car trips after,transit share before,transit share after,LRT share of transit,LRT trips on trunk pairs,trunk pairs P_LRT|T (trip-wtd)
LRT all underground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,4114,3751,363,10749,55360,0.1962,0.2117,0.277,1619,0.337
LRT all underground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5812,4985,828,10175,54235,0.1962,0.2277,0.364,2143,0.415
LRT all underground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,3083,2845,237,11429,55710,0.1962,0.2067,0.212,1174,0.251
LRT all underground,"no premium (λ central, premium 0)",0.03,0.06,0.0,3307,3075,233,11309,55606,0.1962,0.2081,0.226,1287,0.275
LRT all underground,premium 10 (λ central),0.03,0.06,10.0,5048,4498,550,10121,55053,0.1962,0.216,0.333,2005,0.406
LRT all ground,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,3201,2987,214,11383,55638,0.1962,0.2077,0.22,1142,0.246
LRT all ground,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,5153,4506,647,10552,54518,0.1962,0.2236,0.328,1812,0.361
LRT all ground,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,2012,1912,99,12205,56006,0.1962,0.2025,0.141,634,0.14
LRT all ground,"no premium (λ central, premium 0)",0.03,0.06,0.0,2535,2402,133,11860,55827,0.1962,0.205,0.176,891,0.195
LRT all ground,premium 10 (λ central),0.03,0.06,10.0,3992,3657,335,10832,55399,0.1962,0.2111,0.269,1445,0.304
LRT design 50 km/h,"central (λ 0.03, λ_T 0.06, premium 5)",0.03,0.06,5.0,4814,4294,520,10283,55126,0.1962,0.215,0.319,1981,0.4
LRT design 50 km/h,"low λ (0.02 / 0.03, premium 5)",0.02,0.03,5.0,6267,5297,970,9922,54033,0.1962,0.2305,0.387,2362,0.448
LRT design 50 km/h,"high λ (0.05 / 0.10, premium 5)",0.05,0.1,5.0,4050,3603,447,10776,55397,0.1962,0.2111,0.273,1699,0.344
LRT design 50 km/h,"no premium (λ central, premium 0)",0.03,0.06,0.0,3919,3575,344,10887,55416,0.1962,0.2109,0.265,1602,0.332
LRT design 50 km/h,premium 10 (λ central),0.03,0.06,10.0,5831,5066,764,9621,54771,0.1962,0.22,0.377,2411,0.471
