,area,LRT all underground,LRT all ground,LRT design 50 km/h,LRT design 50 km/h + accel/braking,LRT mixed (Haifa core underground)
201,TiratCarmel,343.0,210.0,458.0,349.0,267.0
202,Matam-NeotPeres,193.0,151.0,185.0,195.0,183.0
203,HofCarmel-NeveDavid,112.0,149.0,123.0,113.0,176.0
204,Hecht-Shprintzak,273.0,211.0,333.0,276.0,259.0
205,EinHayam,90.0,71.0,109.0,90.0,86.0
206,BatGalim-KiryatEliezer,310.0,217.0,384.0,314.0,259.0
207,Hamoshava,111.0,88.0,129.0,112.0,96.0
208,LowerCity,108.0,150.0,128.0,109.0,158.0
209,Namal-Giborim,527.0,642.0,580.0,530.0,653.0
210,Hamifrats,1343.0,639.0,1715.0,1360.0,649.0
