o,d,o_name,d_name,car_2022,transit_2022,gc_car,gc_bus,gc_brt,gc_lrt_ug,gc_lrt_ground,gc_lrt_ug_with_premium,P_lrt_of_transit_ug,lrt_trips_ug,lrt_from_bus_ug,lrt_from_car_ug,P_lrt_of_transit_ground,lrt_trips_ground,gc_lrt_d50,P_lrt_of_transit_d50,lrt_trips_d50,lrt_legs_ug,lrt_status_ug
201,202,TiratCarmel,Matam-NeotPeres,1924.92,283.61,12.27,35.32,,53.33,58.04,48.33,0.31,104.79,89.1,15.68,0.26,82.73,50.83,0.35,118.31,directLRT,derived
201,203,TiratCarmel,HofCarmel-NeveDavid,0.0,33.48,17.08,46.52,,59.15,67.04,54.15,0.39,12.97,12.97,0.0,0.28,9.46,54.79,0.45,15.1,directLRT,derived
201,204,TiratCarmel,Hecht-Shprintzak,0.0,47.46,19.39,43.66,,61.87,71.29,56.87,0.31,14.79,14.79,0.0,0.2,9.71,56.87,0.38,18.0,directLRT,derived
201,205,TiratCarmel,EinHayam,204.34,11.51,27.94,42.51,,66.17,77.3,61.17,0.25,3.23,2.83,0.4,0.14,1.77,59.95,0.32,4.43,directLRT,derived
201,206,TiratCarmel,BatGalim-KiryatEliezer,452.45,265.66,21.73,49.73,,71.33,85.83,66.33,0.27,78.97,71.68,7.29,0.13,37.25,63.24,0.38,114.95,directLRT,derived
201,207,TiratCarmel,Hamoshava,0.0,26.34,19.98,51.61,,66.61,82.91,61.61,0.35,9.33,9.33,0.0,0.17,4.51,57.3,0.49,12.9,directLRT,derived
201,208,TiratCarmel,LowerCity,265.8,91.88,21.02,56.02,,73.41,91.41,68.41,0.32,34.11,29.61,4.5,0.14,13.5,62.87,0.47,54.53,directLRT,derived
201,209,TiratCarmel,Namal-Giborim,177.28,34.51,24.48,75.01,,84.08,104.49,79.08,0.44,19.18,15.16,4.02,0.19,7.04,72.29,0.61,30.95,directLRT,derived
201,210,TiratCarmel,Hamifrats,414.05,51.74,21.85,80.34,,96.14,119.96,91.14,0.34,21.36,17.77,3.59,0.11,6.07,82.48,0.54,39.38,directLRT,derived
201,211,TiratCarmel,Bazan-Hutsot,0.0,19.59,24.62,78.35,,78.21,82.92,73.21,0.58,11.29,11.29,0.0,0.51,9.92,75.71,0.61,12.0,directLRT→brt,derived_feeder
