,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,101,102,103,104,301,302,303,304
201,not_skimmed,derived,derived,derived,derived,assumed,assumed,assumed,derived,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed
202,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,assumed,assumed,assumed,assumed
203,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,assumed,assumed,derived,derived
204,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,assumed,assumed,assumed,assumed
205,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,assumed,assumed,assumed,assumed
206,assumed,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,derived,derived,derived,derived,derived,assumed,assumed,derived,derived
207,assumed,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed
208,assumed,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,assumed,assumed,assumed,derived,derived,derived,derived,derived,assumed,assumed,derived,derived
209,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,assumed,assumed,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived
210,assumed,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived
211,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived
212,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived
213,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived
214,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,not_skimmed,derived,assumed,assumed,derived,derived,derived,derived,assumed,assumed,assumed,assumed
215,assumed,assumed,assumed,assumed,assumed,derived,derived,assumed,assumed,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed
216,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed
217,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,assumed,assumed,assumed,assumed
101,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived
102,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived
103,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived
104,assumed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived
301,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,derived,derived,derived,derived,not_skimmed,derived,derived,derived
302,assumed,assumed,assumed,assumed,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,not_skimmed,derived,derived
303,assumed,assumed,derived,assumed,assumed,derived,assumed,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,derived,not_skimmed,derived
304,assumed,assumed,derived,assumed,assumed,derived,assumed,derived,derived,derived,derived,derived,derived,assumed,assumed,assumed,assumed,derived,derived,derived,derived,derived,derived,derived,not_skimmed
