link,from_area,to_area,direction,bus_2022_3h,transit_2022_3h,car_2022_3h,bus_2022_peak_hour,car_2022_peak_hour,lrt_ug_3h,lrt_ug_peak_hour,lrt_ug_low_3h,lrt_ug_high_3h,lrt_ug_prem0_3h,lrt_ug_prem10_3h,lrt_ground_3h,lrt_ground_peak_hour,lrt_ground_low_3h,lrt_ground_high_3h,lrt_ground_prem0_3h,lrt_ground_prem10_3h,lrt_d50_3h,lrt_d50_peak_hour,lrt_d50_low_3h,lrt_d50_high_3h,lrt_d50_prem0_3h,lrt_d50_prem10_3h,lrt_d50a_3h,lrt_d50a_peak_hour,lrt_d50a_low_3h,lrt_d50a_high_3h,lrt_d50a_prem0_3h,lrt_d50a_prem10_3h,lrt_mix_3h,lrt_mix_peak_hour,lrt_mix_low_3h,lrt_mix_high_3h,lrt_mix_prem0_3h,lrt_mix_prem10_3h,lrt_ug_share_of_bus_2022
1,TiratCarmel,Matam-NeotPeres,up,930.7,930.7,4012.7,511.4,2229.5,343.2,188.5,472.8,240.4,271.7,427.9,209.5,115.1,367.3,110.8,163.1,266.5,457.6,251.4,545.7,399.2,368.8,559.6,349.4,191.9,477.0,248.0,276.9,435.2,267.5,147.0,417.6,157.1,209.5,337.7,0.4
1,TiratCarmel,Matam-NeotPeres,down,521.2,521.2,1192.2,238.1,622.3,176.3,80.5,247.6,121.0,139.5,219.6,112.7,51.5,197.3,59.2,87.8,143.0,230.3,105.2,282.7,192.0,185.2,281.9,179.1,81.8,249.6,124.3,141.9,223.0,142.1,64.9,222.7,83.8,111.3,179.1,0.3
2,Matam-NeotPeres,HofCarmel-NeveDavid,up,937.4,937.4,2621.5,515.0,1456.5,313.9,172.5,435.0,214.4,249.9,388.8,179.6,98.6,332.3,88.7,140.6,227.0,409.0,224.7,483.4,355.5,330.6,498.0,320.7,176.2,439.6,222.4,255.5,396.8,261.3,143.5,402.8,155.5,206.6,326.3,0.3
2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1896.9,1936.7,4040.8,866.5,2109.3,557.7,254.7,830.3,343.2,439.3,698.5,359.4,164.2,678.9,160.3,278.2,459.5,732.2,334.5,934.9,568.2,585.9,900.8,568.7,259.8,838.2,355.1,448.3,711.5,484.4,221.3,780.0,269.3,379.5,610.7,0.3
3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1109.4,1109.4,2637.9,609.5,1465.6,327.9,180.2,467.0,211.8,259.3,408.9,173.0,95.1,338.5,72.0,133.7,221.6,464.9,255.4,552.9,398.2,376.0,565.6,335.2,184.2,471.9,220.4,265.3,417.4,260.4,143.0,419.2,140.2,203.8,328.4,0.3
3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,1955.9,1995.6,4037.6,893.5,2107.6,545.7,249.3,811.8,335.4,429.4,683.9,279.0,127.5,514.8,123.9,215.9,356.7,762.5,348.3,959.3,604.8,612.6,934.3,556.9,254.4,819.8,347.8,438.7,697.1,390.8,178.5,603.2,222.9,306.6,491.6,0.3
4,Hecht-Shprintzak,EinHayam,up,1648.4,1648.4,3281.8,905.6,1823.3,427.4,234.8,630.3,262.4,336.5,535.5,229.8,126.3,462.7,88.4,176.5,296.2,666.0,365.9,809.2,553.4,539.2,809.6,436.1,239.6,636.3,272.4,343.7,545.8,330.1,181.4,551.0,165.9,256.8,419.2,0.3
4,Hecht-Shprintzak,EinHayam,down,1813.9,1853.6,3957.3,828.6,2065.7,461.2,210.7,689.6,283.1,362.6,578.7,194.1,88.6,376.3,78.3,149.2,249.9,738.0,337.1,900.2,611.3,596.9,897.9,471.9,215.6,697.2,294.9,371.4,591.3,285.8,130.6,451.4,156.3,223.1,361.4,0.3
5,EinHayam,BatGalim-KiryatEliezer,up,1865.1,1865.1,4078.5,1024.7,2266.0,474.3,260.6,708.8,286.9,373.2,594.5,250.2,137.5,511.2,94.1,192.0,323.1,727.7,399.8,899.5,593.9,588.6,885.7,483.6,265.7,715.3,297.6,381.0,605.5,350.7,192.7,599.3,171.2,272.3,446.3,0.3
5,EinHayam,BatGalim-KiryatEliezer,down,1707.4,1747.1,3671.9,779.9,1916.7,440.0,201.0,646.4,276.2,346.6,550.9,160.4,73.3,311.8,64.1,123.2,206.8,714.9,326.6,855.7,604.0,579.7,867.2,452.0,206.5,655.6,288.9,356.5,565.0,240.7,109.9,377.0,133.0,187.8,304.4,0.3
6,BatGalim-KiryatEliezer,Hamoshava,up,1583.0,1583.0,4157.9,869.7,2310.1,459.7,252.5,631.4,315.7,365.3,570.0,265.5,145.8,464.4,131.1,206.3,337.7,687.6,377.8,802.3,602.0,560.8,829.4,467.6,256.9,636.6,325.5,372.0,579.1,318.2,174.8,510.0,173.7,248.7,402.0,0.3
6,BatGalim-KiryatEliezer,Hamoshava,down,2063.5,2103.2,6722.0,942.6,3508.9,601.0,274.5,834.7,415.3,477.2,746.1,287.2,131.2,481.2,149.0,223.5,364.6,903.4,412.7,1059.2,789.1,735.2,1092.0,614.3,280.6,844.7,430.4,488.3,761.6,325.1,148.5,514.2,178.5,254.0,410.9,0.3
7,Hamoshava,LowerCity,up,1625.9,1625.9,3057.9,893.3,1699.0,477.1,262.1,652.3,329.9,379.5,590.9,263.8,144.9,458.3,132.3,205.3,335.1,702.2,385.8,821.9,611.6,572.4,847.4,484.9,266.4,657.5,339.6,386.1,599.9,305.6,167.9,495.2,164.2,238.5,386.6,0.3
7,Hamoshava,LowerCity,down,2256.5,2296.2,5188.1,1030.8,2708.2,706.0,322.5,928.0,528.2,568.0,864.4,378.8,173.0,570.7,233.5,300.1,471.5,1015.1,463.7,1154.6,915.5,834.0,1215.1,719.8,328.8,938.1,544.2,579.7,880.3,409.1,186.9,597.6,255.9,324.4,508.4,0.3
8,LowerCity,Namal-Giborim,up,1152.7,1152.7,2651.8,633.3,1473.3,309.3,169.9,412.1,225.6,247.3,381.1,156.9,86.2,268.6,83.2,122.4,198.7,473.0,259.9,535.9,432.2,388.4,566.6,314.6,172.9,415.6,232.4,251.8,387.2,174.8,96.0,285.6,95.6,136.6,221.1,0.3
8,LowerCity,Namal-Giborim,down,3062.0,3101.8,6425.2,1398.7,3354.0,1075.2,491.1,1374.5,833.4,865.0,1315.7,616.2,281.5,883.5,402.8,488.3,766.4,1446.4,660.7,1718.4,1282.5,1182.1,1741.1,1091.4,498.6,1386.2,853.1,878.8,1334.4,638.1,291.5,904.2,417.8,505.8,793.3,0.4
9,Namal-Giborim,Hamifrats,up,982.0,982.0,2392.7,539.5,1329.4,587.8,322.9,1051.2,328.3,461.9,739.8,364.2,200.1,815.3,144.0,280.5,468.8,760.6,417.9,1193.0,524.1,608.9,938.7,593.9,326.3,1055.9,335.0,467.0,747.0,373.5,205.2,825.1,149.5,287.8,480.6,0.6
9,Namal-Giborim,Hamifrats,down,3144.5,3188.2,6755.3,1436.4,3526.3,1342.6,613.3,2247.4,879.7,1064.2,1673.1,638.8,291.8,1404.1,296.9,495.3,815.6,1715.1,783.5,2546.5,1321.5,1380.9,2102.3,1360.1,621.3,2261.4,899.3,1078.9,1693.5,649.4,296.7,1413.9,303.8,503.8,828.8,0.4
