TAZ,AggCode,cx,cy,nearest_station,dist_m,walk_min,pop,emp,walkable
2413,201,197202.0,739657.9,S01,260.3,3.3,0,0,True
2426,201,197121.6,740140.0,S02,740.3,9.3,0,0,True
2404,201,197314.6,740929.7,S02,601.4,7.5,4363,474,True
2412,201,196968.7,741106.0,S02,562.0,7.0,3223,0,True
2421,201,196907.5,740524.4,S02,198.4,2.5,1516,366,True
2420,201,197037.0,741719.4,S04,477.8,6.0,0,0,True
2402,201,197431.4,741823.3,S03,474.1,5.9,0,2621,True
2409,201,196501.2,738511.2,S01,1499.4,18.7,2255,680,False
2408,201,196539.8,741544.9,S04,763.6,9.5,386,196,True
2403,201,198032.5,741197.9,S03,970.5,12.1,4930,905,True
2405,201,197640.6,740821.8,S03,931.1,11.6,1848,1174,True
2407,201,198029.9,739633.7,S01,1164.1,14.6,3027,874,True
2406,201,198117.3,740402.8,S02,1586.1,19.8,3663,817,False
2415,201,197983.5,741836.1,S03,964.7,12.1,1725,317,True
1521,202,197440.1,742494.9,S04,962.3,12.0,0,0,True
2401,202,196435.9,742595.8,S05,872.9,10.9,0,2311,True
1524,202,197111.0,743027.2,S05,397.7,5.0,0,0,True
1519,202,197447.8,743388.1,S05,868.2,10.9,0,818,True
1638,202,197967.6,742816.1,S05,1541.6,19.3,0,0,False
1628,202,197935.9,743599.4,S05,1559.5,19.5,0,0,False
1629,202,198235.1,742237.2,S03,1534.2,19.2,0,0,False
1517,202,196575.3,743993.0,S06,281.5,3.5,0,11001,True
1518,202,197239.0,743929.8,S06,599.0,7.5,4211,5960,True
1516,202,197271.6,744544.3,S07,833.2,10.4,0,0,True
1515,203,197011.8,745301.4,S08,572.3,7.2,0,0,True
1520,203,196316.3,744874.3,S08,506.3,6.3,390,1309,True
1514,203,196620.1,746113.7,S09,176.6,2.2,3823,553,True
1523,203,196894.2,746520.1,S09,807.8,10.1,2654,516,True
1513,204,196946.4,747126.2,S10,698.5,8.7,4588,661,True
1512,204,196295.5,747143.0,S10,149.6,1.9,3513,430,True
1511,204,196767.1,747603.2,S12,543.7,6.8,3973,623,True
1510,205,196959.7,748172.7,S12,567.9,7.1,2048,139,True
1501,206,198229.5,748751.9,S14,390.0,4.9,3377,1633,True
1505,206,198410.8,748238.2,S14,425.5,5.3,3570,429,True
1503,206,198625.9,748424.9,S15,398.7,5.0,0,2061,True
1504,206,199082.6,747940.0,S16,365.8,4.6,1419,1555,True
1522,206,199220.2,748187.2,S15,530.1,6.6,1352,194,True
1502,206,198944.0,748805.6,S15,829.1,10.4,0,4607,True
1507,206,199025.9,747511.5,S16,497.9,6.2,2128,695,True
1506,206,198665.3,747771.6,S16,219.2,2.7,3102,613,True
1508,206,197954.3,748267.6,S14,372.7,4.7,630,428,True
1215,206,199585.3,748101.1,S17,865.7,10.8,0,116,True
1302,207,199483.6,747612.8,S17,217.6,2.7,2168,2454,True
1304,207,199305.2,747240.4,S17,326.4,4.1,1445,2326,True
1303,207,199700.0,747233.4,S18,182.4,2.3,1229,1193,True
1225,208,201109.1,746862.4,S20,923.8,11.5,0,304,True
1307,208,200352.1,747292.1,S19,424.9,5.3,0,4229,True
1312,208,200118.2,747255.2,S18,362.1,4.5,1292,5019,True
1313,208,200615.4,746835.8,S19,475.2,5.9,57,4243,True
1308,208,200527.0,746741.8,S19,443.6,5.5,0,4243,True
1306,208,200033.3,747051.8,S19,332.5,4.2,1302,569,True
1309,208,200642.7,746367.5,S20,101.5,1.3,570,728,True
1216,209,201505.7,745993.3,S21,788.2,9.9,0,2380,True
1310,209,200995.5,745843.4,S21,715.0,8.9,853,1132,True
1311,209,201526.2,745340.2,S21,264.2,3.3,736,383,True
1217,209,202257.8,745353.9,S22,667.1,8.3,0,2777,True
