,area,LRT all underground,LRT all ground,LRT design 50 km/h,LRT design 50 km/h + accel/braking,LRT mixed (Haifa core underground)
201,TiratCarmel,384.0,237.0,507.0,391.0,301.0
202,Matam-NeotPeres,214.0,169.0,204.0,216.0,203.0
203,HofCarmel-NeveDavid,125.0,168.0,136.0,126.0,198.0
204,Hecht-Shprintzak,305.0,238.0,369.0,308.0,291.0
205,EinHayam,101.0,80.0,122.0,101.0,97.0
206,BatGalim-KiryatEliezer,346.0,245.0,426.0,351.0,292.0
207,Hamoshava,124.0,99.0,143.0,125.0,108.0
208,LowerCity,120.0,168.0,142.0,122.0,178.0
209,Namal-Giborim,593.0,723.0,652.0,597.0,736.0
210,Hamifrats,1501.0,723.0,1902.0,1520.0,735.0
