,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,101,102,103,104,301,302,303,304
201,not_skimmed,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
202,not_available,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available
203,not_available,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available
204,not_available,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available
205,not_available,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available
206,not_available,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available
207,not_available,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available
208,not_available,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available
209,not_available,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,derived,not_available,not_available,not_available,not_available,derived,derived,derived,derived,derived,derived,derived,derived
210,not_available,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,derived,not_available,not_available,not_available,not_available,derived,derived,derived,derived,derived,derived,derived,derived
211,not_available,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,derived,not_available,not_available,not_available,not_available,derived,derived,derived,derived,derived,derived,derived,derived
212,not_available,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_skimmed,derived,not_available,not_available,not_available,not_available,derived,derived,derived,derived,derived,derived,derived,derived
213,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,derived,derived,derived,not_skimmed,not_available,not_available,not_available,not_available,not_available,not_available,not_available,derived,not_available,not_available,not_available,not_available
214,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_skimmed,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
215,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_skimmed,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
216,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_skimmed,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
217,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_skimmed,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available
101,not_available,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,not_skimmed,derived,derived,derived,derived,derived,derived,derived
102,not_available,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,not_skimmed,derived,derived,not_available,not_available,not_available,not_available
103,not_available,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,derived,not_skimmed,derived,not_available,not_available,not_available,not_available
104,not_available,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,derived,not_available,not_available,not_available,not_available,derived,derived,derived,not_skimmed,not_available,not_available,not_available,not_available
301,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,not_available,not_available,not_available,not_skimmed,derived,derived,derived
302,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,not_available,not_available,not_available,derived,not_skimmed,derived,derived
303,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,not_available,not_available,not_available,derived,derived,not_skimmed,derived
304,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,derived,derived,derived,derived,not_available,not_available,not_available,not_available,not_available,derived,not_available,not_available,not_available,derived,derived,derived,not_skimmed
