link,from_area,to_area,direction,bus_2022_3h,transit_2022_3h,car_2022_3h,bus_2022_peak_hour,car_2022_peak_hour,lrt_ug_3h,lrt_ug_peak_hour,lrt_ug_low_3h,lrt_ug_high_3h,lrt_ug_prem0_3h,lrt_ug_prem10_3h,lrt_ground_3h,lrt_ground_peak_hour,lrt_ground_low_3h,lrt_ground_high_3h,lrt_ground_prem0_3h,lrt_ground_prem10_3h,lrt_d50_3h,lrt_d50_peak_hour,lrt_d50_low_3h,lrt_d50_high_3h,lrt_d50_prem0_3h,lrt_d50_prem10_3h,lrt_d50a_3h,lrt_d50a_peak_hour,lrt_d50a_low_3h,lrt_d50a_high_3h,lrt_d50a_prem0_3h,lrt_d50a_prem10_3h,lrt_mix_3h,lrt_mix_peak_hour,lrt_mix_low_3h,lrt_mix_high_3h,lrt_mix_prem0_3h,lrt_mix_prem10_3h,lrt_ug_share_of_bus_2022
1,TiratCarmel,Matam-NeotPeres,up,930.7,930.7,4012.7,511.4,2229.5,383.9,210.9,500.1,291.7,305.8,475.4,236.6,130.0,389.7,135.9,185.1,299.3,507.0,278.5,575.9,473.4,411.5,615.5,390.6,214.6,504.5,300.5,311.5,483.2,301.0,165.4,442.4,192.7,237.0,377.6,0.4
1,TiratCarmel,Matam-NeotPeres,down,521.2,521.2,1192.2,238.1,622.3,197.1,90.0,261.6,147.0,157.1,243.8,127.1,58.1,209.0,73.0,99.6,160.4,255.3,116.6,298.0,228.7,206.9,310.1,200.2,91.5,263.7,150.9,159.7,247.4,159.8,73.0,235.7,103.1,125.9,200.1,0.4
2,Matam-NeotPeres,HofCarmel-NeveDavid,up,937.4,937.4,2621.5,515.0,1456.5,350.0,192.3,458.6,258.9,280.5,430.3,202.2,111.1,351.6,107.6,159.1,254.2,452.2,248.5,508.9,421.2,368.4,546.1,357.3,196.3,463.4,268.3,286.7,438.8,292.5,160.7,425.3,188.3,232.7,362.9,0.4
2,Matam-NeotPeres,HofCarmel-NeveDavid,down,1896.9,1936.7,4040.8,866.5,2109.3,625.3,285.6,876.8,420.4,495.7,777.4,407.0,185.9,719.2,199.3,316.6,517.3,813.8,371.8,985.3,681.8,656.2,992.9,637.2,291.1,885.0,434.5,505.7,791.4,544.8,248.9,824.5,331.4,429.4,682.2,0.3
3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1109.4,1109.4,2637.9,609.5,1465.6,366.9,201.6,492.7,258.9,292.1,454.0,196.1,107.7,358.5,89.8,152.3,249.7,513.8,282.3,581.6,471.8,418.9,619.9,374.8,205.9,497.8,269.0,298.7,463.1,292.9,160.9,442.9,173.1,230.7,366.9,0.3
3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,1955.9,1995.6,4037.6,893.5,2107.6,612.0,279.6,857.3,411.8,484.9,761.3,315.9,144.3,545.0,154.8,245.7,401.4,845.8,386.4,1010.4,721.8,684.7,1027.8,624.2,285.1,865.6,426.4,495.1,775.6,439.1,200.6,637.0,275.0,346.7,548.2,0.3
4,Hecht-Shprintzak,EinHayam,up,1648.4,1648.4,3281.8,905.6,1823.3,479.3,263.3,665.5,322.3,379.8,596.1,261.3,143.5,490.6,111.4,201.6,334.9,735.8,404.3,850.9,654.9,600.5,887.1,488.8,268.5,671.7,334.2,387.8,607.0,372.6,204.7,582.8,206.8,291.6,469.9,0.3
4,Hecht-Shprintzak,EinHayam,down,1813.9,1853.6,3957.3,828.6,2065.7,517.6,236.4,728.5,347.9,409.6,644.7,220.5,100.7,398.9,98.7,170.4,282.3,815.8,372.6,947.0,723.5,665.0,984.2,529.2,241.7,736.4,361.9,419.3,658.2,322.0,147.1,477.1,194.2,252.9,404.2,0.3
5,EinHayam,BatGalim-KiryatEliezer,up,1865.1,1865.1,4078.5,1024.7,2266.0,532.0,292.3,748.5,352.5,421.4,661.9,284.7,156.4,542.1,118.7,219.4,365.6,804.5,442.0,946.0,703.2,655.7,971.0,542.1,297.8,755.1,365.1,429.9,673.7,396.2,217.7,634.2,213.7,309.4,501.0,0.3
5,EinHayam,BatGalim-KiryatEliezer,down,1707.4,1747.1,3671.9,779.9,1916.7,493.3,225.3,682.6,338.9,391.2,612.9,182.4,83.3,330.6,80.9,140.7,233.8,789.1,360.5,899.6,713.3,645.0,949.0,506.3,231.3,692.2,353.9,402.1,628.0,271.2,123.9,398.5,165.4,213.0,340.5,0.3
